"A diagnosis algorithm for constant degree structures and its application to VLSI circuit testing,""Kaiyuan Huang"; V. K. Agarwal; L. LaForge;" K. Thulasiraman"",""Microelectronics and Computer Systems Laboratory, McGill University, Montreal, QUE, Canada"; Microelectronics and Computer Systems Laboratory, McGill University, Montreal, QUE, Canada; Department of Electrical Engineering, University of Nevada, Reno, NV, USA;" Department of Electrical and Computer Engineering, Concordia University, Montreal, QUE, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""4"",""363"",""372"",""A simple diagnosis algorithm is presented for constant degree systems such as rectangular grids connected as tori. The algorithm determines the status of a unit according to the size of its faction, a cluster of units that call each other fault-free but outsiders faulty. Almost all units are correctly identified with this algorithm under a binomial failure distribution even when the probability of failure is rather high. The complexity of the algorithm is O(n), where n is the number of units in a constant degree system. The application of the algorithm to production testing of VLSI chips is also considered. With a test board that houses a large number of chips to be tested, all the chips can be tested in parallel in a way that they test each other and the test outcomes, not necessarily correct, are reported to a host system for analysis. The actual status of each chip is determined by using this new diagnosis algorithm. The above chip screening process can be repeated for higher accuracy. It is shown that no more than two steps are needed in most real situations. Compared with testing by test equipment that usually tests only one chip at a time, the saving of test time and the test equipment cost could be significant with our approach.<>"",""1558-2183"","""",""10.1109/71.372790"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372790"","""",""Very large scale integration";Circuit testing;System testing;Clustering algorithms;Fault diagnosis;Microelectronics;Circuit faults;Test equipment;Production;"Costs"","""",""19"",""1"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A necessary and sufficient condition for deadlock-free adaptive routing in wormhole networks,""J. Duato"",""Facultad de Informiitica, Universidad Politecnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""10"",""1055"",""1067"",""Deadlock avoidance is a key issue in wormhole networks. A first approach by W.J. Dally and C.L. Seitz (1987) consists of removing the cyclic dependencies between channels. Many deterministic and adaptive routing algorithms have been proposed based on that approach. Although the absence of cyclic dependencies is a necessary and sufficient condition for deadlock-free deterministic routing, it is only a sufficient condition for deadlock-free adaptive routing. A more powerful approach by J. Duato (1991) only requires the absence of cyclic dependencies on a connected channel subset. The remaining channels can be used in almost any way. In this paper, we show that the previously mentioned approach is also a sufficient condition. Moreover, we propose a necessary and sufficient condition for deadlock-free adaptive routing. This condition is the key for the design of fully adaptive routing algorithms with minimum restrictions, An example shows the application of the new theory.<>"",""1558-2183"","""",""10.1109/71.473515"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=473515"","""",""Sufficient conditions";System recovery;Routing;Intelligent networks;Algorithm design and analysis;Bandwidth;Multiprocessor interconnection networks;Delay;Adaptive systems;"Application software"","""",""266"","""",""28"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A new approach for the verification of cache coherence protocols,""Fong Pong";" M. Dubois"",""Sun Microsystems Computer Company, Mountain View, CA, USA";" Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""8"",""773"",""787"",""We introduce a cache protocol verification technique based on a symbolic state expansion procedure. A global Finite State Machine (FSM) model characterizing the protocol behavior is built and protocol verification becomes equivalent to finding whether or not the global FSM may enter erroneous states. In order to reduce the complexity of the state expansion process, all the caches in the same state are grouped into an equivalence class and the number of caches in the class is symbolically represented by a repetition constructor. This symbolic representation is partly justified by the symmetry and homogeneity of cache-based systems. However, the key idea behind the representation is to exploit a unique property of cache coherence protocols: the fact that protocol correctness is not dependent on the exact number of cached copies. Rather, symbolic states only need to keep track of whether the caches have 0, 1, or multiple copies. The resulting symbolic state expansion process only takes a few steps and verifies the protocol for any system size. Therefore, it is more efficient and reliable than current approaches. The verification procedure is first applied to the verification of five existing protocols under the assumption of atomic protocol transitions. A simple snooping protocol on a split-transaction shared bus is also verified to illustrate the extension of our approach to protocols with nonatomic transitions.<>"",""1558-2183"","""",""10.1109/71.406955"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=406955"","""",""Automata";Access protocols;Testing;Coherence;Reachability analysis;Computer Society;Formal verification;Delay;Electronic mail;"Sun"","""",""52"","""",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A notation for deterministic cooperating processes,""K. Mani Chandy";" I. Foster"",""California Institute of Technology, Pasadena, CA, USA";" Mathematics and Computer Science Division, Argonne National Laboratory, Argonne, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""8"",""863"",""871"",""This paper proposes extensions of sequential programming languages for parallel programming that have the following features: 1) Dynamic Structures: The process structure is dynamic. Processes and variables can be created and deleted. 2) Paradigm Integration: The programming notation supports shared memory and message passing models. 3) Determinism: Demonstrating that a program is deterministic-all executions with the same input produce the same output-is straightforward, Programs can be written so that compilers can verify that the programs are deterministic. Nondeterministic constructs can be introduced in a sequence of refinement steps to obtain greater efficiency if required. The ideas have been incorporated in an extension of Fortran, but the underlying sequential imperative language is not central to the ideas described here. A compiler for the Fortran extension, called Fortran M, is available by anonymous ftp From Argonne National Laboratory. Fortran M has been used for a variety of parallel applications.<>"",""1558-2183"","""",""10.1109/71.406962"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=406962"","""",""Dynamic programming";Program processors;Laboratories;Functional programming;Protocols;Parallel programming;Message passing;Computer languages;Debugging;"Operating systems"","""",""6"","""",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A parallel simulated annealing algorithm with low communication overhead,""T. M. Nabhan";" A. Y. Zomaya"",""Parallel Computing Research Laboratory, Department of Electrical and Electronic Engineering, University of Western Australia, Perth, Australia";" Parallel Computing Research Laboratory, Department of Electrical and Electronic Engineering, University of Western Australia, Perth, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""12"",""1226"",""1233"",""In this paper, we propose a parallel simulated annealing algorithm based on the technique presented by Witte et al. (1991) but with low communication overhead. The performance of our proposed algorithm is significantly better than the method presented by Witte et al., particularly for optimization problems where the time required to communicate the solution is comparable to the evaluation time. The efficiency of the technique is demonstrated using two case studies with good results."",""1558-2183"","""",""10.1109/71.476165"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476165"","""",""Simulated annealing";Computational modeling;Convergence;Cost function;Australia;Optimization methods;Scheduling algorithm;Message passing;Processor scheduling;"Traveling salesman problems"","""",""32"","""",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A parallelism analyzer for conservative parallel simulation,""Yung-Chang Wong"; Shu-Yuen Hwang;" Jason Yi-Bing Lin"",""Department of Computer Science and Information Engineering, National Chiao Tung University, Hsinchu, Taiwan"; Bellcore, Morristown, NJ, USA;" Department of Computer Science and Information Engineering, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""6"",""628"",""638"",""Most small-scale simulation applications are implemented by sequential simulation techniques. As the problem size increases, however, sequential techniques may be unable to manage the time complexity of the simulation applications adequately. It is natural to consider re-implementing the corresponding large-scale simulations using parallel techniques, which have been reported to be successful in reducing the time complexity for several examples. However, parallel simulation may not be effective for every application. Since the implementation of parallel simulation for an application is usually very expensive, it is required to investigate the performance of parallel simulation for a particular application before re-implementing the simulation. The Chandy-Misra parallel, discrete-event simulation paradigm has been utilized in many large-scale simulation experiments, and several significant extensions have been based on it. Hence the Chandy-Misra protocol is adopted here as a basic model of parallel simulation to which our performance prediction techniques are applied. For an existing sequential simulation program based on the process interaction model, this paper proposes a technique for evaluating Chandy-Misra parallel simulation without actually implementing the parallel program. The idea is to insert parallelism analysis code into the sequential simulation program. When the modified sequential program is executed, the time complexity of the parallel simulation based on the Chandy-Misra protocol is computed. Our technique has been used to determine whether a giant Signaling System 7 simulation (sequential implementation) should be re-implemented using the parallel simulation approach.<>"",""1558-2183"","""",""10.1109/71.388043"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=388043"","""",""Analytical models";Computational modeling;Parallel processing;Discrete event simulation;Protocols;Algorithm design and analysis;Predictive models;Concurrent computing;Application software;"Large-scale systems"","""",""11"",""1"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A scalable scheduling scheme for functional parallelism on distributed memory multiprocessor systems,""S. Pande"; D. P. Agrawal;" J. Mauney"",""Computer Science Department, Ohio University, Athens, OH, USA"; ECE Department, North Carolina State University, Raleigh, NC, USA;" Raleigh, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""4"",""388"",""399"",""We attempt a new variant of the scheduling problem by investigating the scalability of the schedule length with the required number of processors, by performing scheduling partially at compile time and partially at run time. Assuming infinite number of processors, the compile time schedule is found using a new concept of the threshold of a task that quantifies a trade-off between the schedule-length and the degree of parallelism. The schedule is found to minimize either the schedule length or the number of required processors and it satisfies: A feasibility condition which guarantees that the schedule delay of a task from its earliest start time is below the threshold, and an optimality condition which uses a merit function to decide the best task-processor match for a set of tasks competing for a given processor. At run time, the tasks are merged producing a schedule for a smaller number of available processors. This allows the program to be scaled down to the processors actually available at run time. Usefulness of this scheduling heuristic has been demonstrated by incorporating the scheduler in the compiler backend for targeting Sisal (Streams and Iterations in a Single Assignment Language) on iPSC/860.<>"",""1558-2183"","""",""10.1109/71.372792"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372792"","""",""Multiprocessing systems";Processor scheduling;Optimal scheduling;Parallel processing;Scheduling algorithm;Costs;Dynamic scheduling;Scalability;Delay effects;"Runtime"","""",""37"",""1"",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A theory of deadlock-free adaptive multicast routing in wormhole networks,""J. Duato"",""Departmento de Ingenieria de Sistemas, Computadores y Automitica, Universidad Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""9"",""976"",""987"",""A theory for the design of deadlock-free adaptive routing algorithms for wormhole networks, proposed by the author (1991, 1993), supplies sufficient conditions for an adaptive routing algorithm to be deadlock-free, even when there are cyclic dependencies between channels. Also, two design methodologies were proposed. Multicast communication refers to the delivery of the same message from one source node to an arbitrary number of destination nodes. A tree-like routing scheme is not suitable for hardware-supported multicast in wormhole networks because it produces many headers for each message, drastically increasing the probability of a message being blocked. A path-based multicast routing model was proposed by Lin and Ni (1991) for multicomputers with 2D-mesh and hypercube topologies. In this model, messages are not replicated at intermediate nodes. This paper develops the theoretical background for the design of deadlock-free adaptive multicast routing algorithms. This theory is valid for wormhole networks using the path-based routing model. It is also valid when messages with a single destination and multiple destinations are mixed together. The new channel dependencies produced by messages with several destinations are studied. Also, two theorems are proposed, developing conditions to verify that an adaptive multicast routing algorithm is deadlock-free, even when there are cyclic dependencies between channels. As an example, the multicast routing algorithms of Lin and Ni are extended, so that they can take advantage of the alternative paths offered by the network.<>"",""1558-2183"","""",""10.1109/71.466634"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=466634"","""",""System recovery";Intelligent networks;Algorithm design and analysis;Multicast algorithms;Multiprocessor interconnection networks;Sufficient conditions;Multicast communication;Routing protocols;Communication system control;"Hypercubes"","""",""38"",""6"",""39"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A total ordering multicast protocol using propagation trees,""Xiaohua Jia"",""Department of Computer Science, University of Queensland, Saint Lucia, QLD, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""6"",""617"",""627"",""The paper discusses a multicast mechanism using propagation trees. It guarantees the total ordering (including causal ordering) of messages in multiple groups. The mechanism introduces a concept of meta-groups (a subset of a multicast group) and organizes meta-groups into propagation trees. Compared with the existing propagation tree mechanisms, this mechanism has the following advantages: 1) Greater parallelism. Messages can be sent to destinations by using broadcast networks. 2) Less message cost and less latency time. It takes less network communication to multicast a message and less time to have the message delivered to all the destinations. 3) More flexibility to dynamic membership changes and higher reliability for message propagation. It does not need to restructure propagation trees when there is a change in membership, and a site failure does not stop the message propagation to its descendants in the tree.<>"",""1558-2183"","""",""10.1109/71.388042"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=388042"","""",""Multicast protocols";Multicast communication;Broadcasting;Costs;Delay;Telecommunication network reliability;Computer science;Australia;Operating systems;"Load management"","""",""33"",""1"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A trace-driven simulator for performance evaluation of cache-based multiprocessor systems,""C. A. Prete"; G. Prina;" L. Ricciardi"",""Dipmimento di Ingegneria delllnformazione, Pisa University, Italy"; Scuola Superiore Universitari e di Perfeziona mento Sant Anna, Pisa, Italy;" Dipmimento di Ingegneria delllnformazione, Pisa University, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""9"",""915"",""929"",""We describe a simulator which emulates the activity of a shared memory, common bus multiprocessor system with private caches. Both kernel and user program activities are considered, thus allowing an accurate analysis and evaluation of coherence protocol performance. The simulator can generate synthetic traces, based on a wide set of input parameters which specify processor, kernel and workload features. Other parameters allow us to detail the multiprocessor architecture for which the analysis has to be carried out. An actual-trace-driven simulation is possible, too, in order to evaluate the performance of a specific multiprocessor with respect to a given workload, if traces concerning this workload are available. In a separate section, we describe how actual traces can also be used to extract a set of input parameters for synthetic trace generation. Finally, we show how the simulator may be successfully employed to carry out a detailed performance analysis of a specific coherence protocol.<>"",""1558-2183"","""",""10.1109/71.466630"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=466630"","""",""Multiprocessing systems";Read-write memory;Computational modeling;Performance analysis;Kernel;Analytical models;Access protocols;Computer Society;"Computer simulation"","""",""30"",""2"",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A well-behaved enumeration of star graphs,""N. Bagherzadeh"; M. Dowd;" S. Latifi"",""University of California, Irvine, CA, USA"; University of California, Irvine, CA, USA;" University of Nevada, Las Vegas, NV, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""5"",""531"",""535"",""An enumeration of star graphs is given which has many useful properties. For example an arbitrary prefix or suffix is connected";" indeed the diameter is O(n). As a consequence, there is an O(n) interval broadcast algorithm. Prefixes which have t(n-1)! vertices for some t are especially well-behaved. The topology of, embeddings in, and algorithms for these graphs are considered, making use of the enumeration.<>"",""1558-2183"","""",""10.1109/71.382321"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=382321"","""",""Hypercubes";Broadcasting;Network topology;Multiprocessor interconnection networks;Routing;Tree graphs;Fourier transforms;Algorithms;Orbits;"Communication networks"","""",""17"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Advanced array optimizations for high performance functional languages,""D. C. Cann";" P. Evripidou"",""Software Division Colorado Springs, Cray Computer Corporation, Inc., CO, USA";" Department of Computer Science and Engineering, Southern Methodist University, Dallas, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""3"",""229"",""239"",""We discuss and evaluate three optimizations for reducing memory management overhead and data copying costs in SISAL 1.2 programs that build arrays. The first, called framework preconstruction, eliminates superfluous allocate-deallocate sequences in cyclic computations. The second, called aggregate storage subsumption, reduces the management overhead for compound array components. The third, called predictive storage preallocation, eliminates superfluous data copying in filtered array constructions and simplifies their parallelization. We have added all three optimizations to the Optimizing SISAL Compiler with rewarding improvements in SISAL program performance on vector-parallel machines such as those built by Cray Computer Corporation, Convex, and Cray Research.<>"",""1558-2183"","""",""10.1109/71.372771"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372771"","""",""Aggregates";Optimizing compilers;Memory management;Laboratories;Cost function;Program processors;Parallel processing;Concurrent computing;Contracts;"Military computing"","""",""8"",""5"",""40"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Algorithms and properties of a new two-level network with folded hypercubes as basic modules,""D. . -R. Duh"; G. . -H. Chen;" J. . -F. Fang"",""Department of Electronic Engineering, Hwa Hsia Junior College, Taipei, Taiwan"; Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan;" Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""7"",""714"",""723"",""In this paper, a new two-level interconnection network, called a hierarchical folded-hypercube network (HFN, for short), is proposed. The HFN takes folded hypercubes as basic modules which are connected in a complete manner. We investigate the topological properties of the HFN, including the diameter, cost, average distance, embedding, connectivity, container, /spl kappa/-wide diameter, and node-fault diameter. We show that the HFN can emulate algorithms which are executable on the ring or the mesh-connected computer with the same time complexities in big-O notation. Moreover, the HFN can embed a folded hypercube having the same number of nodes with constant dilation. We compute the diameter, node connectivity, best container, /spl kappa/-wide diameter, and node-fault diameter of the HFN. We present optimal routing and broadcasting algorithms for the HFN. The semigroup computation and descend/ascend algorithms can be executed as well on the HFN.<>"",""1558-2183"","""",""10.1109/71.395400"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=395400"","""",""Hypercubes";Routing;Integrated circuit interconnections;Containers;Broadcasting;Computer science;Costs;Computer architecture;Multiprocessing systems;"Topology"","""",""64"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Allocation and scheduling of precedence-related periodic tasks,""K. Ramamritham"",""Department of Computer Science and Engineering, Indian Institute of Technology, Chennai, India"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""4"",""412"",""420"",""This paper discusses a static algorithm for allocating and scheduling components of periodic tasks across sites in distributed systems. Besides dealing with the periodicity constraints, (which have been the sole concern of many previous algorithms), this algorithm handles precedence, communication, as well as replication requirements of subtasks of the tasks. The algorithm determines the allocation of subtasks of periodic tasks to sites, the scheduled start times of subtasks allocated to a site, and the schedule for communication along the communication channel(s). Simulation results show that the heuristics and search techniques incorporated in the algorithm are very effective.<>"",""1558-2183"","""",""10.1109/71.372795"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372795"","""",""Scheduling algorithm";Real time systems;Orbital robotics;Robotics and automation;Space stations;Production facilities;Command and control systems;Processor scheduling;Information science;"Computer science"","""",""126"",""56"",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"An (N-1)-resilient algorithm for distributed termination detection,""Ten-Hwang Lai";" Li-Fen Wu"",""Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA";" Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""1"",""63"",""78"",""The paper presents a fault tolerant termination detection algorithm based on a previous fault sensitive scheme by Dijkstra and Scholten. The proposed algorithm can tolerate any number of crash failures. It runs as efficiently as its nonfault tolerant predecessor if no process actually fails during the computation, and otherwise incurs only a small amount of cost for each actual failure. It is assumed that the underlying communication network provides such services as reliable end to end communication, failure detection, and fail flush.<>"",""1558-2183"","""",""10.1109/71.363410"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=363410"","""",""Fault detection";Detectors;Fault tolerance;Fault tolerant systems;Costs;Communication networks;Telecommunication network reliability;Protocols;Face detection;"Information science"","""",""26"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
