"(ε, δ)-Approximate Aggregation Algorithms in Dynamic Sensor Networks,""J. Li";" S. Cheng"",""School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China";" School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2012"",""2012"",""23"",""3"",""385"",""396"",""Aggregation operations are important in WSN applications. Since large numbers of applications only require approximate aggregation results rather than the exact ones, some approximate aggregation algorithms have been proposed to save energy. However, the error bounds of these algorithms are fixed and it is impossible to adjust the error bounds automatically, so they cannot meet the requirement of arbitrary precision required by various users. Thus, a uniform sampling-based algorithm was proposed by the authors of this paper to satisfy arbitrary precision requirement. Unfortunately, this uniform sampling-based algorithm is only suitable for static sensor networks. To overcome the shortcoming of the uniform sampling-based algorithm, this paper proposes four Bernoulli sampling-based and distributed approximate aggregation algorithms to process the snapshot and continuous aggregation queries in dynamic sensor networks. Theoretical analysis and experimental results show that the proposed algorithms have high performance in terms of accuracy and energy consumption."",""1558-2183"","""",""10.1109/TPDS.2011.193"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953593"",""Wireless sensor network";approximate aggregation;"Bernoulli sampling."",""Approximation algorithms";Clustering algorithms;Entropy;Heuristic algorithms;Monitoring;Wireless sensor networks;"Algorithm design and analysis"","""",""30"","""",""25"",""IEEE"",""14 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A Novel Parallel Scan for Multicore Processors and Its Application in Sparse Matrix-Vector Multiplication,""N. Zhang"",""Department of Computer Science and Software Engineering, Xi'an Jiaotong-Liverpool University, Jiangsu, China"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2012"",""2012"",""23"",""3"",""397"",""404"",""We present a novel parallel algorithm for computing the scan operations on x86 multicore processors. The existing best known parallel scan for the same platform requires the number of processors to be a power of two. But this constraint is removed from our proposed method. In the design of the algorithm architectural considerations for x86 multicore processors are given so that the rate of cache misses is reduced and the cost of thread synchronization and management is minimized. Results from tests made on a machine with dual-socket \times quad-core Intel Xeon E5405 showed that the proposed solution outperformed the best known parallel reference. A novel approach to sparse matrix-vector multiplication (SpMV) based on the proposed scan is then explained. The approach, unlike the existing ones that make use of backward segmented operations, uses forward ones for more efficient caching. An implementation of the proposed SpMV was tested against the SpMV in Intel's Math Kernel Library (MKL) and merits were found in the proposed approach."",""1558-2183"","""",""10.1109/TPDS.2011.174"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5887318"",""Parallel algorithms";parallel scan;prefix sum;multicore computing;"sparse matrix-vector multiplication."",""Algorithm design and analysis";Arrays;Multicore processing;Sparse matrices;Instruction sets;"Software algorithms"","""",""10"","""",""22"",""IEEE"",""16 Jun 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A Parallel IRRWBF LDPC Decoder Based on Stream-Based Processor,""H. D. Tiwari"; H. Ngoc Bao;" Y. Beom Cho"",""Department of Electronics Engineering, VLSI Design Laboratory, Konkuk University, Seoul, South Korea"; Department of Electronics Engineering, VLSI Design Laboratory, Konkuk University, Seoul, South Korea;" Department of Electronics Engineering, VLSI Design Laboratory, Konkuk University, Seoul, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Oct 2012"",""2012"",""23"",""12"",""2198"",""2204"",""Low-density parity check (LDPC) codes have gained much attention due to their use of various belief-propagation (BP) decoding algorithms to impart excellent error-correcting capability. The BP decoders are quite simple"; however, their computation-intensive and repetitive process prohibits their use in energy-sensitive applications such as sensor networks. Bit flipping-based decoding algorithms, especially implementation-efficient, reliability ratio-based, weighted bit-flipping (IRRWBF) decoding;" have shown an excellent tradeoff between error-correction performance and implementation cost. In this paper, we show that with IRRWBF, iterative re-computation can be replaced by iterative selective updating. When compared with the original algorithm, simulation results show that, decoding speed can be increased by 200 to 600 percent , as the number of decoding iterations is increased from 5 to 1,000. The decoding steps are broken down into various stages such that the update operations are mostly of the single-instruction, multiple-data (SIMD) type. In this paper, we show that by using Intel Wireless MMX 2 accelerating technology in the proposed algorithm, the speed increased by 500 to 1,500 percent. The results of implementing the proposed scheme using an Intel/Marvell PXA320 (806 MHz) CPU are presented. The proposed scheme can be used effectively in real-time LDPC codes for energy-sensitive mobile devices."",""1558-2183"","""",""10.1109/TPDS.2012.54"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6148220"",""Data-parallel computing";error correcting code;low-density parity-check (LDPC) code;"SIMD processors"",""Decoding";Iterative decoding;Wireless communication;Algorithm design and analysis;Error statistics;Data structures;Parallel processing;"Parity check codes"","""",""4"","""",""27"",""IEEE"",""7 Feb 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A QoS Oriented Vertical Handoff Scheme for WiMAX/WLAN Overlay Networks,""D. Ma";" M. Ma"",""Division of Communications, School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore";" Division of Communications, School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2012"",""2012"",""23"",""4"",""598"",""606"",""Recently, a number of wireless communication technologies are migrating toward heterogeneous overlay networks. The integration of Mobile WiMAX and WLAN seems to be a promising approach due to their homogeneous nature and complementary characteristics. In this paper, we investigate several important issues for the interworking of Mobile WiMAX and WLAN networks. We address a tightly coupled interworking architecture. Further, a seamless and proactive vertical handoff scheme is designed based on the architecture with aims to provide always the best quality of service (QoS) for users. Both the performance of applications and network conditions are considered in the handoff process. Moreover, we derive evaluation algorithms to estimate the conditions of both WiMAX and WLAN networks in terms of available bandwidth and packet delay. A simulation study has demonstrated that the proposed schemes can keep stations always being best connected."",""1558-2183"","""",""10.1109/TPDS.2011.216"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5989799"",""WiMAX";WLAN;tightly coupled;vertical handoff;available bandwidth;"packet delay."",""Delay";WiMAX;Wireless LAN;Bandwidth;Quality of service;Mobile communication;"IP networks"","""",""38"","""",""25"",""IEEE"",""18 Aug 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A Rendezvous-Based Approach Enabling Energy-Efficient Sensory Data Collection with Mobile Sinks,""C. Konstantopoulos"; G. Pantziou; D. Gavalas; A. Mpitziopoulos;" B. Mamalis"",""Department of Informatics, University of Piraeus, Piraeus, Greece"; Department of Informatics, Technological Education Institute of Athens, Athens, Greece; Department of Cultural Technology and Communication, University of Aegean, Mytilene, Greece; Department of Cultural Technology and Communication, University of Aegean, Mytilene, Greece;" Department of Informatics, Technological Education Institute of Athens, Athens, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Apr 2012"",""2012"",""23"",""5"",""809"",""817"",""A large class of Wireless Sensor Networks (WSN) applications involve a set of isolated urban areas (e.g., urban parks or building blocks) covered by sensor nodes (SNs) monitoring environmental parameters. Mobile sinks (MSs) mounted upon urban vehicles with fixed trajectories (e.g., buses) provide the ideal infrastructure to effectively retrieve sensory data from such isolated WSN fields. Existing approaches involve either single-hop transfer of data from SNs that lie within the MS's range or heavy involvement of network periphery nodes in data retrieval, processing, buffering, and delivering tasks. These nodes run the risk of rapid energy exhaustion resulting in loss of network connectivity and decreased network lifetime. Our proposed protocol aims at minimizing the overall network overhead and energy expenditure associated with the multihop data retrieval process while also ensuring balanced energy consumption among SNs and prolonged network lifetime. This is achieved through building cluster structures consisted of member nodes that route their measured data to their assigned cluster head (CH). CHs perform data filtering upon raw data exploiting potential spatial-temporal data redundancy and forward the filtered information to appropriate end nodes with sufficient residual energy, located in proximity to the MS's trajectory. Simulation results confirm the effectiveness of our approach against as well as its performance gain over alternative methods."",""1558-2183"","""",""10.1109/TPDS.2011.237"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6030870"",""Mobile sinks";wireless sensor networks;information retrieval;clustering;sensor islands;"rendezvous nodes."",""Trajectory";Protocols;Wireless sensor networks;Robot sensing systems;Clustering algorithms;Mobile communication;"Energy consumption"","""",""129"","""",""34"",""IEEE"",""29 Sep 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A Secure Erasure Code-Based Cloud Storage System with Secure Data Forwarding,""H. -Y. Lin";" W. -G. Tzeng"",""Intelligent Information and Communications Research Center, Department of Computer Science, National Chiao Tung University, Hsinchu, Taiwan";" Department of Computer Science, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2012"",""2012"",""23"",""6"",""995"",""1003"",""A cloud storage system, consisting of a collection of storage servers, provides long-term storage services over the Internet. Storing data in a third party's cloud system causes serious concern over data confidentiality. General encryption schemes protect data confidentiality, but also limit the functionality of the storage system because a few operations are supported over encrypted data. Constructing a secure storage system that supports multiple functions is challenging when the storage system is distributed and has no central authority. We propose a threshold proxy re-encryption scheme and integrate it with a decentralized erasure code such that a secure distributed storage system is formulated. The distributed storage system not only supports secure and robust data storage and retrieval, but also lets a user forward his data in the storage servers to another user without retrieving the data back. The main technical contribution is that the proxy re-encryption scheme supports encoding operations over encrypted messages as well as forwarding operations over encoded and encrypted messages. Our method fully integrates encrypting, encoding, and forwarding. We analyze and suggest suitable parameters for the number of copies of a message dispatched to storage servers and the number of storage servers queried by a key server. These parameters allow more flexible adjustment between the number of storage servers and robustness."",""1558-2183"","""",""10.1109/TPDS.2011.252"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6035700"",""Decentralized erasure code";proxy re-encryption;threshold cryptography;"secure storage system."",""Servers";Encryption;Encoding;Cloud computing;Secure storage;"Robustness"","""",""111"",""2"",""29"",""IEEE"",""6 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A Sequentially Consistent Multiprocessor Architecture for Out-of-Order Retirement of Instructions,""R. Ubal"; J. Sahuquillo; S. Petit; P. López;" D. R. Kaeli"",""Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA"; Department of Computer Engineering (DISCA), Universidad Politécnica de Valencia, Valencia, Spain; Department of Computer Engineering (DISCA), Universidad Politécnica de Valencia, Valencia, Spain; Universidad Politécnica de Valencia, Valencia;" Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2012"",""2012"",""23"",""8"",""1361"",""1368"",""Out-of-order retirement of instructions has been shown to be an effective technique to increase the number of in-flight instructions. This form of runtime scheduling can reduce pipeline stalls caused by head-of-line blocking effects in the reorder buffer (ROB). Expanding the width of the instruction window can be highly beneficial to multiprocessors that implement a strict memory model, especially when both loads and stores encounter long latencies due to cache misses, and whose stalls must be overlapped with instruction execution to overcome the memory latencies. Based on the Validation Buffer (VB) architecture (a previously proposed out-of-order retirement, checkpoint-free architecture for single processors), this paper proposes a cost-effective, scalable, out-of-order retirement multiprocessor, capable of enforcing sequential consistency without impacting the design of the memory hierarchy or interconnect. Our simulation results indicate that utilizing a VB can speed up both relaxed and sequentially consistent in-order retirement in future multiprocessor systems by between 3 and 20 percent, depending on the ROB size."",""1558-2183"","""",""10.1109/TPDS.2011.255"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6060802"",""Out-of-order retirement";multicore processors;validation buffer;"sequential consistency."",""Registers";Retirement;Out of order;Multicore processing;"Pipelines"","""",""1"","""",""21"",""IEEE"",""25 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A Statistical Analysis on Operation Scheduling for an Energy Network Project,""Y. Sugaya"; S. Omachi; A. Takeuchi;" Y. Nozaki"",""Department of Electrical and Communication Engineering, Graduate School of Engineering, University of Tohoku, Sendai, Miyagi, Japan"; Department of Electrical and Communication Engineering, Graduate School of Engineering, University of Tohoku, Sendai, Miyagi, Japan; NTT Energy and Environment Systems Laboratories, NTT Corporation, Musashino, Tokyo, Japan;" NTT Energy and Environment Systems Laboratories, NTT Corporation, Musashino, Tokyo, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2012"",""2012"",""23"",""9"",""1583"",""1592"",""Distributed power generation, using renewable energy, has been attracting attention to cope with global environment issues";" a microgrid is a promising configuration for distributed power generation. To augment the stability and efficiency of the microgrid, an intelligent control, which considers the restrictions and characteristics of each unit, is indispensable. It can be achieved by constructing an efficient operation schedule for each power plant in the microgrid, depending on energy demand, and predicting passive power generation. The operation scheduling is regarded as a constrained optimization problem, which must have nonlinear characteristics in case of actual systems. Although several methods using metaheuristic optimization have been proposed, it would be trapped into a local minimum in some cases. In this paper, we statistically analyze operation schedules, computed for an actual power network of the demonstrative project. In addition, we conduct an investigation of the relationship between the input parameter space and the solution space, which can be exploited to obtain more appropriate initial solutions leading to better and faster converging solutions."",""1558-2183"","""",""10.1109/TPDS.2012.52"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143932"",""Schedules";Power generation;Electricity;Optimization;Fuel cells;Vectors;Batteries;principal component analysis.;Smart grid;microgrid;energy network;"operation scheduling"",""Schedules";Power generation;Electricity;Optimization;Fuel cells;Vectors;"Batteries"","""",""2"","""",""20"",""IEEE"",""31 Jan 2012"","""","""",""IEEE"",""IEEE Journals""";;;;
"A Survey and Evaluation of Topology-Agnostic Deterministic Routing Algorithms,""J. Flich"; T. Skeie; A. Mejia; O. Lysne; P. Lopez; A. Robles; J. Duato; M. Koibuchi; T. Rokicki;" J. C. Sancho"",""DISCA, Universidat Politècnica de València, Valencia, Spain"; Simula Research Laboratory and the University of Oslo, Lysaker, Norway; Intel Corp, 2200 Mission College Blvd, Santa Clara, CA; Simula Research Laboratory and the University of Oslo, Lysaker, Norway; DISCA, Universidat Politècnica de València, Valencia, Spain; DISCA, Universidat Politècnica de València, Valencia, Spain; DISCA, Universidat Politècnica de València, Valencia, Spain; National Institute of Informatics, Chiyoda-ku, Tokyo, Japan; Simula Research Laboratory, University of Oslo, Lysaker, Norway;" Barcelona Supercomputing Center, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2012"",""2012"",""23"",""3"",""405"",""425"",""Most standard cluster interconnect technologies are flexible with respect to network topology. This has spawned a substantial amount of research on topology-agnostic routing algorithms, which make no assumption about the network structure, thus providing the flexibility needed to route on irregular networks. Actually, such an irregularity should be often interpreted as minor modifications of some regular interconnection pattern, such as those induced by faults. In fact, topology-agnostic routing algorithms are also becoming increasingly useful for networks on chip (NoCs), where faults may make the preferred 2D mesh topology irregular. Existing topology-agnostic routing algorithms were developed for varying purposes, giving them different and not always comparable properties. Details are scattered among many papers, each with distinct conditions, making comparison difficult. This paper presents a comprehensive overview of the known topology-agnostic routing algorithms. We classify these algorithms by their most important properties, and evaluate them consistently. This provides significant insight into the algorithms and their appropriateness for different on- and off-chip environments."",""1558-2183"","""",""10.1109/TPDS.2011.190"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953590"",""Interconnection networks";routing algorithms;"topology-agnostic routing."",""Routing";Topology;Network topology;Algorithm design and analysis;System recovery;Strontium;"Taxonomy"","""",""87"",""1"",""48"",""IEEE"",""14 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;
"A Survey of Parallel Programming Models and Tools in the Multi and Many-Core Era,""J. Diaz"; C. Muñoz-Caro;" A. Niño"",""Pervasive Technology Institute, Indiana University, Bloomington, IN, USA"; Universidad de Castilla-La Mancha, Ciudad Real;" Universidad de Castilla-La Mancha, Ciudad Real"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2012"",""2012"",""23"",""8"",""1369"",""1386"",""In this work, we present a survey of the different parallel programming models and tools available today with special consideration to their suitability for high-performance computing. Thus, we review the shared and distributed memory approaches, as well as the current heterogeneous parallel programming model. In addition, we analyze how the partitioned global address space (PGAS) and hybrid parallel programming models are used to combine the advantages of shared and distributed memory systems. The work is completed by considering languages with specific parallel support and the distributed programming paradigm. In all cases, we present characteristics, strengths, and weaknesses. The study shows that the availability of multi-core CPUs has given new impulse to the shared memory parallel programming approach. In addition, we find that hybrid parallel programming is the current way of harnessing the capabilities of computer clusters with multi-core nodes. On the other hand, heterogeneous programming is found to be an increasingly popular paradigm, as a consequence of the availability of multi-core CPUs+GPUs systems. The use of open industry standards like OpenMP, MPI, or OpenCL, as opposed to proprietary solutions, seems to be the way to uniformize and extend the use of parallel programming models."",""1558-2183"","""",""10.1109/TPDS.2011.308"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6122018"",""Parallelism and concurrency";distributed programming;"heterogeneous (hybrid) systems."",""Computational modeling";Parallel programming;Graphics processing unit;Message systems;Instruction sets;"Multicore processing"","""",""174"","""",""190"",""IEEE"",""3 Jan 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A Survey of State Persistency in Peer-to-Peer Massively Multiplayer Online Games,""J. S. Gilmore";" H. A. Engelbrecht"",""MIH Media Laboratory, Department of Electrical and Electronic Engineering, Stellenbosch University, Stellenbosch, South Africa";" MIH Media Laboratory, Department of Electrical and Electronic Engineering, Stellenbosch University, Stellenbosch, South Africa"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Apr 2012"",""2012"",""23"",""5"",""818"",""834"",""Recently, there has been significant research focus on Peer-to-Peer (P2P) Massively Multiplayer Online Games (MMOGs). A number of architectures have been presented in the literature to implement the P2P approach. One aspect that has not received sufficient attention in these architectures is state persistency in P2P MMOGs. This survey presents an overview of the current challenges present in P2P MMOGs, followed by an overview of classic state consistency models used in C/S MMOGs. The survey then classifies the state persistency techniques currently used in P2P MMOGs into super peer storage, overlay storage, hybrid storage, and distance-based storage. Key characteristics, namely scalability, fairness, reliability, responsiveness, and security are then defined. Each state persistency technique is evaluated according to these characteristics and recommendations are then made of possible future areas of research into the different storage types."",""1558-2183"","""",""10.1109/TPDS.2011.210"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963655"",""Distributed systems";distributed applications;internet applications;"games."",""Games";Servers;Peer to peer computing;Security;Computational modeling;Bandwidth;"Computer architecture"","""",""20"","""",""69"",""IEEE"",""28 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
