"A novel channel-adaptive uplink access control protocol for nomadic computing,""Yu-Kwong Kwok";" V. K. N. Lau"",""Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China";" Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""11"",""1150"",""1165"",""We consider the uplink access control problem in a mobile nomadic computing system, which is based on a cellular phone network in that a user can use the mobile device to transmit voice or file data. This resource management problem is important because an efficient solution to uplink access control is critical for supporting a large user population with a reasonable level of quality of service (QoS). While there are a number of recently proposed protocols for uplink access control, these protocols possess a common drawback in that they do not adapt well to the burst error properties, which are inevitable in using wireless communication channels. We propose a novel TDMA-based uplink access protocol, which employs a channel state dependent allocation strategy. Our protocol is motivated by two observations: (1) when channel state is bad, the throughput is low due to the large amount of FEC (forward error correction) or excessive ARQ (automatic repeated request) that is needed and (2) because of item 1, much of the mobile device's energy is wasted. The proposed protocol works closely with the underlying physical layer in that, through observing the channel state information (CSI) of each mobile device, the MAC protocol first segregates a set of users with good CSI from requests gathered in the request contention phase of an uplink frame. The protocol then judiciously allocates channel bandwidth to contending users based on their channel conditions. Simulation results indicate that the proposed protocol considerably outperforms five state-of-the-art protocols in terms of packet loss, delay, and throughput."",""1558-2183"","""",""10.1109/TPDS.2002.1058098"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1058098"","""",""Access control";Access protocols;Mobile computing;Quality of service;Wireless application protocol;Throughput;Forward error correction;Computer networks;Cellular networks;"Resource management"","""",""18"","""",""23"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"An efficient partitioning algorithm for distributed virtual environment systems,""J. C. S. Lui";" M. F. Chan"",""Department of Computer Science and Engineering, Chinese University of Hong Kong, New Territories, Hong Kong, China";" Poly Asia Comuter, Inc., Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""3"",""193"",""211"",""Distributed virtual environment (DVE) systems model and simulate the activities of thousands of entities interacting in a virtual world over a wide area network. Possible applications for DVE systems are multiplayer video games, military and industrial trainings, and collaborative engineering. In general, a DVE system is composed of many servers and each server is responsible to manage multiple clients who want to participate in the virtual world. Each server receives updates from different clients (such as the current position and orientation of each client) and then delivers this information to other clients in the virtual world. The server also needs to perform other tasks, such as object collision detection and synchronization control. A large scale DVE system needs to support many clients and this imposes a heavy requirement on networking resources and computational resources. Therefore, how to meet the growing requirement of bandwidth and computational resources is one of the major challenges in designing a scalable and cost-effective DVE system. In this paper, we propose an efficient partitioning algorithm that addresses the scalability issue of designing a large scale DVE system. The main idea is to dynamically divide the virtual world into different partitions and then efficiently assign these partitions to different servers. This way, each server will process approximately the same amount of workload. Another objective of the partitioning algorithm is to reduce the server-to-server communication overhead. The theoretical foundation of our dynamic partitioning algorithm is based on the linear optimization principle. We also illustrate how one can parallelize the proposed partitioning algorithm so that it can efficiently partition a very large scale DVE system. Lastly, experiments are carried out to illustrate the effectiveness of the proposed partitioning algorithm under various settings of the virtual world."",""1558-2183"","""",""10.1109/71.993202"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993202"","""",""Partitioning algorithms";Network servers;Large-scale systems;Virtual environment;Wide area networks;Games;Industrial training;Collaboration;Object detection;"Computer networks"","""",""131"",""18"",""36"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"An efficient synchronization scheme of multimedia streams in wireless and mobile systems,""A. Boukerche"; Sungbum Hong;" T. Jacob"",""Simulation and Distributed Systems Research Laboratory, Department of Computer Science, University of North Texas, Denton, TX, USA"; Simulation and Distributed Systems Research Laboratory, Department of Computer Science, University of North Texas, Denton, TX, USA;" Simulation and Distributed Systems Research Laboratory, Department of Computer Science, University of North Texas, Denton, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""9"",""911"",""923"",""Recent advances in mobile computing and distributed multimedia systems allow mobile hosts (clients) to access wireless multimedia systems anywhere and at anytime, but not without creating a new set of issues and trade-offs. To the best of our knowledge, there has been very little research in dealing with the synchronization problem in wireless and mobile multimedia systems. In this paper, we propose an efficient distributed synchronization algorithm using quasi-sink for wireless and mobile multimedia systems to ensure and facilitate mobile client access to multimedia objects. We discuss the algorithm and provide its proof of correctness. We also present a set of simulation experiments to evaluate the performance of our scheme using message complexity and buffer usage at each frame arrival time. Our results indicate that our scheme exhibits a significant low message complexity and no underflow and overflow within the bounded delivery time."",""1558-2183"","""",""10.1109/TPDS.2002.1036065"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1036065"","""",""Streaming media";Multimedia systems;Mobile computing;Wireless communication;Multimedia computing;Wireless networks;Multimedia communication;Time factors;Base stations;"Bandwidth"","""",""6"","""",""26"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"An experimental evaluation of I/O optimizations on different applications,""M. A. Kandaswamy"; M. Kandemir; A. Choudhary;" D. Bernholdt"",""Enterprise Server Group, Intel Corporation, Hillsboro, OR, USA"; Microsystems Design Group, Department of Computer Science and Engineering, Pennsylvania State University, PA, USA; Department of Electrical and Computer Engineering, Northwestern University, Evanston, IL, USA;" Northeast Parallel Architecture Center, Syracuse University, Syracuse, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2003"",""2002"",""13"",""12"",""1303"",""1319"",""Many large scale applications have significant I/O requirements as well as computational and memory requirements. Unfortunately, the limited number of I/O nodes provided in a typical configuration of the modern message-passing distributed-memory architectures such as Intel Paragon and IBM SP-2 limits the I/O performance of these applications severely. We examine some software optimization techniques and evaluate their effects in five different I/O-intensive codes from both small and large application domains. Our goals in this study are twofold. First, we want to understand the behavior of large-scale data-intensive applications and the impact of I/O subsystems on their performance and vice versa. Second, and more importantly, we strive to determine the solutions for improving the applications' performance by a mix of software techniques. Our results reveal that different applications can benefit from different optimizations. For example, we found that some applications benefit from file layout optimizations whereas others take advantage of collective I/O. A combination of architectural and software solutions is normally needed to obtain good I/O performance. For example, we show that with a limited number of I/O resources, it is possible to obtain good performance by using appropriate software optimizations. We also show that beyond a certain level, imbalance in the architecture results in performance degradation even when using optimized software, thereby indicating the necessity of an increase in I/O resources."",""1558-2183"","""",""10.1109/TPDS.2002.1158267"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1158267"","""",""Application software";Software performance;Concurrent computing;Large-scale systems;Computer architecture;Parallel architectures;Hardware;Scalability;Degradation;"Multiprocessor interconnection networks"","""",""6"","""",""34"",""IEEE"",""6 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;
"An experimental evaluation of I/O optimizations on different applications,""M. A. Kandaswamy"; M. Kandemir; A. Choudhary;" D. Bernholdt"",""Intel Corp, Santa Clara, CA, US"; NA; Electrical and computer engineering, Northwestern University;" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""7"",""728"",""744"",""Many large-scale applications have significant I/O requirements as well as computational and memory requirements. Unfortunately, the limited number of I/O nodes provided in a typical configuration of the modern message-passing distributed-memory architectures such as the Intel Paragon and the IBM SP-2 limits the I/O performance of these applications severely. In this paper, we examine some software optimization techniques and evaluate their effects in five different I/O-intensive codes from both small and large application domains. Our goals in this study are twofold. First, we want to understand the behavior of large-scale data-intensive applications and the impact of I/O subsystems on their performance and vice versa. Second, and more importantly, we strive to determine the solutions for improving the applications' performance by a mix of software techniques. Our results reveal that different applications can benefit from different optimizations. For example, we found that some applications benefit from file layout optimizations, whereas others take advantage of collective I/O. A combination of architectural and software solutions is normally needed to obtain good I/O performance. For example, we show that with a limited number of I/O resources, it is possible to obtain good performance by using appropriate software optimizations. We also show that beyond a certain level, imbalance in the architecture results in performance degradation even when using optimized software, thereby indicating the necessity of an increase in I/O resources."",""1558-2183"","""",""10.1109/TPDS.2002.1019861"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019861"","""",""Application software";Software performance;Concurrent computing;Large-scale systems;Computer architecture;Hardware;Scalability;Degradation;Parallel architectures;"Multiprocessor interconnection networks"","""","""","""",""34"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Author index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2003"",""2002"",""13"",""12"",""1333"",""1335"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the coauthors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under he primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.2002.1158269"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1158269"","""","""","""","""","""","""",""IEEE"",""6 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Automatic compilation of loops to exploit operator parallelism on configurable arithmetic logic units,""N. Ramasubramanian"; R. Subramanian;" S. Pande"",""Microsoft Corporation, Redmond, WA, USA"; Xilinx, Inc., San Jose, CA, USA;" College of Computing, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""1"",""45"",""66"",""Configurable arithmetic logic units (ALUs) offer opportunities for adapting the underlying hardware to support the varying amount of parallelism in the computation. The problem of identifying the optimal parallel configurations (a configuration is defined as a given hardware implementation of different operators along with their multiplicities) at different steps in a program is a very complex issue but, if solved, allows the power of these ALUs to be maximally used. This paper focuses on developing an automatic compilation framework for configuration analysis to exploit operator parallelism within loop nests. The focus of this work is on performing configuration analysis to minimize costly reconfiguration overheads. In our framework, we initially carry out some operator and loop transformations to expose more opportunities for configuration reuse. We then present a two pass solution. The first pass attempts to generate either maximal cutsets (a cutset is defined as a group of statements that execute under a given configuration) or maximally parallel configurations by performing an analysis on the program dependency graph (PDG) of a loop nest. The second pass analyzes the trade-offs between the costs and benefits of reconfigurations across different cutsets and attempts to eliminate the reconfiguration overheads by merging cutsets. This methodology is implemented in the SUIF compilation system and is tested using some loops extracted from Perfect benchmarks and Livermore kernels. Good speedups are obtained, showing the merit of the proposed method. The method also scales well with the loop sizes and the amount of space available on FPGAs for configurable logic."",""1558-2183"","""",""10.1109/71.980026"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=980026"","""",""Parallel processing";Logic;Hardware;Performance analysis;Arithmetic;Concurrent computing;Cost benefit analysis;Merging;System testing;"Benchmark testing"","""",""2"",""1"",""34"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Automatic partitioning of parallel loops with parallelepiped-shaped tiles,""F. Rastello";" Y. Robert"",""STMicroelectronics, Grenoble, France";" Institute Nationale de Recherche en Informatique et en Automatique INRIA,Computer Science Laboratory LIP, UMR, CNRS-ENS Lyon, Lyon, France"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""5"",""460"",""470"",""In this paper, an efficient algorithm to implement loop partitioning is introduced and evaluated. We start from results of Agarwal et al. (1995) whose aim is to minimize the number of accessed data throughout the computation of a tile";" this number is called the cumulative footprint of the tile. We improve these results along several directions. First, we derive a new formulation of the cumulative footprint, allowing for an analytical solution of the optimization problem stated by Agarwal et al.. Second, we deal with arbitrary parallelepiped-shaped tiles, as opposed to rectangular tiles. We design an efficient heuristic to determine the optimal tile shape in this general setting and we show its usefulness using both examples of Agarwal et al. and a large collection of randomly generated data."",""1558-2183"","""",""10.1109/TPDS.2002.1003856"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1003856"","""",""Partitioning algorithms";Arithmetic;Optimization methods;Costs;Microelectronics;"Computer science"","""",""9"","""",""15"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Automatic recovery from disk failure in continuous-media servers,""J. Y. B. Lee";" J. C. S. Lui"",""Department of Information Engineering, Chinese University of Hong Kong, New Territories, Hong Kong, China";" Department of Computer Science and Engineering, Chinese University of Hong Kong, New Territories, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""5"",""499"",""515"",""Continuous-media (CM) servers have been around for some years. Apart from server capacity, another important issue in the deployment of CM servers is reliability. This study investigates rebuild algorithms for automatically rebuilding data stored in a failed disk into a spare disk. Specifically, a block-based rebuild algorithm is studied with the rebuild time and buffer requirement modeled. A buffer-sharing scheme is then proposed to eliminate the additional buffers needed by the rebuild process. To further improve rebuild performance, a track-based rebuild algorithm that rebuilds lost data in tracks is proposed and analyzed. Results show that track-based rebuild, while it substantially outperforms block-based rebuild, requires significantly more buffers (17-135 percent more) even with buffer sharing. To tackle this problem, a novel pipelined rebuild algorithm is proposed to take advantage of the sequential property of track retrievals to pipeline the reading and writing processes. This pipelined rebuild algorithm achieves the same rebuild performance as track-based rebuild, but reduces the extra buffer requirement to insignificant levels (0.7-1.9 percent). Numerical results computed using models of five commercial disk drives demonstrate that automatic rebuild of a failed disk can be done in a reasonable amount of time, even at relatively high server utilization (e.g., less than 1.5 hours at 90 percent utilization)."",""1558-2183"","""",""10.1109/TPDS.2002.1003860"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1003860"","""",""Streaming media";Performance analysis;Information retrieval;Degradation;Lifting equipment;Algorithm design and analysis;Pipelines;Writing;Disk drives;"Fault tolerance"","""",""35"",""2"",""21"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Balancing buffer utilization in meshes using a ""restricted area"" concept,""Po-Jen Chuang"; Juei-Tang Chen;" Yue-Tsuen Jiang"",""Department of Electrical engineering, Tamkang University, Taipei, Hsien, China"; Winbond Electronics Corporation, Hsinchu, Taiwan;" Department of Electrical engineering, Tamkang University, Taipei, Hsien, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""8"",""814"",""827"",""Adaptive routing and virtual channels are used to increase routing adaptivity in wormhole-routed two-dimensional meshes. But increasing channel buffer utilization without considering even distribution of the traffic loads tends to cause congestion in the most adaptive routing area. To avoid such traffic congestion, a concept of the restricted area is proposed. The proposed restricted area, defined to be a part of the network where message transmission concentrates, can be located following the region of adaptivity. By properly guiding message routing inside and outside the area, we are able to achieve more balanced buffer utilization and to reduce traffic congestion accordingly. The performance of several routing algorithms with or without using the restricted area is simulated and evaluated under various traffic loads and distribution patterns. The results indicate that routing algorithms with the restricted areas yield constantly larger throughput and smaller latency than routing algorithms without using the concept."",""1558-2183"","""",""10.1109/TPDS.2002.1028438"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1028438"","""",""Routing";Telecommunication traffic;Traffic control;Throughput;Pipelines;Degradation;Delay effects;System recovery;"Guidelines"","""",""4"","""",""14"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Boosting the performance of Myrinet networks,""J. Flich"; P. Lopez; M. P. Malumbres;" J. Duato"",""Universidad Politecnica de Valencia, Valencia, Spain"; Universidad Politecnica de Valencia, Valencia, Spain; Universidad Politecnica de Valencia, Valencia, Spain;" Universidad Politecnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""7"",""693"",""709"",""Networks of workstations (NOWs) are becoming increasingly popular as a cost-effective alternative to parallel computers. These networks allow the customer to connect processors using irregular topologies, providing the wiring flexibility, scalability and incremental expansion capability required in this environment. Some of these networks use source routing and wormhole switching. In particular, we are interested in Myrinet networks because they are a well-known commercial product and their behavior can be controlled by the software running on the network interfaces (the Myrinet Control Program, MCP). Usually, the Myrinet network uses up*/down* routing for computing the paths for every source-destination pair. In this paper, we propose an in-transit buffer (ITB) mechanism to improve the network performance. We apply the ITB mechanism to NOWs with up*/down* source routing, like the Myrinet, analyzing its behavior on networks with both regular and irregular topologies. The proposed scheme can be implemented on Myrinet networks by simply modifying the MCP, without changing the network hardware. We evaluate by simulation several networks with different traffic patterns using timing parameters taken from the Myrinet network. The results show that the current routing schemes used in Myrinet networks can be strongly improved by applying the ITB mechanism. In general, our proposed scheme is able to double the network throughput on medium and large NOWs. Finally, we present a first implementation of the ITB mechanism on a Myrinet network."",""1558-2183"","""",""10.1109/TPDS.2002.1019859"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019859"","""",""Boosting";Routing;Computer networks;Network topology;Workstations;Concurrent computing;Wiring;Scalability;Network interfaces;"Hardware"","""",""18"","""",""20"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Boosting the performance of Myrinet networks,""J. Flich"; P. Lopez; M. P. Malumbres;" J. Duato"",""Universidad Politecnica de Valencia, Valencia, Spain"; Universidad Politecnica de Valencia, Valencia, Spain; Universidad Politecnica de Valencia, Valencia, Spain;" Universidad Politecnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""11"",""1166"",""1182"",""Networks of workstations (NOWs) are becoming increasingly popular as a cost-effective alternative to parallel computers. These networks allow the customer to connect processors using irregular topologies, providing the wiring flexibility, scalability, and incremental expansion capability required in this environment. Some of these networks use source routing and wormhole switching. In particular, we are interested in Myrinet networks because it is a well-known commercial product and its behavior can be controlled by the software running in network interfaces (Myrinet Control Program, MCP). Usually, the Myrinet network uses up*/down* routing for computing the paths for every source-destination pair. We propose the In-Transit Buffer (ITB) mechanism to improve network performance. We apply the ITB mechanism to NOWs with up*/down* source routing, like Myrinet, analyzing its behavior on both networks with regular and irregular topologies. The proposed scheme can be implemented on Myrinet networks by only modifying the MCP, without changing the network hardware. We evaluate by simulation several networks with different traffic patterns using timing parameters taken from the Myrinet network. Results show that the current routing schemes used in Myrinet networks can be strongly improved by applying the ITB mechanism. In general, our proposed scheme is able to double the network throughput on medium and large NOWs. Finally, we present a first implementation of the ITB mechanism on a Myrinet network."",""1558-2183"","""",""10.1109/TPDS.2002.1058099"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1058099"","""",""Boosting";Routing;Computer networks;Network topology;Workstations;Concurrent computing;Wiring;Scalability;Network interfaces;"Hardware"","""",""3"","""",""20"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;
