"A Comment on “A Necessary and Sufficient Condition for Deadlock-Free Adaptive Routing in Wormhole Networks”,""F. Verbeek";" J. Schmaltz"",""School of Computer Science, Open University, Netherlands, Netherlands";" School of Computer Science, Open University, Netherlands, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Aug 2011"",""2011"",""22"",""10"",""1775"",""1776"",""The purpose of this comment is to show that Duato's condition for deadlock freedom is only sufficient and not necessary. We propose a fix to keep the condition necessary. The issue is subtle but essential: in a wormhole network worms necessarily do not intersect."",""1558-2183"","""",""10.1109/TPDS.2011.16"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5680895"",""General";"Miscellaneous"",""System recovery";Routing;Law;Multiprocessor interconnection;Grippers;"Adaptive systems"","""",""16"","""",""4"",""IEEE"",""6 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"A Lightweight Multidimensional Index for Complex Queries over DHTs,""Y. Tang"; J. Xu; S. Zhou; W. -C. Lee; D. Deng;" Y. Wang"",""College of Computing, Georgia Institute of Technology, Atlanta, GA, USA"; Department of Computer Science, Hong Kong Baptist University, Hong Kong, China; Shanghai Key Laboratory of Intelligent Infromation Processing, School of Computer Science, Fudan University, Shanghai, China; Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA; School of Computer Science, Fudan University, Shanghai, China;" School of Computer Science, Fudan University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Oct 2011"",""2011"",""22"",""12"",""2046"",""2054"",""In this paper, we study the problem of indexing multidimensional data in P2P networks based on distributed hash tables (DHTs). We advocate the indexing approach that superimposes a multidimensional index tree on top of a DHT - a paradigm that keeps the underlying DHT intact while being able to adapt to any DHT substrate. In this context, we identify several index design issues and propose a novel indexing scheme called multidimensional Lightweight Hash Tree (m-LIGHT). First, to preserve data locality, m-LIGHT employs a clever naming mechanism that gracefully maps a tree-based index into the DHT and contributes to high efficiency in both index maintenance and query processing. Second, to tackle the load balancing issue, m-LIGHT leverages a new data-aware splitting strategy that achieves optimal load balance under a fixed index size. We present detailed algorithms for processing complex queries over the m-LIGHT index. We also conduct an extensive performance evaluation of m-LIGHT in comparison with several state-of-the-art indexing schemes. The experimental results show that m-LIGHT substantially reduces index maintenance overhead and improves query performance in terms of both bandwidth consumption and response latency."",""1558-2183"","""",""10.1109/TPDS.2011.91"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733347"",""P2P systems";distributed hash tables;multi-dimensional indexing;range queries;"k-NN queries."",""Peer to peer computing";Maintenance engineering;Query processing;Indexing;"Distributed databases"","""",""9"","""",""25"",""IEEE"",""17 Mar 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A Memory-Efficient Bit-Split Parallel String Matching Using Pattern Dividing for Intrusion Detection Systems,""H. Kim"; H. -S. Kim;" S. Kang"",""Yonsei University, Seodaemun-gu, Seoul, KR"; Department of Electrical and Electronic Engineering, Yonsei University, Seoul, Korea;" Department of Electrical and Electronic Engineering, Yonsei University, Seoul, Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Sep 2011"",""2011"",""22"",""11"",""1904"",""1911"",""For the low-cost hardware-based intrusion detection systems, this paper proposes a memory-efficient parallel string matching scheme. In order to reduce the number of state transitions, the finite state machine tiles in a string matcher adopt bit-level input symbols. Long target patterns are divided into subpatterns with a fixed length";" deterministic finite automata are built with the subpatterns. Using the pattern dividing, the variety of target pattern lengths can be mitigated, so that memory usage in homogeneous string matchers can be efficient. In order to identify each original long pattern being divided, a two-stage sequential matching scheme is proposed for the successive matches with subpatterns. Experimental results show that total memory requirements decrease on average by 47.8 percent and 62.8 percent for Snort and ClamAV rule sets, in comparison with several existing bit-split string matching methods."",""1558-2183"","""",""10.1109/TPDS.2011.85"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733341"",""Computer network security";finite state machines;site security monitoring;"string matching."",""Pattern matching";Intrusion detection;Doped fiber amplifiers;Memory management;"Throughput"","""",""20"","""",""15"",""IEEE"",""17 Mar 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"A Passive Solution to the CPU Resource Discovery Problem in Cluster Grid Networks,""L. Watkins"; W. H. Robinson;" R. Beyah"",""Applied Physics Laboratory, Johns Hopkins University, Laurel, MD, USA"; Department of Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN, USA;" School of Electrical and Computer Engineering, Communications Assurance and Performance Group, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Oct 2011"",""2011"",""22"",""12"",""2000"",""2007"",""We present the details of a novel method for passive resource discovery in cluster grid environments, where resources constantly utilize internode communication. Our method offers the ability to nonintrusively identify resources that have available CPU cycles"; this is critical for lowering queue wait times in large cluster grid networks. The benefits include: 1) low message complexity, which facilitates low latency in distributed networks, 2) scalability, which provides support for very large networks, and 3) low maintainability, since no additional software is needed on compute resources. Using a 50-node (multicore) test bed (DETERlab), we demonstrate the feasibility of our method with experiments utilizing TCP, UDP, and ICMP network traffic. We use a simple but powerful technique that monitors the frequency of network packets emitted from the Network Interface Card (NIC) of local resources. We observed the correlation between CPU load and the timely response of network traffic. A highly utilized CPU will have numerous, active processes which require context switching. The latency associated with numerous context switches manifests as a delay signature within the packet transmission process. Our method detects that delay signature to determine the utilization of network resources. Results show that our method can consistently and accurately identify nodes with available CPU cycles (<;"70 percent CPU utilization) through analysis of existing network traffic, including network traffic that has passed through a switch (noncongested). Also, in situations where there is no existing network traffic for nodes, ICMP ping replies can be used to ascertain this resource information."",""1558-2183"","""",""10.1109/TPDS.2011.89"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733345"",""Cluster grid computing";passive resource discovery;"clustering algorithm."",""Decision support systems";Complexity theory;Clustering methods;Grid computing;"Network interfaces"","""",""12"",""2"",""16"",""IEEE"",""17 Mar 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"A Physical/Virtual Carrier-Sense-Based Power Control MAC Protocol for Collision Avoidance in Wireless Ad Hoc Networks,""K. -P. Shih"; Y. -D. Chen;" C. -C. Chang"",""Department of Computer Science and Information Engineering, Tamkang University, Taipei, Taiwan"; Department of Computer Information and Network Engineering, Lunghwa University of Science and Technology, Taoyuan, Taiwan;" Department of Computer Science and Information Engineering, Tamkang University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Dec 2010"",""2011"",""22"",""2"",""193"",""207"",""A kind of hidden terminal problem, called the POINT problem, which is caused by the expansion of the interference range of the receiver due to the controlled transmission power of the sender, is deemed a notorious problem in wireless ad hoc networks. This paper utilizes physical and virtual carrier-sensing schemes to avoid the POINT problem. We analyze the relationships among the transmission range, the carrier-sensing range, and the interference range in case power control is adopted, and based on the analyzed results, we propose four mechanisms to prevent the POINT problem from occurring in wireless ad hoc networks. This paper further analyzes the superiority of each mechanism under certain situations and proposes an adaptive range-based power control (ARPC) MAC protocol to make use of the advantages of the four mechanisms to avoid the POINT problem from happening. The proposed protocol cannot only prevent collisions caused by the POINT problem, but it can also reduce the energy consumption of STAs. Simulation results also verify the advantages of the proposed protocol."",""1558-2183"","""",""10.1109/TPDS.2010.75"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445095"",""Hidden terminal problem";IEEE 802.11;MAC protocols;power control;"wireless ad hoc networks."",""Power control";Media Access Protocol;Wireless application protocol;Collision avoidance;Mobile ad hoc networks;Interference;Energy consumption;Signal to noise ratio;Power engineering and energy;"Programmable control"","""",""28"","""",""25"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"A Reliability-Oriented Transmission Service in Wireless Sensor Networks,""Y. Liu"; Y. Zhu; L. Ni;" G. Xue"",""Institute of Advanced Computing and Digital Engineering, Shenzhen Institutes of Advanced Technology (SIAT), Chinese Academy of Sciences (CAS), Shenzhen, China"; Computer Science Department, Shanghai Jiao Tong University, Shanghai, China; Computer Science Department, Shanghai Jiao Tong University, Shanghai, China;" Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Oct 2011"",""2011"",""22"",""12"",""2100"",""2107"",""Reliable communications are essential for most applications in wireless sensor networks (WSNs). In traditional approaches, the per-hop and end-to-end (E2E) recovery schemes are widely used. These schemes, however, suffer from low E2E success rate and poor energy efficiency in large-scale real environments. Through empirical studies, in this paper we identify three major problems that hinder the efficient and reliable communications. To address these problems, we propose a novel in-middle recovery scheme and realize it by designing and implementing a proliferation routing. Proliferation routing integrates three core technologies, namely, capability-based path finder, a randomized dispersity, and reproduction. Proliferation routing offers great flexibilities for transmissions. It cannot only be applied with any Medium Access Control (MAC) protocols and routing metrics, but also obtains a desired service quality (i.e., transmission success rate, energy cost, etc.) by controlling the system parameters. To demonstrate the effectiveness of proliferation routing, we thoroughly analyze its performance. We also conduct performance evaluations through implementation experiments as well as simulations. In a specific experimental setup, proliferation routing can increase the E2E transmission success rate up to 80 percent compared with the well-known hop-based routing and flooding."",""1558-2183"","""",""10.1109/TPDS.2011.113"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5740874"",""Wireless network";communication protocols;"routing."",""Network routing";Wireless sensor networks;Media Access Protocol;Wireless communication;Algorithm design and analysis;"Network topology"","""",""60"","""",""22"",""IEEE"",""5 Apr 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"A Switch-Tagged Routing Methodology for PC Clusters with VLAN Ethernet,""M. Koibuchi"; T. Otsuka; T. Kudoh;" H. Amano"",""Information Systems Architecture Research Division, National Institute of Informatics (NII), Chiyoda, Tokyo, Japan"; Information Technology Center, Keio University, Yokohama, Japan; Information Technology Research Institute, National Institute for Advanced Industrial Science and Technology, Tsukuba, Ibaraki, Japan;" Department of Information and Computer Science, Faculty of Science and Technology, Keio University, Yokohama, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Dec 2010"",""2011"",""22"",""2"",""217"",""230"",""Ethernet has been used for connecting hosts in PC clusters, besides its use in local area networks. Although a layer-2 Ethernet topology is limited to a tree structure because of the need to avoid broadcast storms and deadlocks of frames, various deadlock-free routing algorithms on topologies that include loops suitable for parallel processing can be employed by the application of IEEE 802.1Q VLAN technology. However, the MPI communication libraries used in current PC clusters do not always support tagged VLAN technology";" therefore, at present, the design of VLAN-based Ethernet cannot be applied to such PC clusters. In this study, we propose a switch-tagged routing methodology in order to implement various deadlock-free routing algorithms on such PC clusters by using at most the same number of VLANs as the degree of a switch. Since the MPI communication libraries do not need to perform VLAN operations, the proposed methodology has advantages in both simple host configuration and high portability. In addition, when it is used with on/off and multispeed link regulation, the power consumption of Ethernet switches can be reduced. Evaluation results using NAS parallel benchmarks showed that the performance of the topologies that include loops using the proposed methodology was comparable to that of an ideal one-switch (full crossbar) network, and the torus topology in particular had up to a 27 percent performance improvement compared with a tree topology with link aggregation."",""1558-2183"","""",""10.1109/TPDS.2010.73"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445093"",""Ethernet";routing;deadlock avoidance;interconnection networks;"PC clusters."",""Routing";Ethernet networks;Network topology;System recovery;Switches;Clustering algorithms;Joining processes;Local area networks;Tree data structures;"Broadcast technology"","""",""5"","""",""31"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A Timing-Based Scheme for Rogue AP Detection,""H. Han"; B. Sheng; C. C. Tan; Q. Li;" S. Lu"",""Department of Computer Science, McGlothlin-Street Hall, Williamsburg, VA"; Department of Computer Science, University of Massachusetts Boston, Boston, MA; Department of Computer and Information Science, Temple University, Philadelphia, PA; Department of Computer Science, McGlothlin-Street Hall, Williamsburg, VA;" Department of Computer Science and Technology, Nanjing University, Jiangsu, China"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Sep 2011"",""2011"",""22"",""11"",""1912"",""1925"",""This paper considers a category of rogue access points (APs) that pretend to be legitimate APs to lure users to connect to them. We propose a practical timing-based technique that allows the user to avoid connecting to rogue APs. Our detection scheme is a client-centric approach that employs the round trip time between the user and the DNS server to independently determine whether an AP is a rogue AP without assistance from the WLAN operator. We implemented our detection technique on commercially available wireless cards to evaluate their performance. Extensive experiments have demonstrated the accuracy, effectiveness, and robustness of our approach. The algorithm achieves close to 100 percent accuracy in distinguishing rogue APs from legitimate APs in lightly loaded traffic conditions, and larger than 60 percent accuracy in heavy traffic conditions. At the same time, the detection only requires less than 1 second for lightly-loaded traffic conditions and tens of seconds for heavy traffic conditions."",""1558-2183"","""",""10.1109/TPDS.2011.125"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6007016"",""Wireless LAN";IEEE 802.11;rogue access point;"round trip time."",""Wireless communication";Probes;Servers;Accuracy;Protocols;Monitoring;"Internet"","""",""93"",""7"",""27"",""IEEE"",""1 Sep 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Accelerating Pairwise Computations on Cell Processors,""A. Sarje"; J. Zola;" S. Aluru"",""Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"; Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA;" Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Nov 2010"",""2011"",""22"",""1"",""69"",""77"",""Direct computation of all pairwise distances or interactions is a fundamental problem that arises in many application areas including particle or atomistic simulations, fluid dynamics, computational electromagnetics, materials science, genomics and systems biology, and clustering and data mining. In this paper, we present methods for performing such pairwise computations efficiently in parallel on Cell processors. This problem is particularly challenging on the Cell processor due to the small sized Local Stores of the Synergistic Processing Elements, the main computational cores of the processor. We present techniques for different variants of this problem including those with large number of entities or when the dimensionality of the information per entity is large. We demonstrate our methods in the context of multiple applications drawn from fluid dynamics, materials science and systems biology, and present detailed experimental results. Our software library is an open source and can be readily used by application scientists to accelerate pairwise computations using Cell accelerators."",""1558-2183"","""",""10.1109/TPDS.2010.65"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445085"",""Parallel algorithms";computations on matrices;cell broadband engine;pairwise computations;heterogeneous (hybrid) systems;"multicore/single-chip multiprocessors."",""Acceleration";Biology computing;Fluid dynamics;Materials science and technology;Systems biology;Application software;Biological system modeling;Computational modeling;Computational electromagnetics;"Genomics"","""",""7"","""",""27"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Accelerating the Execution of Matrix Languages on the Cell Broadband Engine Architecture,""R. Khoury"; B. Burgstaller;" B. Scholz"",""School of Information Technologies, University of Sydney, Sydney, NSW, Australia"; Department of Computer Science, Yonsei University, Seoul, South Korea;" School of Information Technologies, University of Sydney, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Nov 2010"",""2011"",""22"",""1"",""7"",""21"",""Matrix languages, including MATLAB and Octave, are established standards for applications in science and engineering. They provide interactive programming environments that are easy to use due to their script languages with matrix data types. Current implementations of matrix languages do not fully utilize high-performance, special-purpose chip architectures, such as the IBM PowerXCell processor (Cell). We present a new framework that extends Octave to harvest the computational power of the Cell. With this framework, the programmer is alleviated of the burden of introducing explicit notions of parallelism. Instead, the programmer uses a new matrix data type to execute matrix operations in parallel on the synergistic processing elements (SPEs) of the Cell. We employ lazy evaluation semantics for our new matrix data type to obtain execution traces of matrix operations. Traces are converted to data dependence graphs";" operations in the data dependence graph are lowered (split into submatrices), scheduled and executed on the SPEs. Thereby, we exploit 1) data parallelism, 2) instruction level parallelism, 3) pipeline parallelism, and 4) task parallelism of matrix language programs. We conducted extensive experiments to show the validity of our approach. Our Cell-based implementation achieves speedups of up to a factor of 12 over code run on recent Intel Core2 Quad processors."",""1558-2183"","""",""10.1109/TPDS.2010.58"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5441290"",""Programming languages";lazy evaluation;scheduling;data partitioning;math script languages;"Cell Broadband Engine architecture."",""Acceleration";Engines;Parallel processing;Matrix converters;Programming profession;MATLAB;Power engineering and energy;Programming environments;Computer architecture;"Pipelines"","""",""6"",""1"",""34"",""IEEE"",""1 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Accelerating Wavelet Lifting on Graphics Hardware Using CUDA,""W. J. van der Laan"; A. C. Jalba;" J. B. T. M. Roerdink"",""Johann Bernoulli Institute of Mathematics and Computer Science, University of Groningam, Groningen, Netherlands"; Institute of Mathematics and Computing Science, Eindhovan University of Technology, Eindhoven, Netherlands;" Johann Bernoulli Institute of Mathematics and Computer Science, University of Groningam, Groningen, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Nov 2010"",""2011"",""22"",""1"",""132"",""146"",""The Discrete Wavelet Transform (DWT) has a wide range of applications from signal processing to video and image compression. We show that this transform, by means of the lifting scheme, can be performed in a memory and computation-efficient way on modern, programmable GPUs, which can be regarded as massively parallel coprocessors through NVidia's CUDA compute paradigm. The three main hardware architectures for the 2D DWT (row-column, line-based, block-based) are shown to be unsuitable for a CUDA implementation. Our CUDA-specific design can be regarded as a hybrid method between the row-column and block-based methods. We achieve considerable speedups compared to an optimized CPU implementation and earlier non-CUDA-based GPU DWT methods, both for 2D images and 3D volume data. Additionally, memory usage can be reduced significantly compared to previous GPU DWT methods. The method is scalable and the fastest GPU implementation among the methods considered. A performance analysis shows that the results of our CUDA-specific design are in close agreement with our theoretical complexity analysis."",""1558-2183"","""",""10.1109/TPDS.2010.143"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5539768"",""Discrete wavelet transform";wavelet lifting;graphics hardware;"CUDA."",""Acceleration";Graphics;Hardware;Discrete wavelet transforms;Concurrent computing;Performance analysis;Video signal processing;Video compression;Image coding;"Discrete transforms"","""",""81"","""",""26"",""IEEE"",""5 Aug 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
