"A design methodology for efficient application-specific on-chip interconnects,""W. H. Ho";" T. M. Pinkston"",""Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA";" Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Jan 2006"",""2006"",""17"",""2"",""174"",""190"",""As the level of chip-integration continues to advance at a fast pace, the desire for efficient interconnects - whether on-chip or off-chip - is rapidly increasing. Traditional interconnects like buses, point-to-point wires, and regular topologies may suffer from poor resource sharing in the time and space domains, leading to high contention or low resource utilization. In this paper, we propose a design methodology for constructing networks for special-purpose computer systems with well-behaved (known) communication characteristics. A temporal and spatial model is proposed to define the sufficient condition for contention-free communication. Based upon this model, a design methodology using a recursive bisection technique is applied to systematically partition a parallel system such that the required number of links and switches is minimized while achieving low contention. Results show that the design methodology can generate more optimized on-chip networks with up to 60 percent fewer resources than meshes or tori while providing blocking performance closer to that of a fully connected crossbar."",""1558-2183"","""",""10.1109/TPDS.2006.15"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566595"",""On-chip interconnects";communication model;low-contention communication;network partitioning;"irregular topology."",""Design methodology";Resource management;Wires;Network topology;Computer networks;Sufficient conditions;Switches;Communication switching;Design optimization;"Network-on-a-chip"","""",""23"","""",""30"",""IEEE"",""3 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Analysis of Replica Placement under Expiration-Based Consistency Management,""Xueyan Tang";" S. T. Chanson"",""School of Computer Engineering, Nanyang Technological University, Singapore";" Department of Computer Science, Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Oct 2006"",""2006"",""17"",""11"",""1253"",""1263"",""Expiration-based consistency management is widely used to keep replicated contents up-to-date in the Internet. The effectiveness of replication can be characterized by the communication costs of client accesses and consistency management. Both costs depend on the locations of the replicas. This paper investigates the problem of placing replicas in a network where replica consistency is managed by the expiration-based scheme. Our objective is to minimize the total cost of client accesses and consistency management. By analyzing the communication cost of recursive validations for cascaded replicas, we prove that in the optimal placement scheme, the nodes not assigned replicas induce a connected subgraph that includes the origin server. Our results are generic in that they apply to any request arrival patterns. Based on the analysis, an O(D){\hbox{-}}{\rm{time}} algorithm is proposed to compute the optimal placement of the replicas, where D is the sum of the number of descendants over all nodes in the routing tree."",""1558-2183"","""",""10.1109/TPDS.2006.147"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1705463"",""Replication";consistency management;replica placement;"time-to-live."",""Content management";Internet;Cost function;Algorithm design and analysis;Routing;IP networks;Network topology;Mirrors;Distributed algorithms;"Electronic commerce"","""",""8"","""",""25"",""IEEE"",""2 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Bandwidth Efficient String Reconciliation Using Puzzles,""S. Agarwal"; V. Chauhan;" A. Trachtenberg"",""Deutsche Telekom AG, Berlin, Germany"; Tradestone Software, Gloucester, MA, USA;" Department of Electrical and Computer Engineering, Boston University, Boston, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Oct 2006"",""2006"",""17"",""11"",""1217"",""1225"",""Of considerable interest in recent years has been the problem of exchanging correlated data with minimum communication. We thus consider the problem of exchanging two similar strings held by different hosts. Our approach involves transforming a string into a multiset of substrings that are reconciled efficiently using known multiset reconciliation algorithms, and then put back together on a remote host using tools from graph theory. We present analyses, experiments, and results to show that the communication complexity of our approach for high-entropy data compares favorably to existing algorithms including rsync, a widely-used string reconciliation engine. We also quantify the trade-off between communication and the computation complexity of our approach"",""1558-2183"","""",""10.1109/TPDS.2006.148"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1705460"",""Efficient file synchronization";string reconstruction;"rsync."",""Bandwidth";Complexity theory;Application software;Graph theory;Algorithm design and analysis;Search engines;Image reconstruction;Web pages;Genomics;"Bioinformatics"","""",""14"","""",""32"",""IEEE"",""2 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Capacity-aware multicast algorithms on heterogeneous overlay networks,""Z. Zhang"; S. Chen; Y. Ling;" R. Chow"",""University of Florida, Gainesville, FL, USA"; University of Florida, Gainesville, FL, USA; Applied Research Lab, Telcordia Technologies, Inc., NJ, USA;" University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Jan 2006"",""2006"",""17"",""2"",""135"",""147"",""The global deployment of IP multicast has been slow due to the difficulties related to heterogeneity, scalability, manageability, and lack of a robust interdomain multicast routing protocol. Application-level multicast becomes a promising alternative. Many overlay multicast systems have been proposed in recent years. However, they are insufficient in supporting applications that require any-source multicast with varied host capacities and dynamic membership. In this paper, we propose two capacity-aware multicast systems that focus on host heterogeneity, any source multicast, dynamic membership, and scalability. We extend Chord and Koorde to be capacity-aware. We then embed implicit degree-varying multicast trees on top of the overlay network and develop multicast routines that automatically follow the trees to disseminate multicast messages. The implicit trees are well balanced with the workload evenly spread across the network. We rigorously analyze the expected performance of multisource capacity-aware multicasting, which was not thoroughly addressed in any previous work. We also perform extensive simulations to evaluate the proposed multicast systems."",""1558-2183"","""",""10.1109/TPDS.2006.19"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566592"",""Multicast";"network communication."",""Multicast algorithms";Scalability;Multicast protocols;Unicast;Throughput;Robustness;Routing protocols;Performance analysis;Performance evaluation;"Transfer functions"","""",""15"","""",""33"",""IEEE"",""3 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Comment on ""RAID5 performance with distributed sparing"",""A. Thomasian"",""Department of Computer Science, New Jersey Institute of Technology, Newark, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Mar 2006"",""2006"",""17"",""4"",""399"",""400"",""We provide an improved performance analysis of zoned disk drives, especially the seek distance distribution, than in a paper by Thomasian and Menon."",""1558-2183"","""",""10.1109/TPDS.2006.41"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1603522"","""",""Disk drives";Performance analysis;Delay;Linear approximation;Disk recording;Throughput;"Legged locomotion"","""",""8"",""1"",""5"",""IEEE"",""6 Mar 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Component-oriented radars with probabilistic timing guarantees,""Chin-Fu Kuo"; Ya-Shu Chen; Tei-Wei Kuo; Phone Lin;" Cheng Chang"",""Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan"; Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan; Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan; Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan;" System Development Center, Chung Shang Institute of Science and Technology, Lungtan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Jun 2006"",""2006"",""17"",""7"",""723"",""735"",""In recent years, many modern phased-array radars are built with commercial off-the-shelf components, and the functions of many hardware components are also reimplemented by software modules. In such systems, radar tasks could be modeled as distributed real-time tasks which require end-to-end deadline guarantees and have precedence constraints. Different from most previous work on either algorithms with restrictions in resource utilization or heuristics without analytical ways for schedulability guarantees, the objective of this paper is to propose a joint real-time scheduling algorithm for both transmitter/receiver and signal processor workloads with an analytical framework for offline probabilistic analysis and online admission control. The strength of our approach is verified by analysis results and a series of experiments based on a real phased-array radar for air defense frigates"",""1558-2183"","""",""10.1109/TPDS.2006.80"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1642648"",""Phased-array radar";real-time task scheduling;probabilistic performance guarantee;distributed systems;"dwell scheduling."",""Radar";Timing;Signal analysis;Algorithm design and analysis;Scheduling algorithm;Hardware;Real time systems;Signal processing algorithms;Resource management;"Processor scheduling"","""","""","""",""39"",""IEEE"",""19 Jun 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;
"CompuP2P: An Architecture for Internet Computing Using Peer-to-Peer Networks,""R. Gupta"; V. Sekhri;" A. K. Somani"",""Dependable and Networking Laboratory, Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"; Microsoft Corporation, Redmond, WA, USA;" Dependable and Networking Laboratory, Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Oct 2006"",""2006"",""17"",""11"",""1306"",""1320"",""Internet computing is emerging as an important new distributed computing paradigm in which resource intensive computing is integrated over Internet-scale networks. Over these large networks, different users and organizations share their computing resources, and computations take place in a distributed fashion. In such an environment, a framework is needed in which the resource providers are given incentives to share their resources. CompuP2P is a lightweight architecture for enabling Internet computing. It uses peer-to-peer networks for sharing of computing resources. CompuP2P create dynamic markets of network accessible computing resources, such as processing power, memory storage, disk space, etc., in a completely distributed, scalable, and fault-tolerant manner. This paper discusses the system architecture, functionality, and applications of the proposed CompuP2P architecture. We have implemented a Java-based prototype, and our results show that the system is light-weight and can provide almost a perfect speedup for applications that contain several independent compute-intensive tasks"",""1558-2183"","""",""10.1109/TPDS.2006.149"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1705467"",""Peer-to-peer";distributed computing;selfishness;game theory;"microeconomics."",""Peer to peer computing";Computer architecture;IP networks;Computer networks;Distributed computing;Internet;Application software;Large-scale systems;Concurrent computing;"Fault tolerance"","""",""48"","""",""23"",""IEEE"",""2 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Concurrent Scheduling: Efficient Heuristics for Online Large-Scale Data Transfers in Distributed Real-Time Environments,""M. S. Eltayeb"; A. Dogan;" F. Ozguner"",""Department of Physics and Engineering, Frostburg State University, Frostburg, MD, USA"; Department of Electrical and Electronics Engineering, Anadolu University, Eskisehir, Turkey;" Department of Electrical and Computer Engineering, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Oct 2006"",""2006"",""17"",""11"",""1348"",""1359"",""The static staging heuristics proposed in the literature for staging the data items associated with real-time distributed applications adhere to a method by which only one data item is transferred in each communication step to optimize a specific cost function. In this paper, we first propose the Extended Partial Path (EPP) algorithm based on the same method. In terms of maximizing the number of satisfied requests, we have analytically shown that EPP has a performance that is equal to or greater than the Partial Path Heuristic (PPH) introduced previously [CHECK END OF SENTENCE], thanks to excluding the data items that cannot be satisfied by PPH from scheduling and scheduling the satisfiable data-items along their extended paths. In contrast to EPP and other data staging heuristics proposed, we develop the concurrent scheduling (CS) heuristic which allows simultaneous transfer of more than one data item in an organized fashion, thereby improving the overall performance of the staging system. At the heart of the CS heuristic are EPP and the local priority assignment method devised for solving the conflicts between data items at the intermediate nodes. The extensive simulation results further confirm the superiority of the CS heuristic over PPH."",""1558-2183"","""",""10.1109/TPDS.2006.150"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1705470"",""Data staging";data scheduling;real-time;"distributed computing and networking."",""Large-scale systems";Scheduling;Time factors;Space technology;Real time systems;Optimization methods;Cost function;Performance analysis;Heart;"Computational modeling"","""",""5"","""",""16"",""IEEE"",""2 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Congestion Adaptive Routing in Mobile Ad Hoc Networks,""D. A. Tran";" H. Raghavendra"",""Department of Computer Science, University of Dayton, Dayton, OH, USA";" Department of Computer Science, University of Dayton, Dayton, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Oct 2006"",""2006"",""17"",""11"",""1294"",""1305"",""Mobility, channel error, and congestion are the main causes for packet loss in mobile ad hoc networks. Reducing packet loss typically involves congestion control operating on top of a mobility and failure adaptive routing protocol at the network layer. In the current designs, routing is not congestion-adaptive. Routing may let a congestion happen which is detected by congestion control, but dealing with congestion in this reactive manner results in longer delay and unnecessary packet loss and requires significant overhead if a new route is needed. This problem becomes more visible especially in large-scale transmission of heavy traffic such as multimedia data, where congestion is more probable and the negative impact of packet loss on the service quality is of more significance. We argue that routing should not only be aware of, but also be adaptive to, network congestion. Hence, we propose a routing protocol (CRP) with such properties. Our ns-2 simulation results confirm that CRP improves the packet loss rate and end-to-end delay while enjoying significantly smaller protocol overhead and higher energy efficiency as compared to AODV and DSR."",""1558-2183"","""",""10.1109/TPDS.2006.151"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1705466"",""Ad hoc networks";routing protocols;mobile computing;"congestion adaptivity."",""Mobile ad hoc networks";Routing protocols;Delay;Programmable control;Adaptive control;Large-scale systems;Communication system traffic control;Propagation losses;Adaptive systems;"Energy efficiency"","""",""91"",""1"",""32"",""IEEE"",""2 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Congestion Avoidance Based on Lightweight Buffer Management in Sensor Networks,""Shigang Chen";" Na Yang"",""Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA";" Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2006"",""2006"",""17"",""9"",""934"",""946"",""A wireless sensor network is constrained by computation capability, memory space, communication bandwidth, and above all, energy supply. When a critical event triggers a surge of data generated by the sensors, congestion may occur as data packets converge toward a sink. Congestion causes energy waste, throughput reduction, and information loss. However, the important problem of congestion avoidance in sensor networks is largely open. This paper proposes a congestion-avoidance scheme based on lightweight buffer management. We describe simple yet effective approaches that prevent data packets from overflowing the buffer space of the intermediate sensors. These approaches automatically adapt the sensors' forwarding rates to nearly optimal without causing congestion. We discuss how to implement buffer-based congestion avoidance with different MAC protocols. In particular, for CSMA with implicit ACK, our 1/k-buffer solution prevents hidden terminals from causing congestion. We demonstrate how to maintain near-optimal throughput with a small buffer at each sensor and how to achieve congestion-free load balancing when there are multiple routing paths toward multiple sinks"",""1558-2183"","""",""10.1109/TPDS.2006.115"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1668059"",""Sensor networks";"network communication."",""Throughput";Computer network management;Wireless sensor networks;Computer networks;Bandwidth;Surges;Sensor phenomena and characterization;Media Access Protocol;Multiaccess communication;"Load management"","""",""89"","""",""25"",""IEEE"",""7 Aug 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Cyclic Storage for Fault-Tolerant Distributed Executions,""R. Marcelin-Jimenez"; S. Rajsbaum;" B. Stevens"",""Departamento de Ingeniería Eléctrica, Universidad Autonoma Metropolitana Ixtapalapa, Mexicali, Mexico"; Instituto de Matemáticas, UNAM, Ciudad Universitaria, México, D.F., Mexico;" School of Mathematics and Statistics, Carleton University, Ottawa, ON, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2006"",""2006"",""17"",""9"",""1028"",""1036"",""Given a set V of active components in charge of a distributed execution, a storage scheme is a sequence B0, B1,..., Bb-1 of subsets of V, where successive global states are recorded. The subsets, also called blocks, have the same size and are scheduled according to some fixed and cyclic calendar of b steps. During the ith step, block Bi is selected. Each component takes a copy of its local state and sends it to one of the components in Bi, in such a way that each component stores (approximately) the same number of local states. Afterward, if a component of Bi crashes, all of its stored data is lost and the computation cannot continue. If there exists a block with no failed components in it, then a recent global state can be retrieved and the computation does not need to start over from the very beginning. The goal is to design storage schemes that tolerate as many crashes as possible, while trying to have each component participating in as few blocks as possible and, at the same time, working with large blocks (so that a component in a block stores a small number of local states). In this paper, several such schemes are described and compared in terms of these measures"",""1558-2183"","""",""10.1109/TPDS.2006.120"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1668066"",""Load balancing and task assignment";distributed applications;checkpoint/restart;fault-tolerance;storage/repositories;distributed systems;"network repositories/data mining/backup."",""Fault tolerance";Computer crashes;Bismuth;Calendars;Fault tolerant systems;Data mining;Computer networks;Resumes;Distributed control;"Centralized control"","""",""4"","""",""36"",""IEEE"",""7 Aug 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
