"2PASS: Bandwidth-Optimized Location Cloaking for Anonymous Location-Based Services,""H. Hu";" J. Xu"",""Department of Computer Science, Hong Kong Baptist University, Hong Kong, China";" Department of Computer Science, Hong Kong Baptist University, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2010"",""2010"",""21"",""10"",""1458"",""1472"",""Protection of users' location privacy is a critical issue for location-based services. Location cloaking has been proposed to blur users' accurate locations with cloaked regions. Although various cloaking algorithms have been studied, none of the prior work has explored the impact of cloaking on the bandwidth usage of requested services. In this paper, we develop an innovative result-aware location cloaking approach, called 2PASS. Based on the notion of Voronoi cells, 2PASS minimizes the number of objects to request, and hence, the bandwidth while meeting the same privacy requirement. The core component of 2PASS is a lightweight WAG-tree index, based on which efficient and secure client and server procedures are designed. Through threat analysis and experimental results, we argue that 2PASS is robust and outperforms state-of-the-art approaches in terms of various metrics, such as query response time and bandwidth consumption. We also enclose a case study of 2PASS in a real-life application."",""1558-2183"","""",""10.1109/TPDS.2010.26"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5406506"",""Mobile applications";distributed applications;security;integrity;"protection."",""Privacy";Bandwidth;Robustness;Protection;Network servers;Neural networks;Delay;Information security;Medical conditions;"Law"","""",""15"",""2"",""33"",""IEEE"",""5 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A Locally-Adjustable Planar Structure for Adaptive Topology Control in Wireless Ad Hoc Networks,""G. Zhang"; Z. Zhang;" J. Fan"",""School of Computer Science and Technology, Soochow University, Suzhou, Jiangsu, China"; Wireless Sensor Network Laboratory, Institute of Computing Technology, Chinese Academy and Sciences, Beijing, China;" School of Computer Science and Technology, Soochow University, Suzhou, Jiangsu, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2010"",""2010"",""21"",""10"",""1387"",""1397"",""In wireless ad hoc networks, the constructed topology is preferred to be planar since a planar topology enables guaranteed delivery of packets without a routing table. Previous planar structures are statically constructed for the whole network. However, environmental or network dynamics such as channel status, interference, or residual energy will prevent such structures from providing the best service to the network. In this paper, we present a t-adjustable planar structure (TAP) which enables each node to adjust the topology independently via a parameter t and allows nodes to have different path loss exponent. TAP is based on three well-known planar structures: Gabriel Graph, Relative Neighborhood Graph, and Local Minimum Spanning Tree. We show properties of TAP by proof or simulation: (1) It preserves connectivity"; (2) it is planar, sparse, and symmetric; (3) it preserves all minimum energy path when t = 1 for all nodes;" and (4) the average transmission power, interference, and node degree decrease as t increases and the maximum node degree is bounded by 6 when t = 3 for all nodes."",""1558-2183"","""",""10.1109/TPDS.2009.170"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5374389"",""Wireless ad hoc networks";topology control;adaptive control;planar graph;"geometric graph."",""Programmable control";Adaptive control;Network topology;Mobile ad hoc networks;Interference;Energy consumption;Routing;Ad hoc networks;Energy efficiency;"Computer science"","""",""11"","""",""30"",""IEEE"",""8 Jan 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A Markovian Approach to Multipath Data Transfer in Overlay Networks,""V. Bui"; W. Zhu; A. Botta;" A. Pescape"",""School of Engineering and Information Technology, Australian Defence Force Academy, University of New South Wales, Campbell, ACT, Australia"; School of Engineering and Information Technology, Australian Defence Force Academy, University of New South Wales, Campbell, ACT, Australia; Dipartimento di Informatica e Sistemistica, University of Napoli Federico II, Napoli, Italy;" Dipartimento di Informatica e Sistemistica, University of Napoli Federico II, Napoli, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2010"",""2010"",""21"",""10"",""1398"",""1411"",""The use of multipath routing in overlay networks is a promising solution to improve performance and availability of Internet applications, without the replacement of the existing TCP/IP infrastructure. In this paper, we propose an approach to distribute data over multiple overlay paths that is able to improve Quality of Service (QoS) metrics, such as the data transfer time, loss, and throughput. By using the Imbedded Markov Chain technique, we demonstrate that the system under analysis, observed at specific instants, possesses the Markov property. We therefore cast the data distribution problem into the Markov Decision Process (MDP) framework, and design a computationally efficient algorithm named Online Policy Iteration (OPI), to solve the optimization problem on the fly. The proposed approach is applied to the problem of multipath data distribution in various wired/wireless network scenarios, with the objective of minimizing the data transfer time as well as the delay and losses. Through both intensive ns-2 simulations with data collected from real heterogeneous networks and experiments over real networks, we show the superior performance of the proposed traffic control mechanism in comparison with two classical schemes, that are Weighted Round Robin and Join the Shortest Queue."",""1558-2183"","""",""10.1109/TPDS.2010.13"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5383351"",""Multipath data transfer";Markov decision processes;overlay networks;"heterogeneous networks."",""Quality of service";Routing;Availability;IP networks;TCPIP;Throughput;Algorithm design and analysis;Distributed computing;Design optimization;"Wireless networks"","""",""20"",""21"",""43"",""IEEE"",""15 Jan 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A Near-Optimal Algorithm Attacking the Topology Mismatch Problem in Unstructured Peer-to-Peer Networks,""H. -C. Hsiao"; H. Liao;" P. -S. Yeh"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan"; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan;" Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""27 May 2010"",""2010"",""21"",""7"",""983"",""997"",""In an unstructured peer-to-peer (P2P) network (e.g., Gnutella), participating peers choose their neighbors randomly such that the resultant P2P network mismatches its underlying physical network, resulting in the lengthy communication between the peers and redundant network traffics generated in the underlying network. Previous solutions to the topology mismatch problem in the literature either have no performance guarantees or are far from the optimum. In this paper, we propose a novel topology matching algorithm based on the Metropolis-Hastings method. Our proposal is guided by our insight analytical model and is close to the optimal design. Specifically, we show that our proposal constructs an unstructured P2P network in which a broadcast message, originated by any node v, reaches any other node u by taking approximately the only physical end-to-end delay between v and u. In addition, our design guarantees the exponential broadcast scope. We verify our solution through extensive simulations and show that our proposal considerably outperforms state-of-the-art solutions."",""1558-2183"","""",""10.1109/TPDS.2009.160"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5313805"",""Unstructured peer-to-peer systems";topology mismatch;location awareness;"broadcast."",""Network topology";Peer to peer computing;Broadcasting;Telecommunication traffic;Proposals;Floods;IP networks;Routing;Delay;"Computer Society"","""",""6"","""",""44"",""IEEE"",""6 Nov 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A Queuing Model for Evaluating the Transfer Latency of Peer-to-Peer Systems,""K. K. Ramachandran";" B. Sikdar"",""Deutsche Bank, Jacksonville, FL, USA";" Department of ECSE, Rensselaer Polytechnic Institute, Troy, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2010"",""2010"",""21"",""3"",""367"",""378"",""This paper presents a queuing model to evaluate the latency associated with file transfers or replications in peer-to-peer (P2P) computer systems. The main contribution of this paper is a modeling framework for the peers that accounts for the file size distribution, the search time, load distribution at peers, and number of concurrent downloads allowed by a peer. We propose a queuing model that models the nodes or peers in such systems as M/G/1/K processor sharing queues. The model is extended to account for peers which alternate between online and offline states. The proposed queuing model for the peers is combined with a single class open queuing network for the routers interconnecting the peers to obtain the overall file transfer latency. We also show that in scenarios with multipart downloads from different peers, a rate proportional allocation strategy minimizes the download times."",""1558-2183"","""",""10.1109/TPDS.2009.69"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4840338"",""Peer-to-peer networks";queuing model;"performance evaluation."",""Delay";Peer to peer computing;Network servers;Web server;Computer applications;Computer networks;IP networks;Telecommunication traffic;Traffic control;"Performance analysis"","""",""21"","""",""43"",""IEEE"",""24 Apr 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A Reliable Communication Protocol for Multiregion Mobile Agent Environments,""S. Choi"; M. Baik; H. Kim; E. Byun;" H. Choo"",""Networking Laboratory, School of Information and Communication Engineering, Sungkyunkwan University, Suwon, Gyeonggi, South Korea"; IT Research and Development Center, Samsung SDS Company Limited, Seongnam, Gyeonggi, South Korea; Digital Media and Communication Center, Samsung Electronics Company Limited, Suwon, Gyeonggi, South Korea; Kibo Technology Fund, Seoul;" Networking Laboratory, School of Information and Communication Engineering, Sungkyunkwan University, Suwon, Gyeonggi, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Dec 2009"",""2010"",""21"",""1"",""72"",""85"",""A mobile agent system is regarded as an attractive technology when developing distributed applications. However, mobility makes it more difficult to trace agents. It is also more complex for agents to communicate with each other in a reliable manner. Therefore, a reliable communication protocol is necessary to control and monitor mobile agents and deliver messages between them. In this paper, a new reliable communication protocol (RCP) is proposed for a multiregion mobile agent computing environment. RCP is implemented on the ODDUGI mobile agent system. Analysis and evaluation show that RCP fulfills the following design goals: reliability, asynchrony, timeliness, location dependency, scalability, and communication cost."",""1558-2183"","""",""10.1109/TPDS.2009.48"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4803833"",""Mobile agents";communication;location management;message delivery;"reliability."",""Mobile communication";Protocols;Mobile agents;Application software;Monitoring;Computer Society;Communication system control;Peer to peer computing;Java;"Scalability"","""",""6"","""",""53"",""IEEE"",""21 Mar 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;
"A Secure Decentralized Erasure Code for Distributed Networked Storage,""H. -Y. Lin";" W. -G. Tzeng"",""Department of Computer Science, National Chiao Tung University, Hsinchu, Taiwan";" Department of Computer Science, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Sep 2010"",""2010"",""21"",""11"",""1586"",""1594"",""Distributed networked storage systems provide the storage service on the Internet. We address the privacy issue of the distributed networked storage system. It is desired that data stored in the system remain private even if all storage servers in the system are compromised. The major challenge of designing these distributed networked storage systems is to provide a better privacy guarantee while maintaining the distributed structure. To achieve this goal, we introduce secure decentralized erasure code, which combines a threshold public key encryption scheme and a variant of the decentralized erasure code. Our secure distributed networked storage system constructed by the secure decentralized erasure code is decentralized, robust, private, and with low storage cost."",""1558-2183"","""",""10.1109/TPDS.2010.27"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5406507"",""Networked storage system";distributed storage system;decentralized erasure code;threshold encryption;"security."",""Secure storage";Privacy;IP networks;Web and internet services;Network servers;Web server;Public key;Cryptography;Robustness;"Costs"","""",""40"",""1"",""14"",""IEEE"",""5 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A Synchronous Scheduling Service for Distributed Real-Time Java,""P. Basanta-Val"; I. Estevez-Ayres; M. Garcia-Valls;" L. Almeida"",""Universidad Carlos III de Madrid, Madrid, Spain"; Universidad Carlos III de Madrid, Madrid, Spain; Universidad Carlos III de Madrid, Madrid, Spain;" Department de Engineering Electrotécnica e de Computadores, Faculdade de Engenharia, Universidade do Porto, Porto, Portugal"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Feb 2010"",""2010"",""21"",""4"",""506"",""519"",""Current trends in real-time systems identify Java as a new alternative to develop both centralized and distributed real-time systems. Many efforts have been devoted to develop the Real-Time Specification for Java (RTSJ), and there is substantial ongoing activity to produce a straightforward and valuable Distributed Real-Time Specification for Java (DRTSJ). The current paper provides a contribution to this latter activity defining, from different angles, a synchronous scheduling service aligned with principles of some popular real-time architectures. This service orchestrates the system in such a way that it provides end-to-end guarantees in the distributed transactions, guaranteeing their timely execution across the network and nodes. The service is described from two points of view: the system one, characterizing a portable model";" and the programmer one, defining a distributed object-oriented implementation of a model based on Real-Time Remote Method Invocation (RTRMI). Finally, it also presents results of an implementation carried out to judge the efficiency of the service, offering a preliminary predictability and performance assessment of a distributed real-time Java technology."",""1558-2183"","""",""10.1109/TPDS.2009.95"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5089318"",""Real time";synchronous scheduling;distributed real-time Java;RTRMI;"RTSJ."",""Java";Real time systems;Object oriented modeling;Programming profession;Costs;Hardware;Predictive models;Synchronization;Clocks;"Processor scheduling"","""",""20"","""",""37"",""IEEE"",""19 Jun 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A True O(1) Parallel Deadlock Detection Algorithm for Single-Unit Resource Systems and Its Hardware Implementation,""X. Xiao";" J. J. Lee"",""Department of Electrical and Computer Engineering, Indiana University-Purdue University Indianapolis, Indianapolis, IN, USA";" Department of Electrical and Computer Engineering, Indiana University-Purdue University Indianapolis, Indianapolis, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Dec 2009"",""2010"",""21"",""1"",""4"",""19"",""Due to rapid technology advance, multiprocessor system-on-chips (MPSoCs) are likely to become commodity computing platforms for embedded applications. In the future, it is possible that an MPSoC is equipped with a large number of processing elements as well as on-chip resources. The management of these faces many challenges, among which deadlock is one of the most crucial issues. This paper presents a novel hardware-oriented deadlock detection algorithm suitable for current and future MPSoCs. Unlike previously published methods whose runtime complexities are often affected by the number of processing elements and resources in the system, the proposed algorithm leverages specialized hardware to guarantee O(1) overall runtime complexity. Such complexity is achieved by: 1) classifying resource allocation events"; 2) for each type of events, using hardware to perform a set of specific detection and/or preparation operations that only takes constant runtime;" and 3) updating necessary information for multiple resources in parallel in hardware. We implement the algorithm in Verilog HDL and demonstrate through simulation that each algorithm invocation takes at most four clock cycles."",""1558-2183"","""",""10.1109/TPDS.2009.38"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4798157"",""Deadlock detection in hardware";single-unit resource systems;resource allocation graph;"system-on-chips."",""System recovery";Detection algorithms;Runtime;Hardware design languages;Multiprocessing systems;Embedded computing;Face detection;Resource management;Event detection;"Clocks"","""",""9"","""",""20"",""IEEE"",""6 Mar 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Adaptive Workload Prediction of Grid Performance in Confidence Windows,""Y. Wu"; K. Hwang; Y. Yuan;" W. Zheng"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China"; University of Southern California, Los Angeles, CA, USA; Department of Computer Science and Technology, Tsinghua University, Beijing, China;" Department of Computer Science and Technology, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""27 May 2010"",""2010"",""21"",""7"",""925"",""938"",""Predicting grid performance is a complex task because heterogeneous resource nodes are involved in a distributed environment. Long execution workload on a grid is even harder to predict due to heavy load fluctuations. In this paper, we use Kalman filter to minimize the prediction errors. We apply Savitzky-Golay filter to train a sequence of confidence windows. The purpose is to smooth the prediction process from being disturbed by load fluctuations. We present a new adaptive hybrid method (AHModel) for load prediction guided by trained confidence windows. We test the effectiveness of this new prediction scheme with real-life workload traces on the AuverGrid and Grid5000 in France. Both theoretical and experimental results are reported in this paper. As the lookahead span increases from 10 to 50 steps (5 minutes per step), the AHModel predicts the grid workload with a mean-square error (MSE) of 0.04-0.73 percent, compared with 2.54-30.2 percent in using the static point value autoregression (AR) prediction method. The significant gain in prediction accuracy makes the new model very attractive to predict Grid performance. The model was proved especially effective to predict large workload that demands very long execution time, such as exceeding 4 hours on the Grid5000 over 5,000 processors. With minor changes of some system parameters, the AHModel can apply to other computational grids as well. At the end, we discuss extended research issues and tool development for Grid performance prediction."",""1558-2183"","""",""10.1109/TPDS.2009.137"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5226619"",""Grid computing";performance prediction;workload characterization;autoregression method;Kalman filter;Savitzky-Golay filter;"and parallel applications."",""Fluctuations";Filters;Grid computing;Prediction methods;Predictive models;Processor scheduling;Measurement errors;Testing;Performance gain;"Accuracy"","""",""41"",""1"",""47"",""IEEE"",""28 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;
"All-Pairs: An Abstraction for Data-Intensive Computing on Campus Grids,""C. Moretti"; H. Bui; K. Hollingsworth; B. Rich; P. Flynn;" D. Thain"",""Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA"; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA;" Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Dec 2009"",""2010"",""21"",""1"",""33"",""46"",""Today, campus grids provide users with easy access to thousands of CPUs. However, it is not always easy for nonexpert users to harness these systems effectively. A large workload composed in what seems to be the obvious way by a naive user may accidentally abuse shared resources and achieve very poor performance. To address this problem, we argue that campus grids should provide end users with high-level abstractions that allow for the easy expression and efficient execution of data-intensive workloads. We present one example of an abstraction—All-Pairs—that fits the needs of several applications in biometrics, bioinformatics, and data mining. We demonstrate that an optimized All-Pairs abstraction is both easier to use than the underlying system, achieve performance orders of magnitude better than the obvious but naive approach, and is both faster and more efficient than a tuned conventional approach. This abstraction has been in production use for one year on a 500 CPU campus grid at the University of Notre Dame and has been used to carry out a groundbreaking analysis of biometric data."",""1558-2183"","""",""10.1109/TPDS.2009.49"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4803834"",""All-pairs";biometrics;cloud computing;data intensive computing;"grid computing."",""Grid computing";Power engineering computing;Biometrics;Bioinformatics;Cloud computing;Data mining;Production;Data analysis;Power engineering and energy;"Large-scale systems"","""",""40"","""",""42"",""IEEE"",""21 Mar 2009"","""","""",""IEEE"",""IEEE Journals""";;;
