"2002 reviewers list,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""94"",""96"",""The publication offers a note of thanks and lists its reviewers."",""1558-2183"","""",""10.1109/TPDS.2003.1167374"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167374"","""",""IEEE"","""","""","""","""",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Adaptive computing on the Grid using AppLeS,""F. Berman"; R. Wolski; H. Casanova; W. Cirne; H. Dail; M. Faerman; S. Figueira; J. Hayes; G. Obertelli; J. Schopf; G. Shao; S. Smallen; N. Spring; A. Su;" D. Zagorodnov"",""San Diego Supercomputer Center, La Jolla, CA, USA"; Department of Computer Science, University of California Santa Barbara, Santa Barbara, CA, USA; Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA; Departamento de Sistemas e Computação, Campina Grande, PB, Brazil; Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA; Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA; Department of Computer Engineering, Santa Clara University, Santa Clara, CA, USA; Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA; Department of Computer Science, University of California Santa Barbara, Santa Barbara, CA, USA; Mathematics and Computer Science Division, Argonne National Laboratory, Argonne, IL, USA; Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA; San Diego Supercomputer Center, La Jolla, CA; Computer Science and Engineering, University of Washington, Seattle, WA; Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA;" Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Apr 2003"",""2003"",""14"",""4"",""369"",""382"",""Ensembles of distributed, heterogeneous resources, also known as computational grids, have emerged as critical platforms for high-performance and resource-intensive applications. Such platforms provide the potential for applications to aggregate enormous bandwidth, computational power, memory, secondary storage, and other resources during a single execution. However, achieving this performance potential in dynamic, heterogeneous environments is challenging. Recent experience with distributed applications indicates that adaptivity is fundamental to achieving application performance in dynamic grid environments. The AppLeS (Application Level Scheduling) project provides a methodology, application software, and software environments for adaptively scheduling and deploying applications in heterogeneous, multiuser grid environments. We discuss the AppLeS project and outline our findings."",""1558-2183"","""",""10.1109/TPDS.2003.1195409"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1195409"","""",""Grid computing";Application software;Distributed computing;Processor scheduling;Computer networks;Concurrent computing;Dynamic scheduling;Computer Society;Adaptive scheduling;"Computer science"","""",""293"",""2"",""97"",""IEEE"",""22 Apr 2003"","""","""",""IEEE"",""IEEE Journals"""
"Adaptive core selection and migration method for multicast routing in mobile ad hoc networks,""S. K. S. Gupta";" P. K. Srimani"",""Department of Computer Science, Arizona State University, Tempe, AZ, USA";" Department of Computer Science, Clemson State University, Clemson, SC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""27"",""38"",""Several multicast protocols such as Protocol Independent Multicast (PIM) (Deering et al., 1996) and Core-Based Trees (CBT) (Ballardie et al., 1993) use the notion of group-shared trees. The reason is that construction of minimal-cost tree spanning all members of the multicast group is expensive, hence these protocols use a core-based group-shared tree to distribute packets from all the sources. A core-based tree is a shortest-path tree rooted at some core node. The core node is also referred to as a center node or a rendezvous point. Core nodes may be chosen from some preselected set of nodes or some heuristics may be employed to select core nodes. We present distributed core selection and migration protocols for mobile ad hoc networks with dynamically changing network topology. Most protocols for core selection in static networks are not suitable for ad hoc networks, since these algorithms depend on knowledge of entire network topology, which is not available or is too expensive to maintain in an ad hoc network with dynamic topology. The proposed core location method is based on the notion of median node of the current multicast tree instead of the median node of the entire network. The rationale is that the mobile ad hoc network graphs are in general sparse and, hence, the multicast tree is a good approximation of the entire network for the current purpose. Our adaptive distributed core selection and migration method uses the fact that the median of a tree is equivalent to the centroid of that tree. The significance of this observation is due to the fact that the computation of a tree's centroids does not require any distance information. Mobile ad hoc networks have limited bandwidth which needs to be conserved. Hence, we use the cost of multicast tree as the sum of weights of all the links in the tree, which signifies the total bandwidth consumed for multicasting a packet. We compare the cost of shortest-path tree rooted at the tree median, Cost/sub TM/, with the cost of shortest-path tree rooted at the median of the graph, Cost/sub GM/, which requires complete topology information to compute. A network graph model for generating random ad hoc mobile networks is developed to perform this comparison. The simulation results show that for large size networks, the ratio Cost/sub TM//Cost/sub GM/ lies between 0.8 to 1.2 for different multicast groups. Further, as the size of the multicast group increases the ratio approaches 1."",""1558-2183"","""",""10.1109/TPDS.2003.1167368"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167368"","""",""Routing";Mobile ad hoc networks;Tree graphs;Costs;Multicast protocols;Network topology;Ad hoc networks;Bandwidth;Multicast algorithms;"Computational modeling"","""",""28"","""",""24"",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Algorithms for supporting compiled communication,""Xin Yuan"; R. Melhem;" R. Gupta"",""Department of Computer Science, Florida State University Tallahassee, FL, USA"; Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA;" Department of Computer Science, University of Arizona Tucson, Tucson, AZ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2003"",""2003"",""14"",""2"",""107"",""118"",""We investigate the compiler algorithms to support compiled communication in multiprocessor environments and study the benefits of compiled communication, assuming that the underlying network is an all-optical time-division-multiplexing (TDM) network. We present an experimental compiler, E-SUIF, that supports compiled communication for High Performance Fortran (HPF) like programs on all-optical TDM networks, and describe and evaluate the compiler algorithms used in E-SUIF. We further demonstrate the effectiveness of compiled communication on all-optical TDM networks by comparing the performance of compiled communication with that of a traditional communication method using a number of application programs."",""1558-2183"","""",""10.1109/TPDS.2003.1178875"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1178875"","""",""Program processors";Libraries;Resource management;Time division multiplexing;Optimizing compilers;Bandwidth;Computer science;All-optical networks;Multiprocessor interconnection networks;"WDM networks"","""",""14"","""",""27"",""IEEE"",""19 Feb 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"An adaptive quality of service aware middleware for replicated services,""Sudha Krishnamurthy"; W. H. Sanders;" M. Cukier"",""Department of Computer Science, University of Virginia, VA, USA"; Department of Electrical and Computer Engineering and the Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA;" Department of Mechanical Engineering, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Nov 2003"",""2003"",""14"",""11"",""1112"",""1125"",""A dependable middleware should be able to adaptively share the distributed resources it manages in order to meet diverse application requirements, even when the quality of service (QoS) is degraded due to uncertain variations in load and unanticipated failures. We have addressed this issue in the context of a dependable middleware that adaptively manages replicated servers to deliver a timely and consistent response to time-sensitive client applications. These applications have specific temporal and consistency requirements, and can tolerate a certain degree of relaxed consistency in exchange for better response time. We propose a flexible QoS model that allows clients to specify their timeliness and consistency constraints. We also propose an adaptive framework that dynamically selects replicas to service a client's request based on the prediction made by probabilistic models. These models use the feedback from online performance monitoring of the replicas to provide probabilistic guarantees for meeting a client's QoS specification. The experimental results we have obtained demonstrate the role of feedback and the efficacy of simple analytical models for adaptively sharing the available replicas among the users under different workload scenarios."",""1558-2183"","""",""10.1109/TPDS.2003.1247672"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1247672"","""",""Quality of service";Middleware;Feedback;Quality management;Resource management;Degradation;Delay;Predictive models;Monitoring;"Analytical models"","""",""20"",""1"",""30"",""IEEE"",""24 Nov 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"An efficient algorithm for gossiping in the multicasting communication environment,""T. F. Gonzalez"",""Department of Computer Science, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jul 2003"",""2003"",""14"",""7"",""701"",""708"",""We present an algorithm for the gossiping problem defined over an n processor communication network, N, where message multicasting is allowed. The algorithm generates a communication schedule with a total communication time at most N+r, where r is the radius of the network. Our algorithm begins by constructing a spanning tree (or tree network T) with the least possible radius. Then, all the communications are carried out in the tree network as follows: each processor waits its turn to transmit """"almost"""" consecutively to its parent and children all the messages in its subtree. During other times, each processor transmits to its children all the messages emanating elsewhere in the network."",""1558-2183"","""",""10.1109/TPDS.2003.1214321"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214321"","""",""Multicast algorithms";Processor scheduling;Broadcasting;Communication networks;Scheduling algorithm;Clocks;Intelligent networks;"Telephony"","""",""8"","""",""21"",""IEEE"",""22 Jul 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"An efficient code generation technique for tiled iteration spaces,""G. Goumas"; M. Athanasaki;" N. Koziris"",""School of Electrical and Computer Engineering, Computing Systems Laboratory, National and Technical University of Athens, Athens, Greece"; School of Electrical and Computer Engineering, Computing Systems Laboratory, National and Technical University of Athens, Athens, Greece;" School of Electrical and Computer Engineering, Computing Systems Laboratory, National and Technical University of Athens, Athens, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Oct 2003"",""2003"",""14"",""10"",""1021"",""1034"",""This paper presents a novel approach for the problem of generating tiled code for nested for-loops, transformed by a tiling transformation. Tiling or supernode transformation has been widely used to improve locality in multilevel memory hierarchies, as well as to efficiently execute loops onto parallel architectures. However, automatic code generation for tiled loops can be a very complex compiler work, especially when nonrectangular tile shapes and iteration space bounds are concerned. Our method considerably enhances previous work on rewriting tiled loops, by considering parallelepiped tiles and arbitrary iteration space shapes. In order to generate tiled code, we first enumerate all tiles containing points within the iteration space and, second, sweep all points within each tile. For the first subproblem, we refine upon previous results concerning the computation of new loop bounds of an iteration space that has been transformed by a nonunimodular transformation. For the second subproblem, we transform the initial parallelepiped tile into a rectangular one, in order to generate efficient code with the aid of a nonunimodular transformation matrix and its Hermite Normal Form (HNF). Experimental results show that the proposed method significantly accelerates the compilation process and generates much more efficient code."",""1558-2183"","""",""10.1109/TPDS.2003.1239870"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1239870"","""",""Parallel processing";Processor scheduling;Parallel architectures;Concurrent computing;Delay;Scheduling algorithm;"Computer Society"","""",""19"",""3"",""40"",""IEEE"",""27 Oct 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"An efficient distributed algorithm for detection of knots and cycles in a distributed graph,""D. Manivannan";" M. Singhal"",""Computer Science Department, University of Kentucky, Lexington, KY, USA";" Computer Science Department, University of Kentucky, Lexington, KY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Oct 2003"",""2003"",""14"",""10"",""961"",""972"",""Knot detection in a distributed graph is an important problem and finds applications in deadlock detection in several areas such as store-and-forward networks, distributed simulation, and distributed database systems. This paper presents an efficient distributed algorithm to detect if a node is part of a knot in a distributed graph. The algorithm requires 2e messages and a delay of 2(d+1) message hops to detect if a node in a distributed graph is in a knot (here, e is the number of edges in the reachable part of the distributed graph and d is its diameter). A significant advantage of this algorithm is that it not only detects if a node is involved in a knot, but also finds exactly which nodes are involved in the knot. Moreover, if the node is not involved in a knot, but is only involved in a cycle, then it finds the nodes that are in a cycle with that node. We illustrate the working of the algorithm with examples. The paper ends with a discussion on how the information about the nodes involved in the knot can be used for deadlock resolution and also on the performance of the algorithm."",""1558-2183"","""",""10.1109/TPDS.2003.1239865"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1239865"","""",""Distributed algorithms";System recovery;Packet switching;Database systems;Buffer storage;Switches;Intelligent networks;Delay;"Detection algorithms"","""",""13"","""",""25"",""IEEE"",""27 Oct 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"An efficient fault-containing self-stabilizing algorithm for finding a maximal independent set,""Ji-Cherng Lin";" T. C. Huang"",""Department of Computer Engineering and Science, Yuan-Ze University, Chungli, Taiwan";" Department of Computer Engineering and Science, Yuan-Ze University, Chungli, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Aug 2003"",""2003"",""14"",""8"",""742"",""754"",""An independent set is a useful structure because, in some situations, it defines a set of mutually compatible operations, i.e., operations that can be executed simultaneously. We design a fault-containing self-stabilizing algorithm that finds a maximal independent set for an asynchronous distributed system. Our algorithm is an improvement on the self-stabilizing algorithm in Shukla et al. [1995]. In the single-fault situation, the worst-case stabilization time of Shukla's algorithm is /spl Omega/(n), where n is the number of nodes in the system, whereas the worst-case stabilization time of our algorithm is O(/spl Delta/), where /spl Delta/ is the maximum node degree in the system. Compared also with the fault-containing algorithm that is induced from applying the general transformer in Ghosh et al. [1996] to Shukla's algorithm, our algorithm is also seen to be faster in stabilization time, in the single-fault situation. Therefore, our algorithm can be considered to be the most efficient fault-containing self-stabilizing algorithm for the maximal independent set finding up to this point."",""1558-2183"","""",""10.1109/TPDS.2003.1225054"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1225054"","""",""Contamination";"Algorithm design and analysis"","""",""16"","""",""10"",""IEEE"",""26 Aug 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"An efficient parallel prefix sums architecture with domino logic,""R. Lin"; K. Nakano; S. Olariu;" A. Y. Zomaya"",""Department of Computer Science, State University New York, Geneseo, Geneseo, NY, USA"; Department of Artificial Complex Systems Engineering, School of Engineering, Hiroshima University, Higashi, Hiroshima, Japan; Department of Computer Science, Old Dominion University, Norfolk, VA, USA;" School of Information Technologies, University of Sydney, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Sep 2003"",""2003"",""14"",""9"",""922"",""931"",""The main contribution of this work is to propose an efficient parallel prefix sums architecture based on the recently-developed technique of shift switching with domino logic, where the charge/discharge signals propagate along the switch chain producing semaphores in a network that is fast and highly hardware-compact. The proposed architecture for computing the prefix sums of N-1 bits features a total delay of (4 log N + /spl radic/N-2)/sub */T/sub d/, where T/sub d/ is the delay for charging or discharging a row of two prefix sum units of eight shift switches. Our simulation results show that, under 0.8-micron CMOS technology, the delay T/sub d/ does not exceed 1 ns. As it turns out, our design is faster than any design known to us for values on N in the range 1 /spl les/ N /spl les/ 2/sup 10/. Yet, another important and novel feature of the proposed architecture is that it requires very simple controls, partially driven by the semaphores. This significantly reduces the hardware complexity of the design and fully utilizes the inherent speed of the process."",""1558-2183"","""",""10.1109/TPDS.2003.1233714"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1233714"","""",""Logic";Hardware;Arithmetic;Concurrent computing;Switches;Computer architecture;Delay;CMOS technology;Very large scale integration;"Compaction"","""",""3"","""",""41"",""IEEE"",""29 Sep 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"An energy-efficient object discovery protocol for context-sensitive middleware for ubiquitous computing,""S. S. Yau";" F. Karim"",""Department of Computer Science and Engineering, Arizona State University, AZ, USA";" Intel Corporation, Hillsboro, OR, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Nov 2003"",""2003"",""14"",""11"",""1074"",""1085"",""Many ubiquitous computing applications may be context-sensitive due to the ambient environments, mobile devices, and other detectable factors. A context-sensitive middleware provides the necessary support to context-sensitive application objects to participate in spontaneous and ad hoc communications with other applications in remote devices whenever suitable contexts exist. A context-sensitive middleware can provide this support effectively if its communication subsystem, such as an Object Request Broker (ORB), can properly discover other objects in devices. This capability is usually known as object discovery protocol. An energy-efficient object discovery protocol is needed to help prolong a device's battery life because many devices in ubiquitous computing environments are battery-powered and, thus, have limited energy sources. An energy-efficient object discovery protocol, RKS, for context-sensitive middleware for ubiquitous computing is presented. RKS reduces energy consumption by reducing the amount of information that needs to be sent to remote devices to discover objects. A novel feature of RKS is that it advertises its server-objects' availability only when it detects that these servers can be activated in the current context and when it finds that the neighbor devices have some potential clients that are willing to discover objects. Analytical comparisons of the energy-consumptions are given between RKS and two other protocols for object discovery in context-sensitive middleware. Furthermore, our experimental results, based on the implementations of these protocols and RKS on a context-sensitive middleware test bed, confirm our analytical results in that the RKS conserves more energy than the other two."",""1558-2183"","""",""10.1109/TPDS.2003.1247669"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1247669"","""",""Energy efficiency";Protocols;Middleware;Ubiquitous computing;Context;Mobile communication;Mobile computing;Batteries;Energy consumption;"Object detection"","""",""14"","""",""28"",""IEEE"",""24 Nov 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"An improved duplication strategy for scheduling precedence constrained graphs in multiprocessor systems,""S. Bansal"; P. Kumar;" K. Singh"",""GZS College of Engineering and Technology, Bathinda, Punjab, India"; Department of Electronics and Computer Engineering, Indian Institute of Technology, Roorkee, India;" Department of Electronics and Computer Engineering, Indian Institute of Technology, Roorkee, India"",""IEEE Transactions on Parallel and Distributed Systems"",""20 Jun 2003"",""2003"",""14"",""6"",""533"",""544"",""Scheduling precedence constrained task graphs, with or without duplication, is one of the most challenging NP-complete problems in parallel and distributed computing systems. Duplication heuristics are more effective, in general, for fine grain task graphs and for networks with high communication latencies. However, most of the available duplication algorithms are designed under the assumption of unbounded availability of fully connected processors, and lie in a high complexity range. Low complexity optimal duplication algorithms work under restricted cost and/or shape parameters for the task graphs. Further, the required number of processors grows in proportion to the task-graph size significantly. An improved duplication strategy is proposed that works for arbitrary task graphs, with a limited number of interconnection-constrained processors. Unlike most other algorithms that replicate all possible parents/ancestors of a given task, the proposed algorithm tends to avoid redundant duplications and duplicates the nodes selectively, only if it helps in improving the performance. This results in lower duplications and also lower time and space complexity. Simulation results are presented for clique and an interconnection-constrained network topology with random and regular benchmark task graph suites, representing a variety of parallel numerical applications. Performance, in terms of normalized schedule length and efficiency, is compared with some of the well-known and recently proposed algorithms. The suggested algorithm turns out to be most efficient, as it generates better or comparable schedules with remarkably less processor consumption."",""1558-2183"","""",""10.1109/TPDS.2003.1206502"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1206502"","""",""Multiprocessing systems";Processor scheduling;Scheduling algorithm;NP-complete problem;Distributed computing;Delay;Algorithm design and analysis;Availability;Cost function;"Shape"","""",""111"","""",""37"",""IEEE"",""20 Jun 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
