"2000 reviewers list,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""1"",""3"",""6"",""The publication offers a note of thanks and lists its reviewers."",""1558-2183"","""",""10.1109/TPDS.2001.899935"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=899935"","""",""IEEE"","""","""","""","""",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A reliable multicast protocol for distributed mobile systems: design and evaluation,""G. Anastasi"; A. Bartoli;" F. Spadoni"",""Dipartimento di IngegneriadellInformazione, Universitá di Pisa, Pisa, Italy"; Dipartimento di ElettrotecnicaElettronica ediformatica, Universitá di Trieste, Trieste, Italy;" Dipartimento di IngegneriadellInformazione, Universitá di Pisa, Pisa, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""10"",""1009"",""1022"",""Reliable multicast is a powerful communication primitive for structuring distributed programs in which multiple processes must closely cooperate together. We propose a protocol for supporting reliable multicast in a distributed system that includes mobile hosts and evaluate the performance of our proposal through simulation We consider a scenario in which mobile hosts communicate with a wired infrastructure by means of wireless technology. Our proposal provides several novel features. The sender of each multicast may select among three increasingly strong delivery ordering guarantees: FIFO, causal, total. Movements do not trigger the transmission of any message in the wired network as no notion of hand-off is used. The set of senders and receivers (group) may be dynamic. The size of data structures at mobile hosts, the size of message headers, and the number of messages in the wired network for each multicast are all independent of the number of group members. The wireless network is assumed to provide only incomplete spatial coverage and message losses could occur even within cells. Movements are not negotiated and a mobile host that leaves a cell may enter any other cell, perhaps after a potentially long disconnection. The simulation results show that the proposed protocol has good performance and good scalability properties."",""1558-2183"","""",""10.1109/71.963414"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=963414"","""",""Multicast protocols";Mobile computing;Wireless networks;Power system reliability;Mobile communication;Personal digital assistants;Proposals;Distributed computing;Computer network reliability;"Computer networks"","""",""28"","""",""38"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A simple local-spin group mutual exclusion algorithm,""P. Keane";" M. Moir"",""Danet, Inc., Wexford, PA, USA";" Sun MicroSystems Laboratories, Inc., Burlington, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""7"",""673"",""685"",""This paper presents a new solution to the group mutual exclusion problem recently posed by Joung. In this problem, processes repeatedly request access to various """"sessions."""" It is required that distinct processes are not in different sessions concurrently, that multiple processes may be in the same session concurrently, and that each process that tries to enter a session is eventually able to do so. This problem is a generalization of the mutual exclusion and readers-writers problems. Our algorithm and its correctness proof are substantially simpler than Joung's. This simplicity is achieved by building upon known solutions to the more specific mutual exclusion problem. Our algorithm also has various advantages over Joung's, depending on the choice of mutual exclusion algorithm used. These advantages include admitting a process to its session in constant time in the absence of contention, spinning locally in Cache Coherent (CC) and Nonuniform Memory Access (NUMA) systems, and improvements in the complexity measures proposed by Joung."",""1558-2183"","""",""10.1109/71.940743"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=940743"","""",""Spinning";Time measurement;"Algorithm design and analysis"","""",""18"",""1"",""19"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A slowdown model for applications executing on time-shared clusters of workstations,""S. M. Figueira";" F. Berman"",""Department of Computer Engineering, Santa Clara University, Santa Clara, CA, USA";" Department of Computer Science and Engineering, University of California, San Diego, La Jolla, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""6"",""653"",""670"",""Distributed applications executing on clustered environments typically share resources (computers and network links) with other applications. In such systems, application execution may be retarded by the competition for these shared resources. In this paper, we define a model that calculates the slowdown imposed on applications in time-shared multi-user clusters. Our model focuses on three kinds of slowdown: local slowdown, which synthesizes the effect of contention for CPU in a single workstation"; communication slowdown, which synthesizes the effect of contention for the workstations and network links on communication costs;" and aggregate slowdown, which determines the effect of contention on a parallel task caused by other applications executing on the entire cluster, i.e., on the nodes used by the parallel application. We verify empirically that this model provides an accurate estimate of application performance for a set of compute-intensive parallel applications on different clusters with a variety of emulated loads."",""1558-2183"","""",""10.1109/71.932718"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=932718"","""",""Application software";Network synthesis;Workstations;Computer networks;Distributed computing;Central Processing Unit;Costs;Aggregates;Computer applications;"Concurrent computing"","""",""18"",""1"",""21"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A strategy to manage cache consistency in a disconnected distributed environment,""S. K. S. Gupta";" P. K. Srimani"",""Cisco Systems Inc., San Jose, CA";" Telcordia Technologies, Morristown, NJ"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""7"",""686"",""700"",""Modern distributed systems involving large number of nonstationary clients (mobile hosts, MH) connected via unreliable low-bandwidth communication channels are very prone to frequent disconnections. This disconnection may occur because of different reasons: The clients may voluntarily switch off (to save battery power), or a client may be involuntarily disconnected due to its own movement in a mobile network (hand-off, wireless link failures, etc.). A mobile computing environment is characterized by slow wireless links and relatively underprivileged hosts with limited battery powers. Still, when data at the server changes, the client hosts must be made aware of this fact in order for them to invalidate their cache, otherwise the host would continue to answer queries with the cached values returning incorrect data. The nature of the physical medium coupled with the fact that disconnections from the network are very frequent in mobile computing environments demand a cache invalidation strategy with minimum possible overheads. In this paper, we present a new cache maintenance scheme, called AS. The objective of the proposed scheme is to minimize the overhead for the MHs to validate their cache upon reconnection, to allow stateless servers, and to minimize the bandwidth requirement. The general approach is (1) to use asynchronous invalidation messages and (2) to buffer invalidation messages from servers at the MH's Home Location Cache (HLC) while the MH is disconnected from the network and redeliver these invalidation messages to the MH when it gets reconnected to the network. Use of asynchronous invalidation messages minimizes access latency, buffering of invalidation messages minimizes the overhead of validating MH's cache after each disconnection and use of HLC off-loads the overhead of maintaining state of MH's cache from the servers. The MH can be disconnected from the server either voluntarily or involuntarily. We capture the effects of both by using a single parameter: The percentage of time a mobile host is disconnected from the network. We demonstrate the efficacy of our scheme through simulation and performance modeling. In particular, we show that the average data access latency and the number of uplink requests by a MH decrease by using the proposed strategy at the cost of using buffer space at the HLC. We provide analytical comparison between our proposed scheme and the existing scheme for cache management in a mobile environment. Extensive experimental results are provided to compare the schemes in terms of performance metrics like latency, number of uplink requests, etc., under both a high and a low rate of change of data at servers for various values of the parameters. A mathematical model for the scheme is developed which matches closely with the simulation results."",""1558-2183"","""",""10.1109/71.940744"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=940744"","""",""Network servers";Delay;Switches;Batteries;Mobile computing;Power system management;Communication channels;Communication switching;Computer networks;"Physics computing"","""",""80"",""16"",""28"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A unified formulation of honeycomb and diamond networks,""B. Parhami";" Ding-Ming Kwai"",""Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA, USA";" Worldwide Semiconductor Corporation, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""1"",""74"",""80"",""Honeycomb and diamond networks have been proposed as alternatives to mesh and torus architectures for parallel processing. When wraparound links are included in honeycomb and diamond networks, the resulting structures can be viewed as having been derived via a systematic pruning scheme applied to the links of 2D and 3D tori, respectively. The removal of links, which is performed along a diagonal pruning direction, preserves the network's node-symmetry and diameter, while reducing its implementation complexity and VLSI layout area. In this paper, we prove that honeycomb and diamond networks are special subgraphs of complete 2D and 3D tori, respectively, and show this viewpoint to hold important implications for their physical layouts and routing schemes. Because pruning reduces the node degree without increasing the network diameter, the pruned networks have an advantage when the degree-diameter product is used as a figure of merit. Additionally, if the reduced node degree is used as an opportunity to increase the link bandwidths to equalize the costs of pruned and unpruned networks, a gain in communication performance may result."",""1558-2183"","""",""10.1109/71.899940"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=899940"","""",""Network topology";Multiprocessor interconnection networks;Costs;Parallel processing;Very large scale integration;Routing;Parallel machines;Hardware;Lattices;"Bandwidth"","""",""57"",""1"",""21"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Adaptive parallel rendering on multiprocessors and workstation clusters,""Wai-Sum Lin"; R. W. H. Lau; Kai Hwang; Xiaola Lin;" P. Y. S. Cheung"",""University of Hong Kong, Hong Kong, China"; City University of Hong Kong, Hong Kong, China; Department of Electrical Engineering, University of Southern California, Los Angeles, CA, USA; University of Hong Kong, Hong Kong, China;" University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""3"",""241"",""258"",""This paper presents the design and performance of a new parallel graphics renderer for 3D images. This renderer is based on an adaptive supersampling approach that works for time/space-efficient execution on two classes of parallel computers. Our rendering scheme takes subpixel supersamples only along polygon edges. This leads to a significant reduction in rendering time and in buffer memory requirements. Furthermore, we offer a balanced rasterization of all transformed polygons. Experimental results prove these advantages on both a shared-memory SGI multiprocessor server and a Unix cluster of Sun workstations. We reveal performance effects of the new rendering scheme on subpixel resolution, polygon number, scene complexity, and memory requirements. The balanced parallel renderer demonstrates scalable performance with respect to increase in graphic complexity and in machine size. Our parallel renderer outperforms Crow's scheme in benchmark experiments performed. The improvements are made in three fronts: (1) reduction in rendering time, (2) higher efficiency with balanced workload,: and (3) adaptive to available buffer memory size. The balanced renderer can be more cost-effectively embedded within many 3D graphics algorithms, such as those for edge smoothing and 3D visualization. Our parallel renderer is MPI-coded, offering high portability and cross-platform performance. These advantages can greatly improve the QoS in 3D imaging and in real-time interactive graphics."",""1558-2183"","""",""10.1109/71.914755"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=914755"","""",""Workstations";Rendering (computer graphics);Computer graphics;Concurrent computing;Layout;Quality of service;Application software;Clustering algorithms;Visualization;"Hardware"","""",""10"",""1"",""43"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"All-to-all personalized communication in multidimensional torus and mesh networks,""Young-Joo Suh";" K. G. Shin"",""Department of Computer Science and Engineering, Pohang University of Science and Technology, Pohang, South Korea";" Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""1"",""38"",""59"",""All-to-all personalized communication commonly occurs in many important parallel algorithms, such as FFT and matrix transpose. This paper presents new algorithms for all-to-all personalized communication or complete exchange in multidimensional torus- or mesh-connected multiprocessors. For an R/spl times/C torus or mesh where R/spl les/C, the proposed algorithms have time complexities of O(C) message startups and O(RC/sup 2/) message transmissions. The algorithms for three- or higher-dimensional tori or meshes follow a similar structure. Unlike other existing message-combining algorithms in which the number of nodes in each dimension should be a power-of-two and square, the proposed algorithms accommodate non-power-of-two tori or meshes where the number of nodes in each dimension need not be power-of-two and square. In addition, destinations remain fixed over a larger number of steps in the proposed algorithms, thus making them amenable to optimizations. Finally, the data structures used are simple, hence making substantial savings of message-rearrangement time."",""1558-2183"","""",""10.1109/71.899938"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=899938"","""",""Intelligent networks";Multidimensional systems;Mesh networks;Scattering;Parallel algorithms;Message passing;Broadcasting;Data structures;Multiprocessor interconnection networks;"Computer applications"","""",""25"",""1"",""21"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"An adaptive algorithm for tolerating value faults and crash failures,""Yansong Ren"; M. Cukier;" W. H. Sanders"",""Center for Reliable and High-Performance Computing, Coordinated Science Laboratory and Department of Electrical and Computer Engineering, University of Illinois at Urbana-Champaign, Urbana, Illinois"; Center for Reliable and High-Performance Computing, Coordinated Science Laboratory and Department of Electrical and Computer Engineering, University of Illinois at Urbana-Champaign, Urbana, Illinois;" Center for Reliable and High-Performance Computing, Coordinated Science Laboratory and Department of Electrical and Computer Engineering, University of Illinois at Urbana-Champaign, Urbana, Illinois"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""2"",""173"",""192"",""The AQuA architecture provides adaptive fault tolerance to CORBA applications by replicating objects and providing a high-level method that an application can use to specify its desired level of dependability. This paper presents the algorithms that AQUA uses, when an application's dependability requirements can change at runtime, to tolerate both value faults in applications and crash failures simultaneously. In particular, we provide an active replication communication scheme that maintains data consistency among replicas, detects crash failures, collates the messages generated by replicated objects, and delivers the result of each vote. We also present an adaptive majority voting algorithm that enables the correct ongoing vote while both the number of replicas and the majority size dynamically change. Together, these two algorithms form the basis of the mechanism for tolerating and recovering from value faults and crash failures in AQuA."",""1558-2183"","""",""10.1109/71.910872"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=910872"","""",""Adaptive algorithm";Computer crashes;Voting;Fault tolerance;Change detection algorithms;Fault tolerant systems;Fault detection;Middleware;Runtime;"Object detection"","""",""13"","""",""27"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"An analytical model of adaptive wormhole routing in hypercubes in the presence of hot spot traffic,""M. Ould-Khaoua";" H. Sarbazi-Azad"",""Department of Computing Science, University of Glasgow, Glasgow, UK";" Department of Computing Science, University of Glasgow, Glasgow, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""3"",""283"",""292"",""Analytical models of fully adaptive routing for common wormhole-routed networks (e.g., hypercubes) under the uniform traffic pattern have recently been reported in the literature. However, many studies have revealed that the performance advantages of adaptive routing over deterministic routing is more noticeable when the traffic is nonuniform due to, for example, the existence of hot spots in the network. This paper proposes a new queueing model of fully adaptive routing in the hypercube in the presence of hot spot traffic. The analysis focuses on Duato's algorithm, but can easily be applied to other fully adaptive routing algorithms. Results from simulation experiments are presented to validate the model."",""1558-2183"","""",""10.1109/71.914770"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=914770"","""",""Analytical models";Routing;Hypercubes;Traffic control;Telecommunication traffic;Delay;Intelligent networks;Computer Society;Multiprocessor interconnection networks;"Bandwidth"","""",""56"","""",""27"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"An efficient adaptive scheduling scheme for distributed memory multicomputers,""T. Thanalapati";" S. Dandamudi"",""IBM Toronto Software Laboratory, North York, ONT, Canada";" Centre for Parallel and Distributed Computing School of Computer Science, Carleton University, Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""7"",""758"",""768"",""Traditional multiprocessor scheduling schemes have been one of either space-sharing or time-sharing. Space-sharing schemes perform better than time-sharing at low to moderate system loads. However, they have a disadvantage of wasting processing power within partitions at medium to high system loads. Time sharing schemes tend to perform better at medium to high system loads. Almost all the scheduling schemes proposed so far have been tested under ad hoc workload considerations. In light of recent knowledge about workloads, it is imperative to develop an integrated scheduling scheme that combines the advantages of space- and time-sharing while overcoming their individual drawbacks. We propose such a scheduling scheme, called Hierarchical Scheduling Policy, which is efficient as well as general enough to accommodate multiple workloads. Simulation results indicate that our scheme significantly outperforms the best space- and time-sharing mechanisms at medium to high system loads even in the absence knowledge regarding individual job characteristics."",""1558-2183"","""",""10.1109/71.940749"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=940749"","""",""Adaptive scheduling";Time sharing computer systems;Processor scheduling;Large-scale systems;Robustness;Testing;High performance computing;Dispersion;Energy management;"Power system management"","""",""38"",""4"",""28"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"An efficient buffer memory system for subarray access,""Jong Won Park"",""Department of Information Communications Engineering College of Engineering, Chungnam National University, Daejeon, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""3"",""316"",""335"",""Many current graphical display systems utilize a buffer memory system to contain a two-dimensional image array to be modified and displayed. In order to speed up the update of the buffer memory system, it is required that the buffer memory system accesses many image points within an image subarray in parallel. This paper proposes an efficient buffer memory system for a fast and high-resolution graphical display system. The memory system provides parallel accesses to pq image points within a block(p/spl times/q), a horizontal (1/spl times/pq), a vertical (pq/spl times/1), a forward-diagonal, or a backward-diagonal subarray in a two-dimensional image array, M/spl times/N, where the design parameters p and q are all powers of two. In the address calculation and routing circuit of the proposed buffer memory system, the address differences of the five subarrays are prearranged according to the index numbers of memory modules and stored in two static random access memories (SRAMs), so that the address differences are simply added to the base address to obtain the addresses according to the index numbers of memory modules. In addition, for the fast address calculation, one single multiplication operation in the base address calculation is replaced by a SRAM access, so that the multiplication operation can be performed during the SRAM access for the address differences for the case when N is not a power of two. The address calculation and routing circuit proposed in this paper is improved in the hardware cost, the complexity of control, and the speed over the previous circuits."",""1558-2183"","""",""10.1109/71.914779"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=914779"","""",""Computer displays";Routing;Circuits;Hardware;Buffer storage;Random access memory;Two dimensional displays;SRAM chips;Costs;"Image processing"","""",""19"",""6"",""12"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"An evaluation of cache invalidation strategies in wireless environments,""Kian-Lee Tian"; Jun Cai;" Beng Chin Ooi"",""Dept. of Comput. Sci., Nat. Univ. of Singapore, Singapore"; Department of Computer Science, National University of Singapore, Singapore, Singapore;" Department of Computer Science, National University of Singapore, Singapore, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""8"",""789"",""807"",""Caching can reduce the bandwidth requirement in a wireless computing environment as well as minimize the energy consumption of wireless portable computers. To facilitate mobile clients in ascertaining the validity of their cache content, servers periodically broadcast cache invalidation reports that contain information of data that has been updated. However, as mobile clients may operate in a doze or even totally disconnected mode (to conserve energy), it is possible that some reports may be missed and the clients are forced to discard the entire cache content. In this paper, we reexamine the issue of designing cache invalidation strategies. We identify the basic issues in designing cache invalidation strategies. From the solutions to these issues, a large set of cache invalidation schemes can be constructed. We evaluate the performance of four representative algorithms-two of which are known algorithms (i.e., Dual-Report Cache Invalidation and Bit-Sequences) while the other two are their counterparts that exploit selective tuning (namely, Selective Dual-Report Cache Invalidation and Bit-Sequences with Bit Count). Our study shows that the two proposed schemes are not only effective in salvaging the cache content but consume significantly less energy than their counterparts. While the Selective Dual-Report Cache Invalidation scheme performs best in most cases, it is inferior to the Bit-Sequences with the Bit-Count scheme under high update rates."",""1558-2183"","""",""10.1109/71.946652"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=946652"","""",""Bandwidth";Portable computers;Energy consumption;Computer Society;Broadcasting;Personal digital assistants;Mobile computing;Space technology;Energy efficiency;"Computer networks"","""",""64"",""1"",""18"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
