"A Comment on ""The Exchanged Hypercube',""Y. -w. Chen"",""Department of Computer and Information Science, Aletheia University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2007"",""2007"",""18"",""4"",""576"",""576"",""We address and analyze the problems existing on the exchanged hypercube proposed by Loh et al., an interconnection network obtained by systematically removing links from a hypercube. By taking the wrong number of links, the exchanged hypercube suffers from two problems. Necessary modifications on the exchanged hypercube, including the incremental expandability and the ratio of the number of links in EH(s, t) to that of an (s+t+1)-dimensional hypercube, are made"",""1558-2183"","""",""10.1109/TPDS.2007.1006"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118697"",""Interconnection network";exchanged hypercube;incremental expandability;"number of links."",""Hypercubes";Multiprocessor interconnection networks;Topology;Intelligent networks;"Hamming distance"","""",""16"","""",""1"",""IEEE"",""5 Mar 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"A Message Scheduling Scheme for All-to-All Personalized Communication on Ethernet Switched Clusters,""A. Faraj"; X. Yuan;" P. Patarasuk"",""Department of Computer Science, Florida State University, Tallahassee, FL, USA"; Department of Computer Science, Florida State University, Tallahassee, FL, USA;" Department of Computer Science, Florida State University, Tallahassee, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Jan 2007"",""2007"",""18"",""2"",""264"",""276"",""We develop a message scheduling scheme for efficiently realizing all-to-all personalized communication (AAPC) on Ethernet switched clusters with one or more switches. To avoid network contention and achieve high performance, the message scheduling scheme partitions AAPC into phases such that 1) there is no network contention within each phase and 2) the number of phases is minimum. Thus, realizing AAPC with the contention-free phases computed by the message scheduling algorithm can potentially achieve the minimum communication completion time. In practice, phased AAPC schemes must introduce synchronizations to separate messages in different phases. We investigate various synchronization mechanisms and various methods for incorporating synchronizations into the AAPC phases. Experimental results show that the message scheduling-based AAPC implementations with proper synchronization consistently achieve high performance on clusters with many different network topologies when the message size is large"",""1558-2183"","""",""10.1109/TPDS.2007.19"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4052577"",""All-to-all personalized communications";Ethernet;"scheduling."",""Ethernet networks";Communication switching;Processor scheduling;Network topology;Scheduling algorithm;Switches;Bandwidth;Message passing;Multidimensional systems;"Convolution"","""",""20"",""5"",""25"",""IEEE"",""8 Jan 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"A New Cost-Effective Technique for QoS Support in Clusters,""A. Martinez"; F. J. Alfaro; J. L. Sanchez; F. J. Quiles;" J. Duato"",""Computer Systems Department, University of Castilla La Mancha, Albacete, Spain"; Computer Systems Department, University of Castilla La Mancha, Albacete, Spain; Computer Systems Department, University of Castilla La Mancha, Albacete, Spain; Computer Systems Department, University of Castilla La Mancha, Albacete, Spain;" Department of Computer Engineering, Technical University of Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Nov 2007"",""2007"",""18"",""12"",""1714"",""1726"",""Virtual channels (VCs) are a popular solution for the provision of quality of service (QoS). Current interconnect standards propose 16 or even more VCs for this purpose. However, most implementations do not offer so many VCs because it is too expensive in terms of silicon area. Therefore, a reduction of the number of VCs necessary to support QoS can be very helpful in the switch design and implementation. In this paper, we show that this number of VCs can be reduced if the system is considered as a whole rather than each element being taken separately. The scheduling decisions made at network interfaces can be easily reused at switches without significantly altering the global behavior. In this way, we obtain a noticeable reduction of silicon area, component count and, thus, power consumption, and we can provide similar performance to a more complex architecture. We also show that this is a scalable technique, suitable for the foreseen demands of traffic."",""1558-2183"","""",""10.1109/TPDS.2007.1108"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359396"",""Quality of Service";Switch Design;Scheduling;Virtual Channels;Clusters;Quality of Service;Switch Design;Scheduling;Virtual Channels;"Clusters"",""Switches";Quality of service;Silicon;Personal digital assistants;Personal communication networks;Web server;Proposals;Scheduling;Network interfaces;"Handheld computers"","""",""14"","""",""43"",""IEEE"",""5 Nov 2007"","""","""",""IEEE"",""IEEE Journals""";;;
"A New Operational Transformation Framework for Real-Time Group Editors,""R. Li";" D. Li"",""Department of Computer Science, Texas A&M University, College Station, Texas, USA";" Department of Computer Science, Texas A&M University, College Station, Texas"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Feb 2007"",""2007"",""18"",""3"",""307"",""319"",""Group editors allow a group of distributed human users to edit a shared multimedia document at the same time over a computer network. Consistency control in this environment must not only guarantee convergence of replicated data, but also attempt to preserve intentions of operations. Operational transformation (OT) is a well-established method for optimistic consistency control in this context and has drawn continuing research attention since 1989. However, counterexamples to previous works have often been identified despite the significant progress made on this topic over the past 15 years. This paper analyzes the root of correctness problems in OT and establishes a novel operational transformation framework for developing OT algorithms and proving their correctness."",""1558-2183"","""",""10.1109/TPDS.2007.35"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4079531"",""Consistency control";group editors;groupware;"operational transformation."",""Algorithm design and analysis";Collaborative software;Collaborative work;Sufficient conditions;Humans;Computer networks;Convergence;Optimization methods;Delay;"Collaboration"","""",""19"","""",""24"",""IEEE"",""5 Feb 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A New Task Graph Model for Mapping Message Passing Applications,""C. Roig"; A. Ripoll;" F. Guirado"",""Department of Computer Science, University of Lleida, Lleida, Spain"; Department of Computer Architecture, University Autònoma of Barcelona, Bellaterra, Spain;" Department of Computer Science, University of Lleida, Lleida, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Nov 2007"",""2007"",""18"",""12"",""1740"",""1753"",""The exploitation of parallelism in a message-passing platform implies a previous modelling phase of the parallel application as a task graph, which properly reflects its temporal behaviour. In this paper, we analyse the classical task graph models of the literature and their drawbacks when modelling message-passing programs with arbitrary task structure. We define a new task graph model called TTIG (Temporal Task Interaction Graph) that integrates the classical models used in the literature. The TTIG allows to explicitly capture the ability of concurrency of adjacent tasks for applications where adjacent tasks can communicate at any point inside them. A mapping strategy is developed from this model, that minimizes the expected execution time by properly exploiting task parallelism. The effectiveness of this approach has been proved in different experimentation scopes for a wide range of message-passing applications."",""1558-2183"","""",""10.1109/TPDS.2007.1117"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359405"",""Task graphs";modelling message-passing programs;program behaviour;task concurrency;static mapping;mapping algorithms;Task graphs;modelling message-passing programs;program behaviour;task concurrency;static mapping;"mapping algorithms"",""Message passing";Application software;Concurrent computing;Parallel processing;Computer Society;Clustering algorithms;Scientific computing;Microprocessors;High-speed networks;"Workstations"","""",""26"",""3"",""44"",""IEEE"",""5 Nov 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;
"A NUCA Substrate for Flexible CMP Cache Sharing,""J. Huh"; C. Kim; H. Shafi; L. Zhang; D. Burger;" S. W. Keckler"",""Advanced Micro Devices, Inc., Sunnyvale, CA, USA"; Department of Computer Sciences, University of Technology, Austin, TX, USA; Microsoft, Redmond, WA, USA; IBM Austin Research Lab, IBM Research, Austin, TX, USA; Department of Computer Sciences, University of Technology, Austin, TX, USA;" Department of Computer Sciences, University of Technology, Austin, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""8"",""1028"",""1040"",""We propose an organization for the on-chip memory system of a chip multiprocessor in which 16 processors share a 16-Mbyte pool of 64 level-2 (L2) cache banks. The L2 cache is organized as a nonuniform cache architecture (NUCA) array with a switched network embedded in it for high performance. We show that this organization can support a spectrum of degrees of sharing: unshared, in which each processor owns a private portion of the cache, thus reducing hit latency, and completely shared, in which every processor shares the entire cache, thus minimizing misses, and every point in between. We measure the optimal degree of sharing for different cache bank mapping policies and also evaluate a per-application cache partitioning strategy. We conclude that a static NUCA organization with sharing degrees of 2 or 4 works best across a suite of commercial and scientific parallel workloads. We demonstrate that migratory dynamic NUCA approaches improve performance significantly for a subset of the workloads at the cost of increased complexity, especially as per-application cache partitioning strategies are applied. We also evaluate the energy efficiency of each design point in terms of network traffic, bank accesses, and external memory accesses."",""1558-2183"","""",""10.1109/TPDS.2007.1091"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288102"",""Multiprocessor systems";cache memories;"adaptable architectures."",""System-on-a-chip";Costs;Energy efficiency;Telecommunication traffic;Cache memory;Memory architecture;Wire;Conductivity;Delay effects;"Hardware"","""",""101"",""3"",""29"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A Quorum-Based Group Mutual Exclusion Algorithm for a Distributed System with Dynamic Group Set,""R. Atreya"; N. Mittal;" S. Peri"",""Department of Computer Science, University of Technology, Richardson, TX, USA"; Department of Computer Science, University of Technology, Richardson, TX, USA;" Department of Computer Science, University of Technology, Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""17 Sep 2007"",""2007"",""18"",""10"",""1345"",""1360"",""The group mutual exclusion problem extends the traditional mutual exclusion problem by associating a type (or a group) with each critical section. In this problem, processes requesting critical sections of the same type can execute their critical sections concurrently. However, processes requesting critical sections of different types must execute their critical sections in a mutually exclusive manner. We present a distributed algorithm for solving the group mutual exclusion problem based on the notion of surrogate-quorum. Intuitively, our algorithm uses the quorum that has been successfully locked by a request as a surrogate to service other compatible requests for the same type of critical section. Unlike the existing quorum-based algorithms for group mutual exclusion, our algorithm achieves a low message complexity of O(q) and a low (amortized) bit-message complexity of O(bqr), where q is the maximum size of a quorum, b is the maximum number of processes from which a node can receive critical section requests, and r is the maximum size of a request while maintaining both synchronization delay and waiting time at two message hops. As opposed to some existing quorum-based algorithms, our algorithm can adapt without performance penalties to dynamic changes in the set of groups. Our simulation results indicate that our algorithm outperforms the existing quorum-based algorithms for group mutual exclusion by as much as 45 percent in some cases. We also discuss how our algorithm can be extended to satisfy certain desirable properties such as concurrent entry and unnecessary blocking freedom."",""1558-2183"","""",""10.1109/TPDS.2007.1072"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4302724"",""message-passing system";resource management;mutual exclusion;group mutual exclusion;"quorumbased algorithm"",""Delay effects";Computer Society;Distributed algorithms;Resource management;"Concurrent computing"","""",""21"",""2"",""24"",""IEEE"",""17 Sep 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A Robust Spanning Tree Topology for Data Collection and Dissemination in Distributed Environments,""D. England"; B. Veeravalli;" J. B. Weissman"",""Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA"; Department of Electrical and Computer Engineering, National University of Singapore, Singapore;" Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Apr 2007"",""2007"",""18"",""5"",""608"",""620"",""Large-scale distributed applications are subject to frequent disruptions due to resource contention and failure. Such disruptions are inherently unpredictable and, therefore, robustness is a desirable property for the distributed operating environment. In this work, we describe and evaluate a robust topology for applications that operate on a spanning tree overlay network. Unlike previous work that is adaptive or reactive in nature, we take a proactive approach to robustness. The topology itself is able to simultaneously withstand disturbances and exhibit good performance. We present both centralized and distributed algorithms to construct the topology, and then demonstrate its effectiveness through analysis and simulation of two classes of distributed applications: Data collection in sensor networks and data dissemination in divisible load scheduling. The results show that our robust spanning trees achieve a desirable trade-off for two opposing metrics where traditional forms of spanning trees do not. In particular, the trees generated by our algorithms exhibit both resilience to data loss and low power consumption for sensor networks. When used as the overlay network for divisible load scheduling, they display both robustness to link congestion and low values for the makespan of the schedule"",""1558-2183"","""",""10.1109/TPDS.2007.1032"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4160930"",""Robustness";distributed computing;graph theory;fault tolerance;wireless sensor networks;"divisible load scheduling."",""Robustness";Network topology;Large-scale systems;Distributed algorithms;Algorithm design and analysis;Analytical models;Power generation;Resilience;Energy consumption;"Displays"","""",""40"","""",""29"",""IEEE"",""23 Apr 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A Scalable Overlay Multicast Architecture for Large-Scale Applications,""L. Lao"; J. -h. Cui; M. Gerla;" S. Chen"",""Google, Inc., Santa Monica, CA, USA"; Computer Science and Engineering Department, University of Connecticut, Storrs, CT, USA; Computer Science Department, University of California, Los Angeles, Los Angeles, CA, USA;" Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2007"",""2007"",""18"",""4"",""449"",""459"",""In this paper, we propose a two-tier overlay multicast architecture (TOMA) to provide scalable and efficient multicast support for various group communication applications. In TOMA, multicast service overlay network (MSON) is advocated as the backbone service domain, while end users in access domains form a number of small clusters, in which an application-layer multicast protocol is used for the communication between the clustered end users. TOMA is able to provide efficient resource utilization with less control overhead, especially for large-scale applications. It also alleviates the state scalability problem and simplifies multicast tree construction and maintenance when there are large numbers of groups in the network. To help MSON providers efficiently plan backbone service overlay, we suggest several provisioning algorithms to locate proxies, select overlay links, and allocate link bandwidth. Extensive simulation studies demonstrate the promising performance of TOMA"",""1558-2183"","""",""10.1109/TPDS.2007.1008"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118687"",""Network architecture and design";multicast;"network management."",""Large-scale systems";Bandwidth;Spine;Multicast protocols;Scalability;Video on demand;Videoconference;Web and internet services;Resource management;"Communication system control"","""",""32"","""",""30"",""IEEE"",""5 Mar 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Accelerating Sequential Applications on CMPs Using Core Spilling,""J. Cong"; G. Han; A. Jagannathan; G. Reinmany;" K. Rutkowski"",""University of California Los Angeles, Los Angeles, CA, US"; Computer Science Department, University of California, Los Angeles, CA; Intel Corporation, Bangalore, Karnataka, India; Computer Science Department, University of California, Los Angeles, Los Angeles, CA, USA;" U.S. Navy, Riva, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""8"",""1094"",""1107"",""Chip multiprocessors (CMPs) provide a scalable means of exploiting thread-level parallelism for multitasking or multithreaded applications. However, single-threaded applications will have difficulty dynamically leveraging the statically partitioned resources in a CMP. Such sequential applications may be difficult to statically decompose into threads or may simply be-a legacy code where recompilation is not possible or cost-effective. We present a novel approach to dynamically accelerate the performance of sequential application(s) on multiple cores. Execution is allowed to spill from one core to another when resources on one core have been exhausted. We propose two techniques to enable low-overhead migration between cores: prespilling and locality-based filtering. We develop and analyze an arbitration mechanism to intelligently allocate cores among a set of sequential applications on a CMP. On average, core spilling on an eight-core CMP can accelerate single-threaded performance by 35 percent. We further explore an eight-core CMP running a multiple application workload composed of the entire SPEC 2000 benchmark suite in various combinations and arrival times. Using core spilling to accelerate the current set of running applications in cases where there are idle cores, we achieve up to a 40 percent improvement in performance."",""1558-2183"","""",""10.1109/TPDS.2007.1085"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288107"","""",""Acceleration";Multitasking;Processor scheduling;Delay;Parallel processing;Computer science;Filtering;Performance gain;"Out of order"","""",""10"",""2"",""46"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"ACOM: Any-source Capacity-constrained Overlay Multicast in Non-DHT P2P Networks,""Shiping Chen"; Baile Shi; Shigang Chen;" Ye Xia"",""Network Center, University of Shanghai for Science and Technology, Shanghai, China"; Department of Computer and Information Technology, FuDan University, Shanghai, China; Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA;" Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""9"",""1188"",""1201"",""rdquoApplication-level multicast is a promising alternative to IP multicast due to its independence from the IP routing infrastructure and its flexibility in constructing the delivery trees. The existing overlay multicast systems either support a single data source or have high maintenance overhead when multiple sources are allowed. They are inefficient for applications that require any-source multicast with varied host capacities and dynamic membership. This paper proposes ACOM, an any-source capacity-constrained overlay multicast system, consisting of three distributed multicast algorithms on top of a non-DHT overlay network with simple structures (random overlay with a non-DHT ring) that are easy to manage as nodes join and depart. The nodes have different capacities, and they can support different numbers of direct children during a multicast session. No explicit multicast trees are maintained on top of the overlay. The distributed execution of the algorithms naturally defines an implicit, roughly balanced, capacity-constrained multicast tree for each source node. We prove that the system can deliver a multicast message from any source to all nodes in expected O(logc n) hops, which is asymptotically optimal, where c is the average node capacity and n is the number of members in a multicast group."",""1558-2183"","""",""10.1109/TPDS.2007.1037"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288120"",""Any-Source Overlay Multicast";Peer-to-Peer Networks;"Distributed Multicast Algorithms"",""Peer to peer computing";Multicast algorithms;Unicast;Throughput;Routing;Scalability;Application software;Design optimization;"Games"","""",""13"","""",""29"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
