"A comparative study of topological properties of hypercubes and star graphs,""K. Day";" A. Tripathi"",""Computer Science Department, University of Bahrain, Isa Town, Bahrain";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""1"",""31"",""38"",""Undertakes a comparative study of two important interconnection network topologies: the star graph and the hypercube, from the graph theory point of view. Topological properties are derived for the star graph and are compared with the corresponding properties of the hypercube. Among other results, the authors determine necessary and sufficient conditions for shortest path routing and characterize maximum-sized families of parallel paths between any two nodes of the star graph. These parallel paths are proven of minimum length within a small additive constant. They also define greedy and asymptotically balanced spanning trees to support broadcasting and personalized communication on the star graph. These results confirm the already claimed topological superiority of the star graph over the hypercube.<>"",""1558-2183"","""",""10.1109/71.262586"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=262586"","""",""Hypercubes";Tree graphs;Routing;Broadcasting;Concurrent computing;Computer science;Multiprocessor interconnection networks;Network topology;Graph theory;"Additives"","""",""174"",""2"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A period-processor-time-minimal schedule for cubical mesh algorithms,""C. Scheiman";" P. Cappello"",""Department of Computer Science, University of California, Santa Barbara, CA, USA";" Department of Computer Science, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""3"",""274"",""280"",""Using a directed acyclic graph (dag) model of algorithms, we investigate precedence-constrained multiprocessor schedules for the n/spl times/n/spl times/n directed mesh. This cubical mesh is fundamental, representing the standard algorithm for square matrix product, as well as many other algorithms. Its completion requires at least 3/sup n/spl minus/2/ multiprocessor steps. Time-minimal multiprocessor schedules that use as few processors as possible are called processor-time-minimal. For the cubical mesh, such a schedule requires at least /spl lsqb/3n/sup 2//4/spl rsqb/ processors. Among such schedules, one with the minimum period (i.e., maximum throughput) is referred to as a period-processor-time-minimal schedule. The period of any processor-time-minimal schedule for the cubical mesh is at least 3/sup n/2/ steps. This lower bound is shown to be exact by constructing, for n a multiple of 6, a period-processor-time-minimal multiprocessor schedule that can be realized on a systolic array whose topology is a toroidally connected n/2/spl times/n/2/spl times/3 mesh.<>"",""1558-2183"","""",""10.1109/71.277790"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=277790"","""",""Scheduling algorithm";Processor scheduling;Computational modeling;Systolic arrays;Very large scale integration;Throughput;Topology;Computational complexity;Boolean functions;"Algorithm design and analysis"","""",""8"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A reconfigurable modular fault-tolerant hypercube architecture,""C. S. Yang"; L. . -P. Zu;" Y. N. Wu"",""Institute of Computer and Information Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan"; Department of Electrical Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan;" Department of Electrical Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""10"",""1018"",""1032"",""We propose a new fault-tolerant design of a hypercube system. We first build the fault-tolerant modules (FTM's), then we interconnect these FTM's as the modular hypercube. Finally, we obtain our proposed system by augmenting links, called the spare-sharing links (SSL's), in the modular hypercube, which forms a ring connection in our architecture. The characteristic of our system is that the spare nodes in an FTM can be used as local spares to replace the faulty nodes in the FTM, or as remote spares to replace the faulty nodes in other FTM's via the spare-sharing links in the architecture. Thus, the use of spare nodes in any FTM will increase, and the proposed system reliability will improve. In the system, the switch and link failures are also considered. The modular diagnosis and modular reconfiguration are proposed to identify and reconfigure the failure of nodes, switches, and links.<>"",""1558-2183"","""",""10.1109/71.313119"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=313119"","""",""Fault tolerance";Hypercubes;Fault tolerant systems;Switches;Fault diagnosis;Large-scale systems;Computer network reliability;Binary trees;Multiprocessor interconnection networks;"Redundancy"","""",""3"","""",""9"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"A scalable parallel formulation of the backpropagation algorithm for hypercubes and related architectures,""V. Kumar"; S. Shekhar;" M. B. Amin"",""Department of Computer Science, University of Minnesota, Minneapolis, MN, USA"; Department of Computer Science, University of Minnesota, Minneapolis, MN, USA;" Department of Computer Science, University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""10"",""1073"",""1090"",""We present a new technique for mapping the backpropagation algorithm on hypercube and related architectures. A key component of this technique is a network partitioning scheme called checkerboarding. Checkerboarding allows us to replace the all-to-all broadcast operation performed by the commonly used vertical network partitioning scheme, with operations that are much faster on the hypercubes and related architectures. Checkerboarding can be combined with the pattern partitioning technique to form a hybrid scheme that performs better than either one of these schemes. Theoretical analysis and experimental results on nCUBE and CM5 show that our scheme performs better than the other schemes, for both uniform and nonuniform networks.<>"",""1558-2183"","""",""10.1109/71.313123"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=313123"","""",""Backpropagation algorithms";Hypercubes;Broadcasting;Concurrent computing;Neural networks;Partitioning algorithms;Computer architecture;Performance analysis;"Application software"","""",""46"","""",""45"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"A service acquisition mechanism for server-based heterogeneous distributed systems,""R. N. Chang";" C. V. Ravishankar"",""Bell Communications Research, Inc., Morristown, NJ, USA";" Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""2"",""154"",""169"",""This paper presents a mechanism that facilitates and enhances the use of independently administered remote network servers in the presence of server interface heterogeneity. The mechanism is designed under the client-service model, which extends the client-server model with an abstraction of service to decouple abstract server capabilities from concrete server interface specifics such as server interface binding protocols and the interface operation invocation protocols. The mechanism selects servers, accommodates server interface heterogeneity, and handles server access failures as per the abstract server capabilities desired by the client. It could return the identity of the server used for each service access invocation to facilitate billing, refining service specifications, and reporting server-specific errors. This paper also illustrates a C library interface to this mechanism, and describes a language veneer over the C programming language demonstrating how a typed procedural language could be extended by a few language constructs to support the mechanism under the client-service model. In this language, server capabilities are referenced by abstract data type (ADT) objects, and are accessed by invoking the objects' interface operations using a call-by-value-result paradigm.<>"",""1558-2183"","""",""10.1109/71.265943"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=265943"","""",""Network servers";Object oriented modeling;Software libraries;Concrete;Access protocols;Computer languages;Software systems;Software maintenance;Distributed computing;"Fault tolerant systems"","""",""5"",""7"",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A systolic-based parallel bin packing algorithm,""J. O. Berkey";" P. Y. Wang"",""Booz Allen and Hamilton, Inc., Vienna, VA, USA";" Department of Computer Science, MS 4A5, George Mason University, Fairfax, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""7"",""769"",""772"",""A systolic based parallel approximation algorithm that obtains solutions to the I-D bin packing problem is presented. The algorithm has an asymptotic error bound of 1.5 and time complexity O(n). An experimental study demonstrates that the heuristic offers improved packing and execution performance over parallelizations of two well-known serial algorithms.<>"",""1558-2183"","""",""10.1109/71.296322"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=296322"","""",""Approximation algorithms";Computer science;Concurrent computing;Application software;Operations research;Parallel algorithms;Computational modeling;"Systolic arrays"","""",""6"","""",""9"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Access graphs: a model for investigating memory consistency,""D. H. Linder";" J. C. Harden"",""NSF Engineering Research Center for Computational Field Simulation, Mississippi State University, MS, USA";" Department of Electrical and Computer Engineering and the NSF Engineering Research Center for Computational Field Simulation, Mississippi State University, MS, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""1"",""39"",""52"",""Computer architectures supporting shared memory continue to increase in complexity as designers seek to improve memory performance. This is especially true of proposals for massively parallel systems with distributed, yet shared, memory. The need to maintain a reasonably simple memory model for programmers, in spite of enhancements like caches and access pipelining, is responsible for many of the complications. We develop a novel graph model, access graphs, for visualizing processor/memory interaction. Access graphs symbolically represent the causal relationships between load, store, and synchronization events. The focus is on two classes of access graphs: pseudo and real. A pseudo access graph describes an execution in terms of abstract events familiar to the programmer. If the pseudo access graph is acyclic, then memory consistency is preserved during the execution. A real access graph describes an execution in terms of physical events known to the hardware designer. A real access graph must be acyclic since hardware cannot violate causality. Memory consistency can be verified for a given computer system by proving that for any acyclic real access graph describing a program's execution on that computer, an acyclic pseudo access graph can be derived describing the same execution.<>"",""1558-2183"","""",""10.1109/71.262587"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=262587"","""",""Hardware";Programming profession;Memory architecture;Proposals;Pipeline processing;Visualization;Stress;Message passing;Computational modeling;"Displays"","""",""2"",""1"",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Adaptive binary sorting schemes and associated interconnection networks,""M. V. Chien";" A. Yavuz Oruc"",""Department of Electrical Engineering and lnstitute for Advanced Computcr Studies, University of Maryland, College Park, MD, USA";" PRC, Inc., McLean, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""6"",""561"",""572"",""Many routing problems in parallel processing, such as concentration and permutation problems, can be cast as sorting problems. In this paper, we consider the problem of sorting on a new model, called an adaptive sorting network. We show that any sequence of n bits can be sorted on this model in O(lg/sup 2/ n) bit-level delay using O(n) constant fanin gates. This improves the cost complexity of K.E. Batcher's binary sorters (1968) by a factor of O(lg/sup 2/ n) while matching their sorting time. The only other network that can sort binary sequences in O(n) cost is the network version of columnsort algorithm, but this requires excessive pipelining. In addition, using binary sorters, we construct permutation networks with O(n lg n) bit-level cost and O(lg/sup 3/ n) bit-level delay. These results provide the asymptotically least-cost practical concentrators and permutation networks to date. We note, of course, that the well-known AKS sorting network has O(lg n) sorting time and O(n lg n) cost, but the constants hidden in these complexities are so large that our complexities outperform those of the AKS sorting network until n becomes extremely large.<>"",""1558-2183"","""",""10.1109/71.285603"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=285603"","""",""Sorting";Multiprocessor interconnection networks;Costs;Switches;Computer networks;Routing;Parallel processing;Adaptive systems;Delay;"Binary sequences"","""",""15"",""2"",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Adaptive deadlock- and livelock-free routing in the hypercube network,""G. D. Pifarre"; L. Gravano; G. Denicolay;" J. L. C. Sanz"",""Advanced Solutions and Innovative Technologies Department, IBM Argentina, Ing., Buenos Aires, Argentina"; Computer Science Department, University of Stanford, Stanford, CA, USA; ESLAI, Escuela Superior Latinoamericana de Informatica, Buenos Aires, Argentina;" Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""11"",""1121"",""1139"",""This paper consists of two parts. In the first one, two new algorithms for wormhole routing on the hypercube network are presented. These techniques are adaptive and are ensured to be deadlock- and livelock-free. These properties are guaranteed by using a small number of resources in the routing node. The first algorithm is adaptive and nonminimal and will be referred to as Nonminimal. In this technique, some moderate derouting is allowed in order to alleviate the potential congestion arising from highly structured communication patterns. The second algorithm, dubbed Subcubes, is adaptive and minimal, and is based on partitioning the hypercube into subcubes of smaller dimension"; This technique requires only two virtual channels per physical link of the node. In the second part of the paper, a wide variety of techniques for wormhole routing in the hypercube are evaluated from an algorithmic point of view. Five partially adaptive algorithms are considered: the Hanging algorithm, the Zenith algorithm, the Hanging-Order algorithm, the Nonminimal algorithm;" and the Subcubes algorithm. One oblivious algorithm, the Dimension-Order, or E-Cube routing algorithm, is also used. Finally, a Fully Adaptive Minimal algorithm is tried. A simple node model was designed and adapted to all the algorithms.<>"",""1558-2183"","""",""10.1109/71.329674"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=329674"","""",""System recovery";Routing;Intelligent networks;Hypercubes;Partitioning algorithms;Adaptive algorithm;Algorithm design and analysis;Computer networks;Concurrent computing;"Computational modeling"","""",""11"",""7"",""42"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"Adaptive deadlock- and livelock-free routing with all minimal paths in torus networks,""L. Gravano"; G. D. Pifarre; P. E. Berman;" J. L. C. Sanz"",""Computer Science Department, University of Stanford, Stanford, CA, USA"; Departamento de Computación. Fac. de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Argentina; ESLAI, Escuela Superior Latinoamericana de Informática, Buenos Aires, Argentina;" Advances Solutions and Innovative Technologies Department, IBM Argentina, Ing., Buenos Aires, Argentina"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""12"",""1233"",""1251"",""This paper consists of two parts. In the first part, two new algorithms for deadlock- and livelock-free wormhole routing in the torus network are presented. The first algorithm, called Channels, is for the n-dimensional torus network. This technique is fully-adaptive minimal, that is, all paths with a minimal number of hops from source to destination are available for routing, and needs only five virtual channels per bidirectional link, the lowest channel requirement known in the literature for fully-adaptive minimal worm-hole routing. In addition, this result also yields the lowest buffer requirement known in the literature for packet-switched fully-adaptive minimal routing. The second algorithm, called 4-Classes, is for the bidimensional torus network. This technique is fully-adaptive minimal and requires only eight virtual channels per bidirectional link. Also, it allows for a highly parallel implementation of its associated routing node. In the second part of this paper, four worm-hole routing techniques for the two-dimensional torus are experimentally evaluated using a dynamic message injection model and different traffic patterns and message lengths.<>"",""1558-2183"","""",""10.1109/71.334898"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=334898"","""",""System recovery";Routing;Intelligent networks;Computational modeling;Computer networks;Concurrent computing;Computer simulation;Multiprocessor interconnection networks;Computer science;"Hypercubes"","""",""55"",""25"",""47"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Adding multiple-fault tolerance to generalized cube networks,""C. J. Shih";" K. E. Batcher"",""Department of Computer and Information Science, Youngstown State University, Youngstown, OH, USA";" Department of Mathematics and Computer Science, Kent University, Kent, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""8"",""785"",""792"",""Generalized cube networks are limited to single-fault tolerance with respect to permutation connections. The vector space approach presented here yields many fault-tolerance schemes that can tolerate two and three faults. In each scheme, redundant switches and links are added to networks and interconnected in certain ways. These redundancies are represented by a matrix called the redundancy matrix. A fault-free network without redundancy is represented by an identity matrix. As faulty switches and links are discovered, the remaining switches and links are remapped to establish an intact network. The remapping is analogous to converting an invertible redundancy matrix back to an identity matrix.<>"",""1558-2183"","""",""10.1109/71.298202"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=298202"","""",""Switches";Fault tolerance;Redundancy;Matrix converters;Hypercubes;Computer aided instruction;Computer networks;Concurrent computing;Parallel processing;"Hardware"","""",""8"",""1"",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Aggressive transmissions of short messages over redundant paths,""B. Kao"; H. Garcia-Molina;" D. Barbara"",""Department of Computer Science, Princeton University, Princeton, NJ, USA"; Department of Computer Science, University of Stanford, Stanford, CA, USA;" M.I.T.I., Princeton, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""1"",""102"",""109"",""Fault-tolerant computer systems have redundant paths connecting their components. Given these paths, it is possible to use aggressive techniques to reduce the average value and variability of the response time for short, critical messages. One technique is to send a copy of a packet over an alternate path before it is known whether the first copy failed or was delayed. A second technique is to split a single stream of packets over multiple paths. The authors analyze both approaches and show that they can provide significant improvements over conventional, conservative mechanisms.<>"",""1558-2183"","""",""10.1109/71.262594"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=262594"","""",""Switches";Computer science;Delay effects;Fault tolerance;Application software;Computer applications;Computer network reliability;Telecommunication network reliability;Local area networks;"Joining processes"","""",""29"",""2"",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Algorithms and average time bounds of sorting on a mesh-connected computer,""Qian Ping Gu";" Jun Gu"",""Department of Electrical and Computer Engineering, University of Calgary, Calgary, AB, Canada";" Department of Electrical and Computer Engineering, University of Calgary, Calgary, AB, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""3"",""308"",""315"",""We give three new parallel sorting algorithms on a mesh-connected computer with wraparound connections (i.e. a torus). These three algorithms, with the minimum queue size of 1, sort n/sup 2/ random input data items into a blocked snakelike row major order, a row major order, and a snakelike row major order, in 1.5n+o(n), 2n+o(n), and 2n+o(n) average steps, respectively. These results improve the previous results of 2n+o(n), 2.5n+o(n), and 2.5n+o(n), respectively. In addition, we prove that the distance bound n on a torus is an average-time lower bound independent of indexing schemes of sorting random input data items on it.<>"",""1558-2183"","""",""10.1109/71.277787"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=277787"","""",""Sorting";Concurrent computing;Computational modeling;Parallel algorithms;Very large scale integration;Indexing;History;Upper bound;Software;"Cities and towns"","""",""10"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Allocating precise submeshes in mesh connected systems,""Po-Jen Chuang";" Nian-Feng Tzeng"",""Department of Electrical Engineering, Tamkang University, Taipei, Taiwan";" Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""2"",""211"",""217"",""We propose a new processor allocation strategy that applies to any mesh system and recognizes submeshes of arbitrary sizes at any locations in a mesh system. The proposed strategy allocates a submesh of exactly the size requested by an incoming task, completely avoiding internal fragmentation. Because of its efficient allocation, this strategy exhibits better performance than an earlier allocation strategy based on the buddy principle. An efficient implementation of this strategy is presented. Extensive simulation runs are carried out to collect experimental cost and performance measures of interest under different allocation schemes.<>"",""1558-2183"","""",""10.1109/71.265948"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=265948"","""",""Costs";Very large scale integration;Topology;Distributed control;Parallel architectures;Prototypes;Image processing;Partial differential equations;Supercomputers;"Memory management"","""",""46"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Allocating tree structured programs in a distributed system with uniform communication costs,""A. Billionnet"",""Institut dInformatique dEnterprise, CEDRIC, Evry, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""4"",""445"",""448"",""Studies the complexity of the problem of allocating m modules to n processors in a distributed system to minimize total communication and execution costs. When the communication graph is a tree, Bokhari has shown that the optimum allocation can be determined in O(mn/sup 2/) time. Recently, this result has been generalized by Fernandez-Baca, who has proposed an allocation algorithm in O(mn/sup k+1/) when the communication graph is a partial k-tree. The author shows that in the case where communication costs are uniform, the module allocation problem can be solved in O(mn) time if the communication graph is a tree. This algorithm is asymptotically optimum.<>"",""1558-2183"","""",""10.1109/71.273051"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=273051"","""",""Tree graphs";Polynomials;Computer networks;Cost function;Distributed computing;"Approximation algorithms"","""",""16"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Almost certain fault diagnosis through algorithm-based fault tolerance,""D. M. Blough";" A. Pelc"",""Department of Electrical and Computer Engineering, University of California, Irvine, CA, USA";" Département dInfomatique, Université du Quàbec à Hull, QUE, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""5"",""532"",""539"",""Algorithm-based fault tolerance has been proposed as a technique to detect incorrect computations in multiprocessor systems. In algorithm-based fault tolerance, processors produce data elements that are checked by concurrent error detection mechanisms. We investigate the efficacy of this approach for diagnosis of processor faults. Because checks are performed on data elements, the problem of location of data errors must first be solved. We propose a probabilistic model for the faults and errors in a multiprocessor system and use it to evaluate the probabilities of correct error location and fault diagnosis. We investigate the number of checks that are necessary to guarantee error location with high probability. We also give specific check assignments that accomplish this goal. We then consider the problem of fault diagnosis when the locations of erroneous data elements are known. Previous work on fault diagnosis required that the data sets produced by different processors be disjoint. We show, for the first time, that fault diagnosis is possible with high probability, even in systems where processors combine to produce individual data elements.<>"",""1558-2183"","""",""10.1109/71.282563"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=282563"","""",""Fault diagnosis";Fault tolerance;Fault detection;Error correction;Multiprocessing systems;Fault tolerant systems;Testing;Computer errors;Failure analysis;"Transient analysis"","""",""7"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"An equivalence theorem for labeled marked graphs,""Y. Wolfstahl";" M. Yoeli"",""Adv. Technol. Centers, IBM Res. Group, Haifa, Israel";" Department of Computer Science, Technion-Israel Institute of Technology, Haifa, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""8"",""886"",""891"",""Petri nets and their languages are a useful model of systems exhibiting concurrent behavior. The sequential language associated with a given Petri net S consists of all possible firing sequences of S, where each element of a firing sequence is a single transition. The concurrent language associated with S consists of all possible concurrent firing sequences of S, where each element of a concurrent firing sequence is a set of transitions. The sequential language and the concurrent language associated with S are denoted by (L)(S) and (/spl pi/)(S), respectively. In this paper, we consider an important special ease of Petri nets, called labeled marked graphs. The main result derived in this paper states that if /spl Gammasub 1/ and /spl Gammasub 2/ are two structurally deterministic labeled marked graphs, then (L)(/spl Gammasub 1/)=L(/spl Gammasub 2/)/spl rlhar2spl pi/(/spl Gammasub 1/)=/spl pi/(/spl Gammasub 2/).<>"",""1558-2183"","""",""10.1109/71.298217"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=298217"","""",""Petri nets";Concurrent computing;"Bars"","""",""2"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
