"1998 Index IEEE Transactions on Parallel And Distributed Systems - Author Index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""12"",""1269"",""1273"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1998.737701"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=737701"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A basic-cycle calculation technique for efficient dynamic data redistribution,""Yeh-Ching Chung"; Ching-Hsien Hsu;" Sheng-Wen Bai"",""Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"; Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan;" Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""4"",""359"",""377"",""Array redistribution is usually required to enhance algorithm performance in many parallel programs on distributed memory multicomputers. Since it is performed at run-time, there is a performance trade-off between the efficiency of the new data decomposition for a subsequent phase of an algorithm and the cost of redistributing data among processors. In this paper, we present a basic-cycle calculation technique to efficiently perform BLOCK-CYCLIC(S) to BLOCK-CYCLIC(t) redistribution. The main idea of the basic-cycle calculation technique is, first, to develop closed forms for computing source/destination processors of some specific array elements in a basic-cycle, which is defined as icm(s,t)/gcd(s,t). These closed forms are then used to efficiently determine the communication sets of a basic-cycle. From the source/destination processor/data sets of a basic-cycle, we can efficiently perform a BLOCK-CYCLIC(s) to BLOCK-CYCLIC(t) redistribution. To evaluate the performance of the basic-cycle calculation technique, we have implemented this technique on an IBM SP2 parallel machine, along with the PITFALLS method and the multiphase method. The cost models for these three methods are also presented. The experimental results show that the basic-cycle calculation technique outperforms the PITFALLS method and the multiphase method for most test samples."",""1558-2183"","""",""10.1109/71.667897"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667897"","""",""Phased arrays";Runtime;Parallel programming;Costs;Parallel machines;Testing;Program processors;Programming profession;"Algorithm design and analysis"","""",""20"","""",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A note on total ordering multicast using propagation trees,""Ge-Ming Chiu";" Chih-Ming Hsiao"",""Department of Electrical Engineering and Technology, National Taiwan University of Science and Technology, Taipei, Taiwan";" Department of Electrical Engineering and Technology, National Taiwan University of Science and Technology, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""2"",""217"",""223"",""Jia (1995) proposed a multicast scheme, using propagation trees, to ensure the total ordering (including causal ordering) delivery of messages for group communication. Our study indicates that causal relation between some messages may not actually be presented in this protocol. We then present a revised approach for closed group communication."",""1558-2183"","""",""10.1109/71.663947"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=663947"","""",""Computer Society";Multicast communication;Multicast protocols;Organizing;"Broadcasting"","""",""4"","""",""8"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A parallel system for text inference using marker propagations,""S. M. Harabagiu";" D. I. Moldovan"",""Department of Computer Science and Engineering, Southern Methodist University, Dallas, TX, USA";" Department of Computer Science and Engineering, Southern Methodist University, Dallas, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""8"",""729"",""747"",""This paper presents a possible solution for the text inference problem-extracting information unstated in a text, but implied. Text inference is central to natural language applications such as information extraction and dissemination, text understanding, summarization, and translation. Our solution takes advantage of a semantic English dictionary available in electronic form that provides the basis for the development of a large linguistic knowledge base. The inference algorithm consists of a set of highly parallel search methods that, when applied to the knowledge base, find contexts in which sentences are interpreted. These contexts reveal information relevant to the text. Implementation, results, and parallelism analysis are discussed."",""1558-2183"","""",""10.1109/71.706046"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706046"","""",""Natural languages";Inference algorithms;Parallel processing;Humans;Data mining;Information retrieval;Text recognition;Natural language processing;Computer science;"Computer Society"","""",""5"","""",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A practical approach to dynamic load balancing,""J. Watts";" S. Taylor"",""Scalable Concurrent Programming Laboratory, Syracuse University, Syracuse, NY, USA";" Scalable Concurrent Programming Laboratory, Syracuse University, Syracuse, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""3"",""235"",""248"",""This paper presents a cohesive, practical load balancing framework that improves upon existing strategies. These techniques are portable to a broad range of prevalent architectures, including massively parallel machines, such as the Cray T3D/E and Intel Paragon, shared memory systems, such as the Silicon Graphics PowerChallenge, and networks of workstations. As part of the work, an adaptive heat diffusion scheme is presented, as well as a task selection mechanism that can preserve or improve communication locality. Unlike many previous efforts in this arena, the techniques have been applied to two large-scale industrial applications on a variety of multicomputers. In the process, this work exposes a serious deficiency in current load balancing strategies, motivating further work in this area."",""1558-2183"","""",""10.1109/71.674316"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=674316"","""",""Load management";Concurrent computing;Application software;Large-scale systems;Parallel machines;Silicon;Graphics;Workstations;Parallel processing;"Plasma simulation"","""",""110"",""3"",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A priority-driven flow control mechanism for real-time traffic in multiprocessor networks,""S. Balakrishnan";" F. Ozguner"",""Department of Computing and Software Systems, University of Washington, Bothell, WA, USA";" Department of Electrical Engineering, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""7"",""664"",""678"",""Real-time applications when mapped to distributed memory multiprocessors produce periodic messages with an associated deadline and priority. Real-time messages may be hard or soft deadline. Real-time extensions to wormhole routing (WR) with multiple virtual channels (VCs) and priority-based physical link arbitration and VC allocation have been proposed in the literature. With a fixed number of VCs/link, a message can face an unbounded priority inversion, rendering the global priority ineffective. In this paper, we propose a new flow control mechanism called Preemptive Pipelined Circuit Switching for Real-Time messages (PPCS-RT) to reduce the priority inversion problem. For the proposed model, with some architectural support, we present an off-line approach to compute delivery guarantees of hard deadline real-time messages. We also perform a comparison of real-time WR and PPCS-RT in terms of performance with soft deadline traffic. The overall miss ratio percentage is over 30 percent higher for WR than PPCS-RT with one VC/link at high traffic loads. Finally, we compare the architectural complexity of a PPCS-RT router and other real-time routers."",""1558-2183"","""",""10.1109/71.707545"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=707545"","""",""Communication system traffic control";Intelligent networks;Virtual colonoscopy;Real time systems;Routing;Multiprocessing systems;Switching circuits;Spread spectrum communication;Computer networks;"Bandwidth"","""",""25"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A self-stabilizing ring orientation algorithm with a smaller number of processor states,""N. Umemoto"; H. Kakugawa;" M. Yamashita"",""Hi-Elecom-Kowa Company Limited, Hiroshima, Japan"; Research Institute for Information Science and Education, Hiroshima University, Higashihiroshima, Hiroshima, Japan;" Department of Electrical Engineering, Hiroshima University, Higashihiroshima, Hiroshima, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""6"",""579"",""584"",""A distributed system is said to be self-stabilizing if it will eventually reach a legitimate system state regardless of its initial state. Because of this property, a self-stabilizing system is extremely robust against failures";" it tolerates any finite number of transient failures. The ring orientation problem for a ring is the problem of all the processors agreeing on a common ring direction. This paper focuses on the problem of designing a deterministic self-stabilizing ring orientation system with a small number of processor states under the distributed daemon. Because of the impossibility of symmetry breaking, under the distributed daemon, no such systems exist when the number n of processors is even. Provided that n is odd, the best known upper bound on the number of states is 256 in the link-register model, and eight in the state-reading model. We improve the bound down to 6/sup 3/=216 in the link-register model."",""1558-2183"","""",""10.1109/71.689445"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=689445"","""",""Registers";Computer Society;Robustness;Upper bound;Fault tolerant systems;Algorithm design and analysis;"Computational modeling"","""",""3"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A software approach to avoiding spatial cache collisions in parallel processor systems,""D. C. Wong"; E. W. Davis;" J. O. Young"",""North Carolina State University, Raleigh, NC, USA"; North Carolina State University, Raleigh, NC, USA;" Atmospheric Sciences Modeling Division, Air Resources Laboratory, National Oceanic and Atmospheric Administration, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""6"",""601"",""608"",""In parallel processor systems, the performance of individual processors is a key factor in overall performance. Processor performance is strongly affected by the behavior of cache memory in that high hit rates are essential for high performance. Hit rates are lowered when collisions on placing lines in the cache force a cache line to be replaced before it has been used to best effect. Spatial cache collisions occur if data structures and data access patterns are misaligned. We describe a mathematical scheme to improve alignment and enhance performance in applications which have moderate-to-large numbers of arrays, where various dimensionalities are involved in localized computation and array access patterns are sequential. These properties are common in many computational modeling applications. Furthermore, the scheme provides a single solution when an application is targeted to run on various numbers of processors in power-of-two sizes. The applicability of the proposed scheme is demonstrated on testbed code for an air quality modeling problem."",""1558-2183"","""",""10.1109/71.689447"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=689447"","""",""Cache memory";Data structures;Computational modeling;Testing;Power system modeling;Bridges;Hardware;Arithmetic;Software performance;"Kernel"","""",""1"",""1"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A spanning multichannel linked hypercube: a gradually scalable optical interconnection network for massively parallel computing,""A. Louri"; B. Weech;" C. Neocleous"",""Department of Electrical and Computer Engineering and Computer Science (ECE/CS), University of Arizona Tucson, Tucson, AZ, USA"; Department of Electrical and Computer Engineering and Computer Science (ECE/CS), University of Arizona Tucson, Tucson, AZ, USA;" Department of Electrical and Computer Engineering and Computer Science (ECE/CS), University of Arizona Tucson, Tucson, AZ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""5"",""497"",""512"",""A new, scalable interconnection topology called the Spanning Multichannel Linked Hypercube (SMLH) is proposed. This proposed network is very suitable to massively parallel systems and is highly amenable to optical implementation. The SMLH uses the hypercube topology as a basic building block and connects such building blocks using two-dimensional multichannel links (similar to spanning buses). In doing so, the SMLH combines positive features of both the hypercube (small diameter, high connectivity, symmetry, simple routing, and fault tolerance) and the spanning bus hypercube (SBH) (constant node degree, scalability, and ease of physical implementation), while at the same time circumventing their disadvantages. The SMLH topology supports many communication patterns found in different classes of computation, such as bus-based, mesh-based, and tree-based problems, as well as hypercube-based problems. A very attractive feature of the SMLH network is its ability to support a large number of processors with the possibility of maintaining a constant degree and a constant diameter. Other positive features include symmetry, incremental scalability, and fault tolerance. It is shown that the SMLH network provides better average message distance, average traffic density, and queuing delay than many similar networks, including the binary hypercube, the SBH, etc. Additionally, the SMLH has comparable performance to other high-performance hypercubic networks, including the Generalized Hypercube and the Hypermesh. An optical implementation methodology is proposed for SMLH. The implementation methodology combines both the advantages of free space optics with those of wavelength division multiplexing techniques. A detailed analysis of the feasibility of the proposed network is also presented."",""1558-2183"","""",""10.1109/71.679219"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=679219"","""",""Hypercubes";Network topology;Fault tolerance;Scalability;Optical interconnections;Optical fiber networks;Routing;Telecommunication traffic;Traffic control;"Wavelength division multiplexing"","""",""23"","""",""51"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A stochastic model for heterogeneous computing and its application in data relocation scheme development,""Min Tan";" H. J. Siegel"",""Segue Software, Inc., Los Gatos, CA, USA";" Parallel Processing Laboratory, School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""11"",""1088"",""1101"",""In a dedicated, mixed-machine, heterogeneous computing (HC) system, an application program may be decomposed into subtasks, then each subtask assigned to the machine where it is best suited for execution. Data relocation is defined as selecting the sources for needed data items. It is assumed that multiple independent subtasks of an application program can be executed concurrently on different machines whenever possible. A theoretical stochastic model for HC Is proposed, in which the computation times of subtasks and communication times for intermachine data transfers can be random variables. The optimization problem for finding the optimal matching, scheduling, and data relocation schemes to minimize the total execution time of an application program is defined based on this stochastic HC model. The global optimization criterion and search space for the above optimization problem are described. It is validated that a greedy algorithm-based approach can establish a local optimization criterion for developing data relocation heuristics. The validation is provided by a theoretical proof based on a set of common assumptions about the underlying HC system and application program. The local optimization criterion established by the greedy approach, coupled with the search space defined for choosing valid data relocation schemes, can help developers of future practical data relocation heuristics."",""1558-2183"","""",""10.1109/71.735956"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=735956"","""",""Stochastic processes";Computer applications;Processor scheduling;Application software;Random variables;Optimal matching;Computer networks;Greedy algorithms;Hardware;"High-speed networks"","""",""6"",""1"",""28"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A theory for total exchange in multidimensional interconnection networks,""V. V. Dimakopoulos";" N. J. Dimopoulos"",""Department of Computer Science, University of Ioannina (UoI), Ioannina, Greece";" Department of Electrical and Computer Engineering, University of Victoria, Victoria, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""7"",""639"",""649"",""Total exchange (or multiscattering) is one of the important collective communication problems in multiprocessor interconnection networks. It involves the dissemination of distinct messages from every node to every other node. We present a novel theory for solving the problem in any multidimensional (cartesian product) network. These networks have been adopted as cost-effective interconnection structures for distributed-memory multiprocessors. We construct a general algorithm for single-port networks and provide conditions under which it behaves optimally. It is seen that many of the popular topologies, including hypercubes, k-ary n-cubes, and general tori satisfy these conditions. The algorithm is also extended to homogeneous networks with 2/sup k/ dimensions and with multiport capabilities. Optimality conditions are also given for this model. In the course of our analysis, we also derive a formula for the average distance of nodes in multidimensional networks";" it can be used to obtain almost closed-form results for many interesting networks."",""1558-2183"","""",""10.1109/71.707541"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=707541"","""",""Intelligent networks";Multidimensional systems;Multiprocessor interconnection networks;Hypercubes;Broadcasting;Network topology;Tree graphs;Message passing;Communication standards;"Scattering"","""",""12"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Abstractions for portable, scalable parallel programming,""G. A. Alverson"; W. G. Griswold; C. Lin; D. Notkin;" L. Snyder"",""Tera Computer Company, Seattle, WA, USA"; Department of Computer Science and Engineering, University of California, San Diego, La Jolla, CA, USA; Department of Computer Sciences, University of Technology, Austin, TX, USA; Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA;" Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""1"",""71"",""86"",""In parallel programming, the need to manage communication, load imbalance, and irregularities in the computation puts substantial demands on the programmer. Key properties of the architecture, such as the number of processors and the cost of communication, must be exploited to achieve good performance, but coding these properties directly into a program compromises the portability and flexibility of the code because significant changes are then needed to port or enhance the program. We describe a parallel programming model that supports the concise, independent description of key aspects of a parallel program-including data distribution, communication, and boundary conditions-without reference to machine idiosyncrasies. The independence of such components improves portability by allowing the components of a program to be tuned independently, and encourages reuse by supporting the composition of existing components. The isolation of architecture-sensitive aspects of a computation simplifies the task of porting programs to new platforms. Moreover, the model is effective in exploiting both data parallelism and functional parallelism. This paper provides programming examples, compares this work to related languages, and presents performance results."",""1558-2183"","""",""10.1109/71.655246"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=655246"","""",""Parallel programming";Parallel processing;Programming profession;Computer architecture;Concurrent computing;Costs;Aggregates;Computer science;"Load management"","""",""7"","""",""49"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Access control and signatures via quorum secret sharing,""M. Naor";" A. Wool"",""Department of Applied Mathematics and Computer Science, Weizmann Institute of Science, Rehovot, Israel";" Bell Laboratories, Lucent Technologies, Inc., Murray Hill, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""9"",""909"",""922"",""We suggest a method of controlling the access to a secure database via quorum systems. A quorum system is a collection of sets (quorums) every two of which have a nonempty intersection. Quorum systems have been used for a number of applications in the area of distributed systems. We propose a separation between access servers, which are protected and trustworthy, but may be outdated, and the data servers, which may all be compromised. The main paradigm is that only the servers in a complete quorum can collectively grant (or revoke) access permission. The method we suggest ensures that, after authorization is revoked, a cheating user Alice will not be able to access the data even if many access servers still consider her authorized and even if the complete raw database is available to her. The method has a low overhead in terms of communication and computation. It can also be converted into a distributed system for issuing secure signatures. An important building block in our method is the use of secret sharing schemes that realize the access structures of quorum systems. We provide several efficient constructions of such schemes which may be of interest in their own right."",""1558-2183"","""",""10.1109/71.722223"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=722223"","""",""Access control";Cryptography;Databases;Licenses;Access protocols;Protection;Availability;Wool;Computer Society;"Control systems"","""",""43"",""4"",""49"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Adaptive fault-tolerant routing in cube-based multicomputers using safety vectors,""Jie Wu"",""Department of Computer Science and Engineering, Florida, Atlanta University, Boca Raton, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""4"",""321"",""334"",""Reliable communication in cube-based multicomputers using the safety vector concept is studied in this paper. In our approach, each node in a cube-based multicomputer of dimension n is associated with a safety vector of n bits, which is an approximated measure of the number and distribution of faults in the neighborhood. The safety vector of each node can be easily calculated through n-1 rounds of information exchange among neighboring nodes. Optimal unicasting between two nodes is guaranteed if the kth bit of the safety vector of the source node is one, where k is the Hamming distance between the source and destination nodes. The concept of dynamic adaptivity is introduced, representing the ability of a routing algorithm to dynamically adjust its routing adaptivity based on fault distribution in the neighborhood. The feasibility of the proposed unicasting can be easily determined at the source node by comparing its safety vector with the Hamming distance between the source and destination nodes. The proposed unicasting can also be used in disconnected hypercubes, where nodes in a hypercube are disjointed (into two or more parts). We then extend the safety vector concept to general cube-based multicomputers."",""1558-2183"","""",""10.1109/71.667894"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667894"","""",""Fault tolerance";Routing;Safety;Hypercubes;Unicast;Hamming distance;Topology;Heuristic algorithms;Telecommunication network reliability;"Message passing"","""",""43"","""",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"All to-all communication with minimum start-up costs in 2D/3D tori and meshes,""Young-Joo Suh";" S. Valamanchili"",""Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""5"",""442"",""458"",""All-to-all communication patterns occur in many important parallel algorithms. This paper presents new algorithms for all-to-all communication patterns (all-to-all broadcast and all-to-all personalized exchange) for wormhole switched 2D/3D torus- and mesh-connected multiprocessors. The algorithms use message combining to minimize message start-ups at the expense of larger message sizes. The unique feature of these algorithms is that they are the first algorithms that we know of that operate in a bottom-up fashion rather than a recursive, top-down manner. For a 2/sup d//spl times/2/sup d/ torus or mesh, the algorithms for all-to-all personalized exchange have time complexity of O(2/sup 3d/). An important property of the algorithms is the O(d) time due to message start-ups, compared with O(2/sup d/) for current algorithms. This is particularly important for modern parallel architectures where the start-up cost of message transmissions still dominates, except for very large block sizes. Finally, the 2D algorithms for all-to-all personalized exchange are extended to O(2/sup 4d/) algorithms in a 2/sup d//spl times/2/sup d//spl times/2/sup d/3D torus or mesh. These algorithms also retain the important property of O(d) time due to message start-ups."",""1558-2183"","""",""10.1109/71.679215"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=679215"","""",""Costs";Broadcasting;Parallel algorithms;Scattering;Concurrent computing;Computer architecture;Message passing;Communication switching;Parallel architectures;"Multiprocessor interconnection networks"","""",""41"",""3"",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
