"A distributed deadlock resolution algorithm for the AND model,""J. R. Gonzalez de Mendivil"; F. Farina; J. R. Garitagotia; C. F. Alastruey;" J. M. Bernabeu-Auban"",""Department de Automática y Computación, University Pública de Navarra, Pamplona, Spain"; Department de Matemáticas e Informática, University Pública de Navarra, Pamplona, Spain; NA; Department de Automática y Computación, University Pública de Navarra, Pamplona, Spain;" Department de Sistemas Informáticos y Computación, University Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""5"",""433"",""447"",""Previous proposals for Distributed Deadlock Detection/Resolution algorithms for the AND model have the main disadvantage of resolving false deadlocks, that is, nonexisting or currently being resolved deadlocks. This paper provides an algorithm free of false deadlock resolutions, A simple specification for a safe deadlock resolution algorithm is introduced, and the new distributed solution is developed in a hierarchical fashion from its abstract specification. The algorithm is probe-based, uses node priorities, and coordinates the actions of resolvers so that false deadlocks are not resolved. The solution is formally proven correct by using the input-output Automata Model. Finally, a study about the liveness of the algorithm is provided."",""1558-2183"","""",""10.1109/71.770131"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=770131"","""",""System recovery";Automata;Abortion;Computer Society;Resource management;Safety;Proposals;Fault detection;Fault tolerance;"Measurement"","""",""20"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"An efficient fault-tolerant multicast routing protocol with core-based tree techniques,""Weijia Jia"; Wei Zhao; Dong Xuan;" Gaochao Xu"",""Department of Computer Science, City University of Hong Kong, Hong Kong, China"; Department of Computer Science, Texas A and M University, College Station, TX, USA; Department of Computer Science, Texas A and M University, College Station, TX, USA;" Department of Computer Science, City University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""10"",""984"",""1000"",""In this paper, we design and analyze an efficient fault-tolerant multicast routing protocol. Reliable multicast communication is critical for the success of many Internet applications. Multicast routing protocols with core-based tree techniques (CBT) have been widely used because of their scalability and simplicity. We enhance the CBT protocol with fault tolerance capability and improve its efficiency and effectiveness. With our strategy, when a faulty component is detected, some pre-defined backup path(s) is (are) used to bypass the faulty component and enable the multicast communication to continue. Our protocol only requires that routers near the faulty component be reconfigured, thus reducing the runtime overhead without compromising much of the performance. Our approach is in contrast to other approaches that often require relatively large tree reformation when faults occur. These global methods are usually costly and complicated in their attempt to achieve theoretically optimal performance. Our performance evaluation shows that our new protocol performs nearly as well as the best possible global method while utilizing much less runtime overhead and implementation cost."",""1558-2183"","""",""10.1109/71.808133"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=808133"","""",""Fault tolerance";Multicast protocols;Routing protocols;Multicast communication;Runtime;Internet;Scalability;Fault detection;Performance evaluation;"Costs"","""",""24"","""",""58"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"An efficient implementation for the BROADCAST instruction of BSR/sup +/,""Limin Xiang"; K. Ushijima; S. G. Akl;" I. Stojmenovic"",""Department of Computer Science and Communication Engineering, Kyushu University, Fukuoka, Japan"; Department of Computer Science and Communication Engineering, Kyushu University, Fukuoka, Japan; Department of Computing and Information Science, Queen''s University, Kingston, ONT, Canada;" Computer Science Department, University of Ottawa, Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""8"",""852"",""863"",""BSR (Broadcasting with Selective Reduction) is a PRAM more powerful than any CRCW PRAM. In order to extend the Broadcast Instruction of BSR and make it more useful for a large class of applications, this article permits it to use a general form of selection, specifically, an arbitrary relational expression. BSR with general selection is denoted by BSR/sup +/. Thus, BSR or BSR with k criteria (k>1) is BSR/sup +/ in a special case. An efficient implementation for the Broadcast Instruction of BSR/sup +/ is proposed, requiring (1/k)th of the circuits used by the best previous implementation of BSR with k criteria. Of all PRAMs, BSR/sup +/ is the most powerful in computation."",""1558-2183"","""",""10.1109/71.790602"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=790602"","""",""Broadcasting";Phase change random access memory;Bismuth;Concurrent computing;Computational modeling;Sorting;Parallel algorithms;Integrated circuit interconnections;Chromium;"Diversity reception"","""",""7"","""",""37"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"An efficient submesh allocation scheme for two-dimensional meshes with little overhead,""Ge-Ming Chiu";" Shin-Kung Chen"",""Department of Electrical Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan";" Hewlett Packard Taiwan Limited, Taoyuan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""5"",""471"",""486"",""This paper presents a submesh allocation scheme for two-dimensional mesh systems. The submesh detection process considers only those available free submeshes that border from the left on some allocated submeshes or have their left boundaries aligned with that of the mesh. Fragmentation in the system can be reduced as a result. More importantly, we present an efficient approach to facilitate the detection of such available submeshes. The basic idea of the approach is to place the allocated submeshes of the busy set in a certain order so as to reduce the complexity of subtraction operations required for submesh detection. The method is simple and causes an amount of overhead which is only a fraction of that produced by previous algorithms. Extensive simulation has been conducted to evaluate the performance of the proposed scheme. The results show that when allocation overhead is considered, the proposed scheme may outperform previous methods."",""1558-2183"","""",""10.1109/71.770192"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=770192"","""",""Computer Society";Topology;Multiprocessing systems;Very large scale integration;Delay;"Detection algorithms"","""",""54"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"An index-based checkpointing algorithm for autonomous distributed systems,""R. Baldoni"; F. Quaglia;" P. Fornara"",""Dipartimento di Informatica e Sistemistica, Università di Roma La Sapienza, Rome, Italy"; Dipartimento di Informatica e Sistemistica, Università di Roma La Sapienza, Rome, Italy;" Dipartimento di Informatica e Sistemistica, Università di Roma La Sapienza, Rome, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""2"",""181"",""192"",""This paper presents an index-based checkpointing algorithm for distributed systems with the aim of reducing the total number of checkpoints while ensuring that each checkpoint belongs to at least one consistent global checkpoint (or recovery line). The algorithm is based on an equivalence relation defined between pairs of successive checkpoints of a process which allows us, in some cases, to advance the recovery line of the computation without forcing checkpoints in other processes. The algorithm is well-suited for autonomous and heterogeneous environments, where each process does not know any private information about other processes and private information of the same type of distinct processes is not related (e.g., clock granularity, local checkpointing strategy, etc.). We also present a simulation study which compares the checkpointing-recovery overhead of this algorithm to the ones of previous solutions."",""1558-2183"","""",""10.1109/71.752783"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=752783"","""",""Checkpointing";Clocks;Fault tolerant systems;Protocols;Distributed computing;Force control;Communication system control;Algorithm design and analysis;"Data mining"","""",""30"",""1"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Asynchronous tree-based multicasting in wormhole-switched MINs,""V. Varavithya";" P. Mohapatra"",""Department of Electrical Engineering, King Mongkut''s Institute of Technology, Bangkok, Thailand";" Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""11"",""1159"",""1178"",""Multicast operation is an important operation in multicomputer communication systems and can be used to support several collective communication operations. A significant performance improvement can be achieved by supporting multicast operations at the hardware level. We propose an asynchronous tree-based multicasting (ATBM) technique for multistage interconnection networks (MINs). The deadlock issues in tree-based multicasting in MINs are analyzed first to examine the main causes of deadlocks. An ATBM framework is developed in which deadlocks are prevented by serializing the initiations of tree operations that have a potential to create deadlocks. These tree operations are identified through a grouping algorithm. The ATBM approach is not only simple to implement but also provides good communication performance using minimal overheads in terms of additional hardware requirements and synchronization delay. Using the ATBM framework, algorithms are developed for both unidirectional and bidirectional multistage interconnection networks. The performances of the proposed algorithms are evaluated through simulation experiments. The results indicate that the proposed hardware-based ATBM scheme reduces the communication latency when compared to the software multicasting approach proposed earlier."",""1558-2183"","""",""10.1109/71.809574"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=809574"","""",""Multicast algorithms";System recovery;Delay;Unicast;Multiprocessor interconnection networks;Communication switching;Hardware;Routing;Multicast communication;"Broadcasting"","""",""10"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Author index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""12"",""1333"",""1337"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the coauthors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under he primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1999.819953"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=819953"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Broadcast-efficient protocols for mobile radio networks,""K. Nakano"; S. Olariu;" J. L. Schwing"",""Department of Electrical and Computer Engineering, Nagoya Institute of Technology, Nagoya, Japan"; Department of Computer Science, Old Dominion University, Norfolk, VA, USA;" Department of Computer Science, Central Washington University, Ellensburg, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""12"",""1276"",""1289"",""The main contribution of this work is to present elegant broadcast-efficient protocols for permutation routing, ranking, and sorting on single-hop Mobile Radio Networks with p stations and k radio channels, denoted by MRN(p,k). Clearly, any protocol performing these tasks on n items must perform /sup n///sub k/ broadcast rounds because each item must be broadcast at least once. We begin by presenting an optimal off-line permutation routing protocol using /sup n///sub k/ broadcast rounds for arbitrary k, p, and n. Further, we show that optimal on-line routing can be performed in /sup n///sub k/ broadcast rounds, provided that either k=1 or p=n. We then go on to develop an online routing protocol that takes 2/sup n///sub k/+k-1 broadcast rounds on the MRN(p,k), whenever k/spl les//spl radic//sup p///sub 2/. Using these routing protocols as basic building blocks, we develop a ranking protocol that takes 2/sup n///sub k/+o(/sup n///sub k/) broadcast rounds as well as a sorting protocol that takes 3/sup n///sub k/+o(/sup n///sub k/) broadcast rounds, provided that k /spl epsiv/ o(/spl radic/n) and p=n. Finally, we develop a ranking protocol that takes 3/sup n///sub k/+o(/sup n///sub k/) broadcast rounds, as well as a sorting protocol that takes 4/sup n///sub k/+o(/sup n///sub k/) broadcast rounds on the MRN(p,k), provided that k/spl les//spl radic//sup p///sub 2/ and p /spl epsiv/ o(n). Featuring very low proportionality constants, our protocols offer a vast improvement over the state of the art."",""1558-2183"","""",""10.1109/71.819949"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=819949"","""",""Radio broadcasting";Land mobile radio;Routing protocols;Sorting;Radio network;Mobile computing;Computer networks;Wireless networks;Multiaccess communication;"Robustness"","""",""37"","""",""34"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Broadcasting multiple messages in the multiport model,""A. Bar-Noy";" Ching-Tien Ho"",""Tel-Aviv University, Israel";" Almaden Research Center, IBM, San Jose, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""5"",""500"",""508"",""We consider the problem of broadcasting multiple messages from one processor to many processors in the k-port model for message-passing systems. In such systems, processors communicate in rounds, where in every round, each processor can send k messages to k processors and receive k messages from k processors In this paper, we first present a simple and practical algorithm based on variations of k complete k-ary trees. We then present an optimal algorithm up to an additive term of one for this problem for any number of processors, any number of messages, and any value for k."",""1558-2183"","""",""10.1109/71.770196"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=770196"","""",""Broadcasting";Multimedia communication;Multiprocessing systems;Multimedia databases;Algorithm design and analysis;Libraries;Telephony;Computer networks;Computer network management;"Protocols"","""",""7"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Chameleon: a software infrastructure for adaptive fault tolerance,""Z. T. Kalbarczyk"; R. K. Iyer; S. Bagchi;" K. Whisnant"",""Center for Reliable and High-Performance Computing, University of Illinois, Urbana, IL, USA"; Center for Reliable and High-Performance Computing, University of Illinois, Urbana, IL, USA; Center for Reliable and High-Performance Computing, University of Illinois, Urbana, IL, USA;" Center for Reliable and High-Performance Computing, University of Illinois, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""6"",""560"",""579"",""This paper presents Chameleon, an adaptive infrastructure, which allows different levels of availability requirements to be simultaneously supported in a networked environment. Chameleon provides dependability through the use of special ARMORs-Adaptive. Reconfigurable, and Mobile Objects for Reliability-that control all operations in the Chameleon environment. Three broad classes of ARMORs are defined: 1) Managers oversee other ARMORs and recover from failures in their subordinates. 2) Daemons provide communication gateways to the ARMORs at the host node. They also make available a host's resources to the Chameleon environment. 3) Common ARMORs implement specific techniques for providing application-required dependability. Employing ARMORs, Chameleon makes available different fault-tolerant configurations and maintains run-time adaptation to changes in the availability requirements of an application. Flexible ARMOR architecture allows their composition to be reconfigured at run-time, i.e., the ARMORs may dynamically adapt to changing application requirements. In this paper, we describe ARMOR architecture, including ARMOR class hierarchy, basic building blocks, ARMOR composition, and use of ARMOR factories. We present how ARMORs can be reconfigured and reengineered and demonstrate how the architecture serves our objective of providing an adaptive software infrastructure. To our knowledge, Chameleon is one of the few real implementations which enables multiple fault tolerance strategies to exist in the same environment and supports fault-tolerant execution of substantially off-the-shelf applications via a software infrastructure only. Chameleon provides fault tolerance from the application's point of view as well as from the software infrastructure's point of view. To demonstrate the Chameleon capabilities, we have implemented a prototype infrastructure which provides set of ARMORs to initialize the environment and to support the dual and TMR application execution modes. Through this testbed environment, we measure the execution overhead and recovery times from failures in the user application, the Chameleon ARMORs, the hardware, and the operating system."",""1558-2183"","""",""10.1109/71.774907"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=774907"","""",""Fault tolerance";Application software;Availability;Runtime;Computer architecture;Telecommunication network reliability;Communication system control;Mobile communication;Production facilities;"Software prototyping"","""",""114"","""",""36"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Characterization of deadlocks in k-ary n-cube networks,""T. M. Pinkston";" S. Warnakulasuriya"",""Dept. of Electr. Eng. Syst., Univ. of Southern California, Los Angeles, CA, USA";" WorkPlace Systems, Pasadena, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""9"",""904"",""921"",""A spate of deadlock avoidance-based and deadlock recovery-based routing algorithms have been proposed in recent years without full understanding of the likelihood and characteristics of actual deadlocks in interconnection networks. This work models the interrelationships between routing freedom, message blocking, correlated resource dependencies, and deadlock formation. It is empirically shown that increasing routing freedom, as achieved by allowing unrestricted routing over multiple physical and virtual channels, reduces the probability of deadlocks and the likelihood of other types of correlated message blocking that can degrade performance. Moreover, when true fully adaptive routing is used in k-ary n-cube networks with two or more virtual channels (wormhole OF virtual cut-through switched), it is empirically shown that deadlocks are virtually eliminated in networks with n/spl ges/2. These results indicate that deadlocks are very infrequent when the network and routing algorithm inherently provide sufficient routing freedom, thus increasing the viability of deadlock recovery routing strategies."",""1558-2183"","""",""10.1109/71.798315"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=798315"","""",""System recovery";Intelligent networks;Routing;Multiprocessor interconnection networks;Frequency;Algorithm design and analysis;Degradation;Delay;Throughput;"Design optimization"","""",""25"","""",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Combinatorial properties of two-level hypernet networks,""Hui-Ling Huang";" Gen-Huey Chen"",""Department of Information Management, Southern Taiwan University of Technology, Tainan County, Taiwan";" Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""11"",""1192"",""1199"",""The purpose of the paper is to investigate combinatorial properties of the hypernet network. The hypernet network owns two structural advantages: expansibility and equal degree. In addition, it was shown to be efficient in both communication and computation. Since the number of nodes contained in the hypernet network increases very rapidly with expansion level, we emphasize the hypernet network of two levels (denoted by HN(d, 2)) with a practical view. Recently, combinatorial properties such as container (i.e., node-disjoint paths), wide diameter, and fault diameter have received much attention due to their increasing importance and applications in networks. The following results are obtained for HN(d, 2): (1) best containers with width d-1, (2) containers with (maximum) width d, (3) the (d-1)-wide diameter, (4) the d-wide diameter, (5) the (d-2)-fault diameter, and (6) the (d-1)-fault diameter. More specifically, between every two nodes of HN(d, 2), d (or d-1) packets can be transmitted simultaneously with at most D+2 (or D+1) parallel steps, where D=2d+1 is the diameter of HN(d, 2). Besides, the diameter of HN(d, 2) will increase by at most two (or one), if there are at most d-1 (or d-2) node faults. Our results reveal that HN(d, 2) is not only efficient in parallel transmission, but robust in fault tolerance."",""1558-2183"","""",""10.1109/71.809576"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=809576"","""",""Containers";Multiprocessing systems;Network topology;Delay estimation;Hardware;Robustness;Fault tolerance;Multiprocessor interconnection networks;Costs;"Manufacturing"","""",""8"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Combined task and message scheduling in distributed real-time systems,""T. F. Abdelzaher";" K. G. Shin"",""Department of Computer Science, University of Virginia, Charlottesville, VA, USA";" Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""11"",""1179"",""1191"",""The paper presents an algorithm for offline scheduling of communicating tasks with precedence and exclusion constraints in distributed hard real time systems. Tasks are assumed to communicate via message passing based on a time bounded communication paradigm, such as the real time channel (D.D. Kandlur et al., 1994). The algorithm uses a branch-and-bound (B & B) technique to search for a task schedule by minimizing maximum task lateness (defined as the difference between task completion time and task deadline), and exploits the interplay between task and message scheduling to improve the quality of solution. It generates a complete schedule at each vertex in the search tree, and can be made to yield a feasible schedule (found before reaching an optimal solution), or proceed until an optimal task schedule is found. We have conducted an extensive simulation study to evaluate the performance of the proposed algorithm. The algorithm is shown to scale well with respect to system size and degree of intertask interactions. It also offers good performance for workloads with a wide range of CPU utilizations and application concurrency. For larger systems and higher loads, we introduce a greedy heuristic that is faster but has no optimality properties. We have also extended the algorithm to a more general resource-constraint model, thus widening its application domain."",""1558-2183"","""",""10.1109/71.809575"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=809575"","""",""Real time systems";Optimal scheduling;Processor scheduling;Delay;Scheduling algorithm;Costs;Computer Society;Message passing;Concurrent computing;"System recovery"","""",""85"","""",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
