"1996 Index IEEE Transactions on Parallel and Distributed Systems vol. 7,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1"",""11"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1996.553313"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553313"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A broadcast algorithm for all-port wormhole-routed torus networks,""Yih-Jia Tsai";" P. K. McKinley"",""Department of Computer Science, Michigan State University, East Lansing, MI, USA";" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""876"",""885"",""A new approach to broadcast in wormhole-routed two- and three-dimensional torus networks is proposed. The underlying network is assumed to support only deterministic, dimension-ordered unicast routing. The approach extends the graph theoretical concept of dominating nodes by accounting for the relative distance-insensitivity of the wormhole routing switching strategy. The proposed algorithm also takes advantage of an all-port communication architecture, which allows each node to simultaneously transmit messages on different outgoing channels. The resulting broadcast operation is based on a tree structure that uses multiple levels of extended dominating nodes(EDNs). Performance results are presented that confirm the advantage of this method over other approaches."",""1558-2183"","""",""10.1109/71.532118"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532118"","""",""Broadcasting";Unicast;Routing;Concurrent computing;Network topology;Communication switching;Tree data structures;Computer networks;Distributed computing;"Message passing"","""",""31"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A new HAD algorithm for optimal routing of hierarchically structured data networks,""G. M. Huang";" Shan Zhu"",""Department of Electrical Engineering, Texas A and M University, College Station, TX, USA";" Northern Telecom, Inc., Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""9"",""939"",""953"",""In this paper, a new algorithm based on hierarchical aggregation/disaggregation and decomposition/composition (HAD) scheme is proposed to solve the optimal routing problems (ORP) for hierarchically structured networks of multi-layer backbones. Our algorithm has two major differences with the existing HAD algorithms for hierarchically clustered networks: (1) our algorithm works with more general networks than the networks with the clustered structure"; (2) our algorithm parallelizes the computations for different commodities (message flows defined by a pair of origin node and destination node) so that it speeds up with a parallel time complexity of O(mlog/sup 2/(n)), which is much less than O(Mlog/sup 2/(n)) needed for the existing HAD algorithms. Here, n is the number of nodes in the network;" M is the number of commodities and m is a positive number usually much smaller than M and is a function of the patterns of all the commodities including the locations of all origin nodes and destination nodes, and the flow demand of each commodity. Furthermore, our algorithm can make a trade-off between the run time and the optimality, i.e., by allowing the solution to be sub-optimal, our algorithm can save great amount of computation time. The implementation of the algorithm for a 200-node network is simulated using OPNET simulation package (OPNET or Optimized Network Engineering Tools is developed by MIL3, Inc.), and the test results are consistent with our analysis."",""1558-2183"","""",""10.1109/71.536938"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=536938"","""",""Routing";Clustering algorithms;Computational modeling;Analytical models;Spine;Computer networks;Concurrent computing;Packaging;Testing;"Algorithm design and analysis"","""",""3"","""",""35"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"A note on consensus on dual failure modes,""Hin-Sing Siu"; Yeh-Hao Chin;" Wei-Pang Yang"",""Institute of Computer and lnformation, National Chiao Tung University, Taiwan"; Institute of Computer and lnformation, National Tsing Hua University, Taiwan;" Institute of Computer and lnformation, National Chiao Tung University, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""3"",""225"",""230"",""F.J. Meyer and D.K. Pradhan (1991) proposed the MS (for """"mixed-sum"""") algorithm to solve the Byzantine Agreement (BA) problem with dual failure modes: arbitrary faults (Byzantine faults) and dormant faults (essentially omission faults and timing faults). Our study indicates that this algorithm uses an inappropriate method to eliminate the effects of dormant faults and that the bound on the number of allowable faulty processors is overestimated. This paper corrects the algorithm and gives a new bound for the allowable faulty processors."",""1558-2183"","""",""10.1109/71.491575"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=491575"","""",""Senior members";Voting;Timing;Fault tolerant systems;Computer crashes;Fault detection;Computer science;Electronic mail;"Transmitters"","""",""37"","""",""5"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"A parallel distributive join algorithm for cube-connected multiprocessors,""S. M. Chung";" Jaerheen Yang"",""Department of Computer Science and Engineering, Wright State University, Dayton, OH, USA";" Water Resource Research Institute, Korea Water Resources Corporation, Taejon, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""2"",""127"",""137"",""This paper presents a parallel distributive join algorithm for cube-connected multiprocessors. The performance analysis shows that the proposed algorithm has an almost linear speedup over the sequential distributive join algorithm as the number of processors increases, and its performance is comparable to that of the parallel hybrid-hash join algorithm. A big advantage of the proposed algorithm over hash-based join algorithms is that it does not have the bucket overflow problem caused by nonuniform hashing of the smaller operand relation. Moreover, the proposed algorithm can easily support the nonequijoin operation, which is very hard to implement by using hash-based join algorithms."",""1558-2183"","""",""10.1109/71.485502"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=485502"","""",""Relational databases";Partitioning algorithms;Performance analysis;Parallel processing;Merging;Water resources;Sorting;Hardware;Costs;"Computer science"","""",""12"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A subsystem-oriented performance analysis methodology for shared-bus multiprocessors,""Chiung-San Lee";" Tai-Ming Parng"",""Department of Electronic Engineering at Hwa-Hsia, Junior College of Technology, Taipei, Taiwan";" Department of Electrical Engineering at National, Taiwan University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""7"",""755"",""767"",""A methodology, called Subsystem Access Time (SAT) modeling, is proposed for the performance modeling and analysis of shared-bus multiprocessors. The methodology is subsystem-oriented because it is based on a Subsystem Access Time Per Instruction (SATPI) concept, in which we treat major components other than processors (e.g., off-chip cache, bus, memory, I/O) as subsystems and model for each of them the mean access time per instruction from each processor. The SAT modeling methodology is derived from the Customized Mean Value Analysis (CMVA) technique, which is request-oriented in the sense that it models the weighted total mean delay for each type of request processed in the subsystems. The subsystem-oriented view of the proposed methodology facilitates divide-and-conquer modeling and bottleneck analysis, which is rarely addressed previously. These distinguishing features lead to a simple, general, and systematic approach to the analytical modeling and analysis of complex multiprocessor systems. To illustrate the key ideas and features that are different from CMVA, an example performance model of a particular shared-bus multiprocessor architecture is presented. The model is used to conduct performance evaluation for throughput prediction. Thereby, the SATPIs of the subsystems are directly utilized to identify the bottleneck subsystem and find the requests or subsystem components that cause the bottleneck. Furthermore, the SATPIs of the subsystems are employed to explore the impact of several performance influencing factors, including memory latency, number of processors, data bus width, as well as DMA transfer."",""1558-2183"","""",""10.1109/71.508254"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=508254"","""",""Performance analysis";Interference;Multiprocessing systems;Analytical models;Predictive models;Throughput;Process control;"Delay effects"","""",""1"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A time- and cost-optimal algorithm for interlocking sets-with applications,""S. Olariu";" A. Y. Zomaya"",""Department of Computer Science, Old Dominion University, Norfolk, VA, USA";" Parallel Computing Research Lab, Department ofElectrical and ElectronicEngineering, University of Western Australia, Perth, WA, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""10"",""1009"",""1025"",""Given a family I of intervals, two intervals in I interlock if they overlap but neither of them strictly contains the other. A set of intervals in which every two are related in the reflexive transitive closure of the interlock relation is referred to as an interlocking set. The task is determining the maximal interlocking sets of I arises in numerous applications, including traffic control, robot arm manipulation, segmentation of range images, routing, automated surveillance systems, recognizing polygonal configurations, and code generation for parallel machines. Our first contribution is to show that any sequential algorithm that computes the maximal interlocking sets of a family of n intervals must take /spl Omega/(n log n) time in the algebraic tree model. Next, we show that any parallel algorithm for this problem must take /spl Omega/(log n) time in the CREW model even if an infinite number of processors and memory cells are available. We then go on to show that both the sequential and the parallel lower bounds are tight by providing matching algorithms running, respectively, in /spl Theta/(n log n) sequential time and in /spl Theta/(log n) time using n processors in the CREW model. At the same time, if the endpoints of the intervals are specified in sorted order, our sequential algorithm runs in O(n) time, improving the best previously known result. It is interesting to note that even if the endpoints are sorted, /spl Omega/(log n) is a time lower bound for solving the problem in the CREW model, regardless of the amount of resources available. As an application of our algorithm for interlocking sets, we obtain a time- and cost-optimal solution to a restricted version of the single row routing problem. The best previously known result for routing a set of n nets without street crossovers runs in O(log n loglog n) time using n processors in the CRCW model. By contrast, our algorithm runs in /spl Theta/(log n) time using n/log n processors in the CREW model, being both time- and cost-optimal."",""1558-2183"","""",""10.1109/71.539733"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=539733"","""",""Routing";Traffic control;Parallel robots;Robotics and automation;Surveillance;Parallel algorithms;Application software;Image segmentation;Image recognition;"Parallel machines"","""",""7"","""",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A trip-based multicasting model in wormhole-routed networks with virtual channels,""Yu-Chee Tseng"; D. K. Panda;" Ten-Hwang Lai"",""Department of Computer Science, Chung Hua Polytechnic Institute, Hsinchu, Taiwan"; Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA;" Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""2"",""138"",""150"",""This paper focuses on efficient multicasting in wormhole-routed networks. A trip-based model is proposed to support adaptive, distributed, and deadlock-free multiple multicast on any network with arbitrary topology using at most two virtual channels per physical channel. This model significantly generalizes the path-based model proposed earlier which works only for Hamiltonian networks and cannot be applicable to networks with arbitrary topology resulted due to system faults. Fundamentals of the trip-based model, including the necessary and sufficient condition to be deadlock-free, and the use of appropriate number of virtual channels to avoid deadlock are investigated. The potential of this model is illustrated by applying it to hypercubes with faulty nodes. Simulation results indicate that the proposed model can implement multiple multicast on faulty hypercubes with negligible performance degradation."",""1558-2183"","""",""10.1109/71.485503"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=485503"","""",""Intelligent networks";Hypercubes;Routing;Computer Society;System recovery;Network topology;Circuit faults;Broadcasting;Packet switching;"Multicast algorithms"","""",""49"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"A unified framework for optimizing communication in data-parallel programs,""M. Gupta"; E. Schonberg;" H. Srinivasan"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"; IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA;" IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""7"",""689"",""704"",""This paper presents a framework, based on global array data-flow analysis, to reduce communication costs in a program being compiled for a distributed memory machine. We introduce available section descriptor, a novel representation of communication involving array sections. This representation allows us to apply techniques for partial redundancy elimination to obtain powerful communication optimizations. With a single framework, we are able to capture optimizations like (1) vectorizing communication, (2) eliminating communication that is redundant on any control flow path, (3) reducing the amount of data being communicated, (4) reducing the number of processors to which data must be communicated, and (5) moving communication earlier to hide latency, and to subsume previous communication. We show that the bidirectional problem of eliminating partial redundancies can be decomposed into simpler unidirectional problems even in the context of an array section representation, which makes the analysis procedure more efficient. We present results from a preliminary implementation of this framework, which are extremely encouraging, and demonstrate the effectiveness of this analysis in improving the performance of programs."",""1558-2183"","""",""10.1109/71.508249"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=508249"","""",""Data analysis";Performance analysis;Cost function;Communication system control;Delay;Context;Optimization methods;Availability;Memory architecture;"Buildings"","""",""45"",""5"",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Achieving full parallelism using multidimensional retiming,""N. L. Passos";" E. H. . -M. Sha"",""Department of Computer Science, Midwestern State University, Wichita Falls, TX, USA";" Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""11"",""1150"",""1163"",""Most scientific and digital signal processing (DSP) applications are recursive or iterative. Transformation techniques are usually applied to get optimal execution rates in parallel and/or pipeline systems. The retiming technique is a common and valuable transformation tool in one-dimensional problems, when loops are represented by data flow graphs (DFGs). In this paper, uniform nested loops are modeled as multidimensional data flow graphs (MDFGs). Full parallelism of the loop body, i.e., all nodes in the MDFG executed in parallel, substantially decreases the overall computation time. It is well known that, for one-dimensional DFGs, retiming can not always achieve full parallelism. Other existing optimization techniques for nested loops also can not always achieve full parallelism. This paper shows an important and counter-intuitive result, which proves that we can always obtain full-parallelism for MDFGs with more than one dimension. This result is obtained by transforming the MDFG into a new structure. The restructuring process is based on a multidimensional retiming technique. The theory and two algorithms to obtain full parallelism are presented in this paper. Examples of optimization of nested loops and digital signal processing designs are shown to demonstrate the effectiveness of the algorithms."",""1558-2183"","""",""10.1109/71.544356"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=544356"","""",""Multidimensional systems";Parallel processing;Digital signal processing;Flow graphs;Signal processing algorithms;Pipelines;Concurrent computing;Design optimization;Process design;"Signal design"","""",""39"",""3"",""34"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Algorithms for search trees on message passing architectures,""A. Colbrook"; E. A. Brewer; C. N. Dellarocas;" W. E. Weihl"",""Smith System Engineering"; Department of Computer Science, University of California Berkeley, Berkeley, USA; Department of Electrical Engirneering and Computer Science, Center for Coordination, MZTS;" Systems Research Center, Digital Equipment Corporation, Palo Alto, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""2"",""97"",""108"",""In this paper we describe a new algorithm for maintaining a balanced search tree on a message-passing MIMD architecture";" the algorithm is particularly well suited for implementation on a small number of processors. We introduce a (2/sup B-2/, 2/sup B/) search tree that uses a bidirectional ring of O(log n) processors to store n entries. Update operations use a bottom-up node-splitting scheme, which performs significantly better than top-down search tree algorithms. The bottom-up algorithm requires many fewer messages and results in less blocking due to synchronization than top-down algorithms. Additionally, for a given cost ratio of computation to communication the value of B may be varied to maximize performance. Implementations on a parallel-architecture simulator are described."",""1558-2183"","""",""10.1109/71.485500"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=485500"","""",""Dictionaries";Delay;Throughput;Computer architecture;Parallel algorithms;Computer science;Computational efficiency;Computational modeling;Algorithm design and analysis;"Systems engineering and theory"","""",""2"",""3"",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";
"All nearest smaller values on the hypercube,""D. Kravets";" C. G. Plaxton"",""Department of Computer Science, New Jersey Institute of Technology, Newark, NJ";" Deaartment of Comanter Science, University of Texas, Austin, TX"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""5"",""456"",""462"",""Given a sequence of n elements, the All Nearest Smaller Values (ANSV) problem is to find, for each element in the sequence, the nearest element to the left (right) that is smaller, or to report that no such element exists. Time and work optimal algorithms for this problem are known on all the PRAM models but the running time of the best previous hypercube algorithm is optimal only when the number of processors p satisfies 1/spl les/p/spl les/n/((lg/sup 3/ n)(lg lg n)/sup 2/). In this paper, we prove that any normal hypercube algorithm requires /spl Omega/(M) processors to solve the ANSV problem in O(lg n) time, and we present the first normal hypercube ANSV algorithm that is optimal for all values of n and p. We use our ANSV algorithm to give the first O(lg n)-time n-processor normal hypercube algorithms for triangulating a monotone polygon and for constructing a Cartesian tree."",""1558-2183"","""",""10.1109/71.503770"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=503770"","""",""Hypercubes";"Routing"","""",""5"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"All-to-all personalized communication in a wormhole-routed torus,""Yu-Chee Tseng";" S. K. S. Gupta"",""Department of Computer Science, Chung Hua Polytechnic Institute, Hsinchu, Taiwan";" School of Electrical Engineering and Computer Science, Ohio University, Athens, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""5"",""498"",""505"",""All-to-all personalized communication, or complete exchange, is at the heart of numerous applications in parallel computing. It is one of the most dense communication patterns. In this paper, we consider this problem in a torus of any dimension with the wormhole-routing capability. We propose complete exchange algorithms that use optimal numbers of phases (if each side of the tori is a multiple of eight) or asymptotically optimal numbers of phases (otherwise). Interestingly, in order to achieve this, we only make weak assumptions-that a node is capable of sending and receiving at most one message at a time, and the network is capable of supporting the dimension-ordered (or e-cube) minimum routing."",""1558-2183"","""",""10.1109/71.503775"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=503775"","""",""Routing";Delay;Intelligent networks;Load management;Unicast;Broadcasting;Heart;Fast Fourier transforms;Table lookup;"Concurrent computing"","""",""47"",""4"",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"An analysis of the average message overhead in replica control protocols,""D. Saha"; S. Rangarajan;" S. K. Tripathi"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"; Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA;" Department oJComputer Science, University of Maryland College Park, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""10"",""1026"",""1034"",""Management of replicated data has received considerable attention in the last few years. Several replica control schemes have been proposed which work in the presence of both node and communication link failures. However, this resiliency to failure inflicts a performance penalty in terms of the communication overhead incurred. Though the issue of performance of these schemes from the standpoint of availability of the system has been well addressed, the issue of message overhead has been limited to the analysis of worst case and best case message bounds. In this paper we derive expressions for computing the average message overhead of several well known replica control protocols and provide a comparative study of the different protocols with respect to both average message overhead and system availabilities."",""1558-2183"","""",""10.1109/71.539734"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=539734"","""",""Protocols";Voting;Permission;Control systems;Availability;Communication system control;"Binary trees"","""",""15"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"An application of Petri net reduction for Ada tasking deadlock analysis,""S. M. Shatz"; Shengru Tu; T. Murata;" S. Duri"",""Concurrent Software Systems Laboratory, Department of Electrical Engineering and Computer Science, M/C 154, University of Illinois, Chicago, Chicago, IL, USA"; Computer Science Department, University of New Orleans, USA; Concurrent Software Systems Laboratory, Department of Electrical Engineering and Computer Science, M/C 154, University of Illinois, Chicago, Chicago, IL, USA;" IBM Thomas J. Watson Research Center, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1307"",""1322"",""As part of our continuing research on using Petri nets to support automated analysis of Ada tasking behavior, we have investigated the application of Petri net reduction for deadlock analysis. Although reachability analysis is an important method to detect deadlocks, it is in general inefficient or even intractable. Net reduction can aid the analysis by reducing the size of the net while preserving relevant properties. We introduce a number of reduction rules and show how they can be applied to Ada nets, which are automatically generated Petri net models of Ada tasking. We define a reduction process and a method by which a useful description of a detected deadlock state can be obtained from the reduced net's information. A reduction tool and experimental results from applying the reduction process are discussed."",""1558-2183"","""",""10.1109/71.553301"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553301"","""",""System recovery";Concurrent computing;Information analysis;History;Application software;Communication channels;Automata;FETs;Computer displays;"Software systems"","""",""50"",""1"",""34"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"An approximate analysis of the join the shortest queue (JSQ) policy,""Hwa-Chun Lin";" C. S. Raghavendra"",""Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan";" School of Electvical Engineering and Computer Science, Washington State University, Pullman, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""3"",""301"",""307"",""This paper presents an accurate analytical model for evaluating the performance of the join the shortest queue (JSQ) policy. The system considered consists of N identical queues each of which may have single or multiple servers. A birth-death Markov process is used to model the evolution of the number of jobs in the system. Our results show that this method provides very accurate estimates of the average job response times."",""1558-2183"","""",""10.1109/71.491583"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=491583"","""",""Queueing analysis";Analytical models;Performance analysis;Markov processes;Delay;Load management;Multiprocessing systems;Concurrent computing;Distributed computing;"Routing"","""",""23"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"An efficient dictionary machine using hexagonal processor arrays,""Hee Yong Youn";" Jae Young Lee"",""Department of Computer Science and Engineering, University of Texas, Arlington, Arlington, TX, USA";" Department of Computer Science and Engineering, University of Texas, Arlington, Arlington, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""3"",""266"",""273"",""Dictionary machine is an important VLSI system performing high speed data archival operations. In this paper, we present a design which can efficiently implement dictionary machines in VLSI processor arrays. In order to effectively process the operations of dictionary machine, hexagonal mesh is selected as the host topology in which two different networks for update and query operation are embedded. The proposed design is simple to implement as well as allows high throughput."",""1558-2183"","""",""10.1109/71.491580"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=491580"","""",""Dictionaries";Very large scale integration;Network topology;Societies;Throughput;Computer architecture;Delay effects;Computer science;Design methodology;"Hypercubes"","""",""3"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
